"","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1",0,1,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0
"3",1,0,0.133333333333333,0.866666666666666,0.0333333333333333,0.0666666666666667,0.322222222222222,0.577777777777778,0
"4",1,0,0,1,0.25,0.25,0.5,0,0
"5",0,1,0,0,0,0,0,0,0
"6",1,0,0.361702127659574,0.638297872340425,0.0425531914893617,0.0638297872340425,0.382978723404255,0.51063829787234,0
"7",0,1,0,0,0,0,0,0,0
"8",0,1,0,0,0,0,0,0,0
"9",0,1,0,0,0,0,0,0,0
"10",0,1,0,0,0,0,0,0,0
"11",0,1,0,0,0,0,0,0,0
"12",0,1,0,0,0,0,0,0,0
"13",0,1,0,0,0,0,0,0,0
"14",1,0,0.642857142857143,0.357142857142857,0.0178571428571429,0.0357142857142857,0.321428571428571,0.625,0
"15",0,1,0,0,0,0,0,0,0
"16",1,0,0,1,0.0416666666666667,0.0625,0.333333333333333,0.5625,0
"17",1,0,1,0,0.0588235294117647,0.0882352941176471,0.352941176470588,0.5,0
"18",1,0,0,1,0,0.0588235294117647,0.352941176470588,0.588235294117647,0
"19",0,1,0,0,0,0,0,0,0
"20",0,1,0,0,0,0,0,0,0
"21",0,1,0,0,0,0,0,0,0
"22",0,1,0,0,0,0,0,0,0
"23",1,0,0,0.999999999999999,0.0740740740740741,0.111111111111111,0.444444444444444,0.37037037037037,0
"24",1,0,0.586206896551724,0.413793103448276,0.0344827586206897,0.0459770114942529,0.402298850574712,0.517241379310344,0
"25",1,0,1,0,0.03125,0.0625,0.40625,0.5,0
"26",1,0,0,1,0.0384615384615385,0.0384615384615385,0.423076923076923,0.5,0
"27",0,1,0,0,0,0,0,0,0
"28",0,1,0,0,0,0,0,0,0
"29",0,1,0,0,0,0,0,0,0
"30",0,1,0,0,0,0,0,0,0
"31",1,0,0.999999999999999,0,0.0606060606060606,0.0909090909090909,0.303030303030303,0.545454545454545,0
"32",1,0,1,0,0,0.0588235294117647,0.411764705882353,0.529411764705882,0
"33",1,0,0,0.999999999999998,0.025,0.05,0.2625,0.6625,0
"34",0,1,0,0,0,0,0,0,0
"35",0,1,0,0,0,0,0,0,0
"36",0,1,0,0,0,0,0,0,0
"37",1,0,0,1,0.136363636363636,0.227272727272727,0.318181818181818,0.318181818181818,0
"38",1,0,0,1,0.2,0.2,0.4,0.2,0
"39",1,0,0,0.999999999999999,0.03125,0.0520833333333333,0.333333333333333,0.583333333333333,0
"40",1,0,0.239583333333333,0.760416666666666,0.0416666666666667,0.0625,0.34375,0.552083333333333,0
"41",1,0,0.278260869565218,0.721739130434782,0.0260869565217391,0.0521739130434783,0.31304347826087,0.608695652173913,0
"42",1,0,1,0,0.0363636363636364,0.0363636363636364,0.345454545454546,0.581818181818182,0
"43",0,1,0,0,0,0,0,0,0
"44",0,1,0,0,0,0,0,0,0
"45",0,1,0,0,0,0,0,0,0
"46",0,1,0,0,0,0,0,0,0
"47",0,1,0,0,0,0,0,0,0
"48",0,1,0,0,0,0,0,0,0
"49",1,0,0,1,0.04,0.12,0.32,0.52,0
"50",1,0,0,1,0.142857142857143,0.142857142857143,0.428571428571429,0.285714285714286,0
"51",1,0,0.999999999999999,0,0.0263157894736842,0.131578947368421,0.263157894736842,0.578947368421052,0
"52",0,1,0,0,0,0,0,0,0
"53",0,1,0,0,0,0,0,0,0
"54",0,1,0,0,0,0,0,0,0
"55",0,1,0,0,0,0,0,0,0
"56",0,1,0,0,0,0,0,0,0
"57",0,1,0,0,0,0,0,0,0
"58",0,1,0,0,0,0,0,0,0
"59",0,1,0,0,0,0,0,0,0
"60",0,1,0,0,0,0,0,0,0
"61",1,0,0.357142857142857,0.642857142857143,0.107142857142857,0.0714285714285714,0.571428571428571,0.25,0
"62",1,0,1,0,0.142857142857143,0.142857142857143,0.714285714285714,0,0
"63",1,0,0,1,0.0833333333333333,0.0833333333333333,0.5,0.333333333333333,0
"64",1,0,1,0,0.285714285714286,0.142857142857143,0.571428571428571,0,0
"65",0,1,0,0,0,0,0,0,0
"66",0,1,0,0,0,0,0,0,0
"67",1,0,0,1,1,0,0,0,0
"68",0,1,0,0,0,0,0,0,0
"69",0,1,0,0,0,0,0,0,0
"70",0,1,0,0,0,0,0,0,0
"71",1,0,0,1,0.136363636363636,0.136363636363636,0.545454545454546,0.181818181818182,0
