"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",1,0,0.333333333333333,0.176470588235294,0.0196078431372549,0.117647058823529,0,0,0.196078431372549,0,0.156862745098039,0,0
"2",1,0,0.333333333333333,0.333333333333333,0,0,0.111111111111111,0,0.111111111111111,0,0.111111111111111,0,0
"3",1,0,0.708333333333333,0,0,0.0833333333333333,0,0,0.208333333333333,0,0,0,0
"4",1,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0
"5",1,0,0.545454545454546,0,0,0,0,0,0.0909090909090909,0.272727272727273,0.0909090909090909,0,0
"6",1,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"7",1,0,1,0,0,0,0,0,0,0,0,0,0
"8",0,1,0,0,0,0,0,0,0,0,0,0,0
"9",1,0,0,1,0,0,0,0,0,0,0,0,0
"10",0,1,0,0,0,0,0,0,0,0,0,0,0
"11",1,0,0.571428571428571,0.428571428571429,0,0,0,0,0,0,0,0,0
"12",0,1,0,0,0,0,0,0,0,0,0,0,0
"13",1,0,0,0.5,0,0,0,0,0.5,0,0,0,0
"14",0,1,0,0,0,0,0,0,0,0,0,0,0
"15",0,1,0,0,0,0,0,0,0,0,0,0,0
"16",0,1,0,0,0,0,0,0,0,0,0,0,0
"17",0,1,0,0,0,0,0,0,0,0,0,0,0
"18",1,0,0,0,1,0,0,0,0,0,0,0,0
"19",0,1,0,0,0,0,0,0,0,0,0,0,0
"20",0,1,0,0,0,0,0,0,0,0,0,0,0
"21",1,0,1,0,0,0,0,0,0,0,0,0,0
"22",0,1,0,0,0,0,0,0,0,0,0,0,0
"23",0,1,0,0,0,0,0,0,0,0,0,0,0
"24",1,0,0.615384615384616,0.205128205128205,0,0.0256410256410256,0,0,0.102564102564103,0,0.0512820512820513,0,0
"25",0,1,0,0,0,0,0,0,0,0,0,0,0
"26",1,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"27",0,1,0,0,0,0,0,0,0,0,0,0,0
"28",0,1,0,0,0,0,0,0,0,0,0,0,0
"29",0,1,0,0,0,0,0,0,0,0,0,0,0
"30",1,0,0,0,0,0,0,0,1,0,0,0,0
"31",0,1,0,0,0,0,0,0,0,0,0,0,0
"32",0,1,0,0,0,0,0,0,0,0,0,0,0
"33",0,1,0,0,0,0,0,0,0,0,0,0,0
"34",0,1,0,0,0,0,0,0,0,0,0,0,0
"35",0,1,0,0,0,0,0,0,0,0,0,0,0
"36",0,1,0,0,0,0,0,0,0,0,0,0,0
"37",0,1,0,0,0,0,0,0,0,0,0,0,0
"38",0,1,0,0,0,0,0,0,0,0,0,0,0
"39",1,0,0.304347826086957,0.217391304347826,0.0434782608695652,0.0434782608695652,0,0,0.217391304347826,0,0.173913043478261,0,0
"40",0,1,0,0,0,0,0,0,0,0,0,0,0
"41",0,1,0,0,0,0,0,0,0,0,0,0,0
"42",1,0,1,0,0,0,0,0,0,0,0,0,0
"43",0,1,0,0,0,0,0,0,0,0,0,0,0
"44",1,0,0.4,0.428571428571429,0.0571428571428571,0,0,0,0.0571428571428571,0,0.0571428571428571,0,0
"45",1,0,0.761904761904762,0.19047619047619,0,0,0,0,0.0476190476190476,0,0,0,0
"46",1,0,1,0,0,0,0,0,0,0,0,0,0
"47",1,0,1,0,0,0,0,0,0,0,0,0,0
"48",1,0,0.733333333333333,0,0,0,0,0,0.266666666666667,0,0,0,0
"49",1,0,0.382978723404255,0.297872340425532,0.0638297872340425,0.0212765957446809,0,0,0.106382978723404,0,0.127659574468085,0,0
"50",1,0,0,1,0,0,0,0,0,0,0,0,0
"51",0,1,0,0,0,0,0,0,0,0,0,0,0
"52",0,1,0,0,0,0,0,0,0,0,0,0,0
"53",0,1,0,0,0,0,0,0,0,0,0,0,0
"54",0,1,0,0,0,0,0,0,0,0,0,0,0
"55",1,0,0.309278350515464,0.350515463917526,0.103092783505155,0.0309278350515464,0,0,0.0309278350515464,0.0309278350515464,0.123711340206186,0.0206185567010309,0
"56",1,0,0,0,0,0,0,0,1,0,0,0,0
"57",1,0,0.631578947368421,0.0789473684210526,0.0263157894736842,0.0263157894736842,0,0,0.0526315789473684,0.0789473684210526,0.105263157894737,0,0
