"","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1",1,0,0,1,0.235294117647059,0.137254901960784,0.372549019607843,0.254901960784314,0
"2",1,0,0,1,0.133333333333333,0.133333333333333,0.4,0.333333333333333,0
"3",1,0,0,1,0.03125,0.09375,0.4375,0.4375,0
"4",1,0,0,1,0.3,0.3,0.3,0.1,0
"5",1,0,0,1,0.0869565217391304,0.0434782608695652,0.434782608695652,0.434782608695652,0
"6",0,1,0,0,0,0,0,0,0
"7",1,0,0,1,1,0,0,0,0
"8",0,1,0,0,0,0,0,0,0
"9",0,1,0,0,0,0,0,0,0
"10",0,1,0,0,0,0,0,0,0
"11",0,1,0,0,0,0,0,0,0
"12",0,1,0,0,0,0,0,0,0
"13",0,1,0,0,0,0,0,0,0
"14",0,1,0,0,0,0,0,0,0
"15",0,1,0,0,0,0,0,0,0
"16",0,1,0,0,0,0,0,0,0
"17",0,1,0,0,0,0,0,0,0
"18",0,1,0,0,0,0,0,0,0
"19",0,1,0,0,0,0,0,0,0
"20",0,1,0,0,0,0,0,0,0
"21",0,1,0,0,0,0,0,0,0
"22",0,1,0,0,0,0,0,0,0
"23",0,1,0,0,0,0,0,0,0
"24",1,0,0,1,0.130434782608696,0.217391304347826,0.347826086956522,0.304347826086957,0
"25",0,1,0,0,0,0,0,0,0
"26",0,1,0,0,0,0,0,0,0
"27",0,1,0,0,0,0,0,0,0
"28",0,1,0,0,0,0,0,0,0
"29",1,0,0,1,0.5,0,0.5,0,0
"30",0,1,0,0,0,0,0,0,0
"31",0,1,0,0,0,0,0,0,0
"32",0,1,0,0,0,0,0,0,0
"33",0,1,0,0,0,0,0,0,0
"34",0,1,0,0,0,0,0,0,0
"35",0,1,0,0,0,0,0,0,0
"36",0,1,0,0,0,0,0,0,0
"37",0,1,0,0,0,0,0,0,0
"38",0,1,0,0,0,0,0,0,0
"39",1,0,0,1,0.363636363636364,0.272727272727273,0.272727272727273,0.0909090909090909,0
"40",0,1,0,0,0,0,0,0,0
"41",0,1,0,0,0,0,0,0,0
"42",1,0,0,1,0.25,0.25,0.5,0,0
"43",0,1,0,0,0,0,0,0,0
"44",1,0,0,1,0.1875,0.375,0.34375,0.09375,0
"45",1,0,0,1,0.0882352941176471,0.147058823529412,0.294117647058824,0.470588235294118,0
"46",0,1,0,0,0,0,0,0,0
"47",0,1,0,0,0,0,0,0,0
"48",1,0,0,1,0.5,0.25,0,0.25,0
"49",1,0,0.142857142857143,0.857142857142857,0.571428571428571,0,0.428571428571429,0,0
"50",0,1,0,0,0,0,0,0,0
"51",1,0,0,1,0.333333333333333,0,0.333333333333333,0.333333333333333,0
"52",0,1,0,0,0,0,0,0,0
"53",0,1,0,0,0,0,0,0,0
"54",0,1,0,0,0,0,0,0,0
"55",1,0,0.0285714285714286,0.971428571428572,0.2,0.171428571428571,0.457142857142857,0.171428571428571,0
"56",0,1,0,0,0,0,0,0,0
"57",1,0,0,1,0.0975609756097561,0.24390243902439,0.195121951219512,0.463414634146342,0
"58",0,1,0,0,0,0,0,0,0
"59",1,0,0,1,0.0769230769230769,0.153846153846154,0.307692307692308,0.461538461538462,0
"60",0,1,0,0,0,0,0,0,0
"61",0,1,0,0,0,0,0,0,0
"62",1,0,0,1,0.25,0.25,0.25,0.25,0
"63",1,0,0,1,0.266666666666667,0.2,0.4,0.133333333333333,0
"64",0,1,0,0,0,0,0,0,0
"65",0,1,0,0,0,0,0,0,0
"66",0,1,0,0,0,0,0,0,0
"67",0,1,0,0,0,0,0,0,0
"68",1,0,0,1,0.25,0.25,0.25,0.25,0
"69",0,1,0,0,0,0,0,0,0
"70",0,1,0,0,0,0,0,0,0
