"","Loop_number","No_loop","Loop"
"1",4,0,1
"2",3,0,1
"3",0,0,1
"4",3,0,1
"5",1,0,1
"6",0,0,1
"7",5,0,1
"8",4,0,1
"9",0,0,1
"10",0,0,1
"11",1,0,1
"12",0,0,1
"13",1,0,1
"14",3,0,1
"15",0,0,1
"16",0,0,1
"17",13,0,1
"18",0,0,1
"19",4,0,1
"20",2,0,1
"21",4,0,1
"22",3,0,1
"23",2,0,1
"24",0,0,1
"25",0,0,1
"26",0,0,1
"27",0,0,1
"28",2,0,1
"29",0,0,1
"30",4,0,1
"31",3,0,1
"32",4,0,1
"33",4,0,1
"34",0,0,1
"35",0,0,1
"36",0,0,1
"37",1,0,1
"38",0,0,1
"39",0,0,1
"40",0,0,1
"41",0,0,1
"42",1,0,1
"43",0,0,1
"44",5,0,1
"45",0,0,1
"46",0,0,1
"47",0,0,1
"48",0,0,1
"49",3,0,1
"50",0,0,1
"51",0,0,1
"52",0,0,1
"53",1,0,1
"54",0,0,1
"55",0,0,1
"56",0,0,1
"57",1,0,1
"58",2,0,1
"59",0,0,1
"60",0,0,1
"61",0,0,1
"62",10,0,1
"63",0,0,1
"64",0,0,1
"65",0,0,1
"66",6,0,1
"67",0,0,1
"68",0,0,1
"69",0,0,1
"70",0,0,1
"71",3,0,1
"72",4,0,1
"73",6,0,1
"74",3,0,1
"75",0,0,1
"76",0,0,1
"77",0,0,1
"78",3,0,1
"79",0,0,1
"80",1,0,1
"81",3,0,1
"82",0,0,1
"83",3,0,1
"84",0,0,1
"85",7,0,1
"86",1,0,1
"87",2,0,1
"88",2,0,1
"89",3,0,1
"90",1,0,1
"91",2,0,1
"92",4,0,1
"93",2,0,1
"94",0,0,1
"95",0,0,1
"96",1,0,1
"97",2,0,1
"98",4,0,1
"99",1,0,1
"100",0,0,1
"101",2,0,1
"102",9,0,1
"103",1,0,1
"104",1,0,1
"105",1,0,1
"106",1,0,1
"107",12,0,1
"108",4,0,1
"109",19,0,1
"110",2,0,1
"111",11,0,1
"112",3,0,1
"113",0,0,1
"114",0,0,1
"115",1,0,1
"116",4,0,1
"117",3,0,1
"118",0,0,1
"119",1,0,1
"120",0,0,1
"121",2,0,1
"122",2,0,1
"123",0,0,1
"124",0,0,1
"125",0,0,1
"126",0,0,1
"127",0,0,1
"128",1,0,1
"129",0,0,1
"130",0,0,1
"131",0,0,1
"132",0,0,1
"133",0,0,1
"134",0,0,1
"135",0,0,1
"136",2,0,1
"137",3,0,1
"138",0,0,1
"139",0,0,1
"140",2,0,1
"141",4,0,1
"142",1,0,1
"143",7,0,1
"144",0,0,1
"145",1,0,1
"146",1,0,1
"147",0,0,1
"148",0,0,1
"149",0,0,1
"150",1,0,1
"151",0,0,1
"152",0,0,1
"153",6,0,1
"154",6,0,1
"155",4,0,1
"156",0,0,1
"157",2,0,1
"158",5,0,1
"159",1,0,1
"160",1,0,1
"161",0,0,1
"162",0,0,1
"163",0,0,1
"164",0,0,1
"165",4,0,1
"166",3,0,1
"167",4,0,1
"168",0,0,1
"169",0,0,1
"170",1,0,1
"171",3,0,1
"172",2,0,1
"173",1,0,1
"174",0,0,1
"175",0,0,1
"176",1,0,1
"177",0,0,1
"178",2,0,1
"179",1,0,1
"180",0,0,1
"181",0,0,1
"182",0,0,1
"183",0,0,1
"184",0,0,1
"185",0,0,1
"186",2,0,1
"187",0,0,1
"188",0,0,1
"189",0,0,1
"190",0,0,1
"191",23,0,1
"192",5,0,1
"193",11,0,1
"194",4,0,1
"195",10,0,1
"196",0,0,1
"197",5,0,1
"198",2,0,1
"199",2,0,1
"200",3,0,1
"201",0,0,1
"202",4,0,1
"203",4,0,1
"204",2,0,1
"205",5,0,1
"206",5,0,1
"207",2,0,1
"208",0,0,1
"209",1,0,1
"210",2,0,1
"211",2,0,1
"212",0,0,1
"213",2,0,1
"214",1,0,1
"215",0,0,1
"216",0,0,1
"217",0,0,1
"218",0,0,1
"219",1,0,1
"220",0,0,1
"221",0,0,1
"222",0,0,1
"223",1,0,1
"224",2,0,1
"225",3,0,1
"226",5,0,1
"227",1,0,1
"228",2,0,1
"229",3,0,1
"230",7,0,1
"231",0,0,1
"232",0,0,1
"233",5,0,1
"234",2,0,1
"235",0,0,1
"236",0,0,1
"237",1,0,1
"238",1,0,1
"239",1,0,1
"240",0,0,1
"241",0,0,1
"242",1,0,1
"243",3,0,1
"244",0,0,1
"245",0,0,1
"246",0,0,1
"247",0,0,1
"248",2,0,1
"249",0,0,1
"250",0,0,1
"251",1,0,1
"252",4,0,1
"253",1,0,1
"254",9,0,1
"255",0,0,1
"256",2,0,1
"257",0,0,1
"258",7,0,1
"259",4,0,1
"260",5,0,1
"261",1,0,1
"262",5,0,1
"263",2,0,1
"264",1,0,1
"265",0,0,1
"266",1,0,1
"267",11,0,1
"268",1,0,1
"269",5,0,1
"270",4,0,1
"271",5,0,1
"272",2,0,1
"273",7,0,1
"274",0,0,1
"275",0,0,1
"276",2,0,1
"277",1,0,1
"278",0,0,1
"279",1,0,1
"280",6,0,1
"281",0,0,1
"282",0,0,1
"283",0,0,1
"284",0,0,1
"285",3,0,1
"286",0,0,1
"287",0,0,1
"288",0,0,1
"289",1,0,1
"290",0,0,1
"291",0,0,1
"292",0,0,1
"293",0,0,1
"294",3,0,1
"295",8,0,1
"296",0,0,1
"297",3,0,1
"298",1,0,1
"299",1,0,1
"300",0,0,1
"301",1,0,1
"302",1,0,1
"303",0,0,1
"304",0,0,1
"305",0,0,1
"306",0,0,1
"307",1,0,1
"308",0,0,1
"309",1,0,1
"310",6,0,1
"311",5,0,1
"312",0,0,1
"313",1,0,1
"314",1,0,1
"315",1,0,1
"316",1,0,1
"317",4,0,1
"318",1,0,1
"319",4,0,1
"320",3,0,1
"321",0,0,1
"322",0,0,1
"323",1,0,1
"324",2,0,1
"325",0,0,1
"326",0,0,1
"327",1,0,1
"328",0,0,1
"329",4,0,1
"330",1,0,1
"331",5,0,1
"332",2,0,1
"333",0,0,1
"334",0,0,1
"335",10,0,1
"336",3,0,1
"337",8,0,1
"338",1,0,1
"339",0,0,1
"340",4,0,1
"341",2,0,1
"342",4,0,1
"343",1,0,1
"344",2,0,1
"345",4,0,1
"346",18,0,1
"347",2,0,1
"348",1,0,1
"349",6,0,1
"350",1,0,1
"351",1,0,1
"352",0,0,1
"353",11,0,1
"354",4,0,1
"355",0,0,1
"356",0,0,1
"357",15,0,1
"358",0,0,1
"359",4,0,1
"360",2,0,1
"361",7,0,1
"362",2,0,1
"363",6,0,1
"364",2,0,1
"365",0,0,1
"366",3,0,1
"367",1,0,1
"368",0,0,1
"369",2,0,1
"370",0,0,1
"371",1,0,1
"372",2,0,1
"373",12,0,1
"374",9,0,1
"375",7,0,1
"376",20,0,1
"377",21,0,1
"378",18,0,1
"379",5,0,1
"380",1,0,1
"381",2,0,1
"382",0,0,1
"383",0,0,1
"384",7,0,1
"385",0,0,1
"386",1,0,1
"387",0,0,1
"388",3,0,1
"389",2,0,1
"390",3,0,1
"391",1,0,1
"392",0,0,1
"393",0,0,1
"394",0,0,1
"395",13,0,1
"396",0,0,1
"397",13,0,1
"398",2,0,1
"399",10,0,1
"400",14,0,1
"401",16,0,1
"402",15,0,1
"403",14,0,1
"404",8,0,1
"405",1,0,1
"406",0,0,1
"407",4,0,1
"408",3,0,1
"409",3,0,1
"410",0,0,1
"411",0,0,1
"412",1,0,1
"413",8,0,1
"414",0,0,1
"415",0,0,1
"416",0,0,1
"417",1,0,1
"418",1,0,1
"419",15,0,1
"420",10,0,1
"421",7,0,1
"422",0,0,1
"423",1,0,1
"424",5,0,1
"425",0,0,1
