"","FBL_number","No_FBL","FBL"
"1",0,0,1
"2",0,0,1
"3",0,0,1
"4",0,0,1
"5",22,0,1
"6",84,0,1
"7",17,0,1
"8",0,0,1
"9",11,0,1
"10",0,0,1
"11",12,0,1
"12",5,0,1
"13",2,0,1
"14",0,0,1
"15",0,0,1
"16",30,0,1
"17",12,0,1
"18",366,0,1
"19",46,0,1
"20",19,0,1
"21",94,0,1
"22",44,0,1
"23",112,0,1
"24",36,0,1
"25",167,0,1
"26",103,0,1
"27",1,0,1
"28",0,0,1
"29",58,0,1
"30",0,0,1
"31",0,0,1
"32",177,0,1
"33",30,0,1
"34",0,0,1
"35",0,0,1
"36",49,0,1
"37",0,0,1
"38",9,0,1
"39",0,0,1
"40",0,0,1
"41",29,0,1
"42",431,0,1
"43",507,0,1
"44",66,0,1
"45",0,0,1
"46",281,0,1
"47",244,0,1
"48",1,0,1
"49",0,0,1
"50",0,0,1
"51",0,0,1
"52",170,0,1
"53",0,0,1
"54",0,0,1
"55",0,0,1
"56",44,0,1
"57",38,0,1
"58",238,0,1
"59",38,0,1
"60",0,0,1
"61",10,0,1
"62",0,0,1
"63",39,0,1
"64",65,0,1
"65",0,0,1
"66",272,0,1
"67",209,0,1
"68",8,0,1
"69",0,0,1
"70",58,0,1
"71",52,0,1
"72",0,0,1
"73",0,0,1
"74",3,0,1
"75",0,0,1
"76",970,0,1
"77",0,0,1
"78",158,0,1
"79",406,0,1
"80",4,0,1
"81",506,0,1
"82",779,0,1
"83",0,0,1
"84",127,0,1
"85",166,0,1
"86",424,0,1
"87",259,0,1
"88",0,0,1
"89",116,0,1
"90",7,0,1
"91",0,0,1
"92",0,0,1
"93",1,0,1
"94",188,0,1
"95",107,0,1
"96",132,0,1
"97",19,0,1
"98",106,0,1
"99",81,0,1
"100",28,0,1
"101",0,0,1
"102",0,0,1
"103",163,0,1
"104",192,0,1
"105",104,0,1
"106",0,0,1
"107",52,0,1
"108",30,0,1
"109",56,0,1
"110",239,0,1
"111",255,0,1
"112",43,0,1
"113",0,0,1
"114",0,0,1
"115",19,0,1
"116",28,0,1
"117",0,0,1
"118",1,0,1
"119",35,0,1
"120",18,0,1
"121",6,0,1
"122",0,0,1
"123",21,0,1
"124",384,0,1
"125",0,0,1
"126",4,0,1
"127",61,0,1
"128",5,0,1
"129",0,0,1
"130",120,0,1
"131",188,0,1
"132",0,0,1
"133",3,0,1
"134",0,0,1
"135",46,0,1
"136",507,0,1
"137",359,0,1
"138",358,0,1
"139",76,0,1
"140",3,0,1
"141",84,0,1
"142",0,0,1
"143",62,0,1
"144",5,0,1
"145",571,0,1
"146",1003,0,1
"147",56,0,1
"148",0,0,1
"149",135,0,1
"150",90,0,1
"151",0,0,1
"152",535,0,1
"153",40,0,1
"154",59,0,1
"155",0,0,1
"156",1934,0,1
"157",1031,0,1
"158",1,0,1
"159",834,0,1
"160",0,0,1
"161",0,0,1
"162",0,0,1
"163",190,0,1
"164",0,0,1
"165",0,0,1
"166",0,0,1
"167",102,0,1
"168",0,0,1
"169",1671,0,1
"170",1,0,1
"171",503,0,1
"172",284,0,1
"173",2,0,1
"174",267,0,1
"175",3,0,1
"176",61,0,1
"177",0,0,1
"178",37,0,1
"179",0,0,1
"180",1,0,1
"181",0,0,1
"182",0,0,1
"183",537,0,1
"184",948,0,1
"185",1,0,1
"186",229,0,1
"187",0,0,1
"188",302,0,1
"189",437,0,1
"190",0,0,1
"191",0,0,1
"192",685,0,1
"193",674,0,1
"194",654,0,1
"195",21,0,1
"196",1,0,1
"197",0,0,1
"198",152,0,1
"199",507,0,1
"200",601,0,1
"201",660,0,1
"202",1050,0,1
"203",893,0,1
"204",27,0,1
"205",89,0,1
"206",8,0,1
"207",303,0,1
"208",168,0,1
"209",331,0,1
"210",222,0,1
"211",43,0,1
"212",126,0,1
"213",78,0,1
"214",95,0,1
"215",63,0,1
"216",0,0,1
"217",1,0,1
"218",0,0,1
"219",0,0,1
"220",30,0,1
"221",1,0,1
"222",216,0,1
"223",2,0,1
"224",0,0,1
"225",35,0,1
"226",234,0,1
"227",0,0,1
"228",185,0,1
"229",185,0,1
"230",0,0,1
"231",0,0,1
"232",92,0,1
"233",35,0,1
"234",93,0,1
"235",114,0,1
"236",0,0,1
"237",110,0,1
"238",74,0,1
"239",0,0,1
"240",0,0,1
"241",0,0,1
"242",36,0,1
"243",0,0,1
"244",13,0,1
"245",29,0,1
"246",0,0,1
"247",60,0,1
"248",47,0,1
"249",0,0,1
"250",0,0,1
"251",0,0,1
"252",0,0,1
"253",0,0,1
"254",0,0,1
"255",1,0,1
"256",0,0,1
"257",0,0,1
"258",64,0,1
"259",41,0,1
"260",9,0,1
"261",0,0,1
"262",94,0,1
"263",0,0,1
"264",0,0,1
"265",0,0,1
"266",0,0,1
"267",317,0,1
"268",59,0,1
"269",148,0,1
"270",0,0,1
"271",725,0,1
"272",948,0,1
"273",99,0,1
"274",0,0,1
"275",64,0,1
"276",129,0,1
"277",109,0,1
"278",399,0,1
"279",153,0,1
"280",19,0,1
"281",0,0,1
"282",0,0,1
"283",0,0,1
"284",23,0,1
"285",60,0,1
"286",10,0,1
"287",32,0,1
"288",6,0,1
"289",0,0,1
"290",0,0,1
