"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",1,0,0,1,0,0,0,0,0,0,0,0,0
"2",1,0,0,0,0,0,0,0,0,0,1,0,0
"3",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"4",1,0,0,0,1,0,0,0,0,0,0,0,0
"5",1,0,0.535714285714286,0.178571428571429,0,0.0357142857142857,0,0,0.25,0,0,0,0
"6",1,0,0.257142857142857,0.2,0,0.0285714285714286,0.0571428571428571,0,0.171428571428571,0.114285714285714,0.142857142857143,0.0285714285714286,0
"7",1,0,0.555555555555556,0.222222222222222,0,0,0,0,0.222222222222222,0,0,0,0
"8",1,0,0,0,0.5,0,0,0,0,0,0,0.5,0
"9",1,0,0.555555555555556,0,0,0.111111111111111,0,0,0.333333333333333,0,0,0,0
"10",0,1,0,0,0,0,0,0,0,0,0,0,0
"11",1,0,1,0,0,0,0,0,0,0,0,0,0
"12",1,0,0.0833333333333333,0.25,0.166666666666667,0.0833333333333333,0.166666666666667,0,0.0833333333333333,0,0.166666666666667,0,0
"13",1,0,0.5,0,0,0.25,0,0,0.25,0,0,0,0
"14",0,1,0,0,0,0,0,0,0,0,0,0,0
"15",1,0,0,0,0,0,0,0,0,1,0,0,0
"16",1,0,1,0,0,0,0,0,0,0,0,0,0
"17",1,0,0.8,0,0,0,0,0,0.2,0,0,0,0
"18",1,0,0.312925170068027,0.210884353741497,0.0476190476190476,0.0272108843537415,0.0272108843537415,0.00680272108843537,0.156462585034014,0.0952380952380952,0.0816326530612245,0.0340136054421769,0
"19",1,0,0.5,0.166666666666667,0,0.166666666666667,0,0,0.166666666666667,0,0,0,0
"20",1,0,0,0.75,0.25,0,0,0,0,0,0,0,0
"21",1,0,0.428571428571429,0.285714285714286,0.0476190476190476,0.0476190476190476,0,0,0.0952380952380952,0.0476190476190476,0.0476190476190476,0,0
"22",1,0,0.681818181818182,0,0,0.0454545454545455,0,0,0.272727272727273,0,0,0,0
"23",1,0,0.708333333333333,0,0,0.125,0,0,0.166666666666667,0,0,0,0
"24",1,0,0.739130434782608,0,0,0.0434782608695652,0,0,0.217391304347826,0,0,0,0
"25",1,0,0.377777777777778,0.333333333333333,0.0666666666666667,0.0444444444444444,0,0,0.0888888888888889,0,0.0888888888888889,0,0
"26",1,0,0.826086956521739,0,0,0.0434782608695652,0,0,0.130434782608696,0,0,0,0
"27",1,0,0,0,0,0,0,0,0,1,0,0,0
"28",1,0,0,0,1,0,0,0,0,0,0,0,0
"29",1,0,0.571428571428571,0,0,0.142857142857143,0,0,0.285714285714286,0,0,0,0
"30",1,0,1,0,0,0,0,0,0,0,0,0,0
"31",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"32",1,0,0.5,0.269230769230769,0.0384615384615385,0,0,0,0.0897435897435897,0.0641025641025641,0.0384615384615385,0,0
"33",1,0,0.347826086956522,0.260869565217391,0,0.0434782608695652,0.0434782608695652,0,0.130434782608696,0.173913043478261,0,0,0
"34",1,0,0.125,0.75,0.125,0,0,0,0,0,0,0,0
"35",0,1,0,0,0,0,0,0,0,0,0,0,0
"36",1,0,0.352941176470588,0,0,0,0,0.0588235294117647,0.176470588235294,0.352941176470588,0.0588235294117647,0,0
"37",1,0,0,0.5,0,0,0.25,0,0,0.25,0,0,0
"38",1,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"39",0,1,0,0,0,0,0,0,0,0,0,0,0
"40",1,0,0,1,0,0,0,0,0,0,0,0,0
"41",1,0,1,0,0,0,0,0,0,0,0,0,0
"42",1,0,0.484848484848485,0.151515151515151,0,0.0909090909090909,0,0,0.227272727272727,0,0.0454545454545455,0,0
"43",1,0,0.306666666666667,0.306666666666667,0.0666666666666667,0.0533333333333333,0.0133333333333333,0,0.0533333333333333,0.133333333333333,0.04,0.0266666666666667,0
"44",1,0,0.521739130434782,0,0,0.130434782608696,0,0,0.347826086956522,0,0,0,0
"45",1,0,0,0.416666666666667,0.0833333333333333,0,0.0833333333333333,0.166666666666667,0,0.0833333333333333,0,0.166666666666667,0
"46",1,0,0.280701754385965,0.140350877192982,0,0.087719298245614,0.0526315789473684,0,0.385964912280702,0.0175438596491228,0.0350877192982456,0,0
"47",1,0,0.577777777777778,0,0,0.177777777777778,0,0,0.244444444444444,0,0,0,0
"48",1,0,0,0,0,0,0,0,0,0,1,0,0
"49",1,0,1,0,0,0,0,0,0,0,0,0,0
"50",0,1,0,0,0,0,0,0,0,0,0,0,0
"51",0,1,0,0,0,0,0,0,0,0,0,0,0
"52",1,0,0.344827586206897,0.103448275862069,0,0.206896551724138,0,0,0.172413793103448,0,0.172413793103448,0,0
"53",1,0,0.5,0,0.166666666666667,0,0,0,0,0,0.333333333333333,0,0
"54",1,0,0.25,0.5,0,0,0,0,0,0,0.25,0,0
"55",1,0,1,0,0,0,0,0,0,0,0,0,0
"56",1,0,0.555555555555556,0.222222222222222,0,0.222222222222222,0,0,0,0,0,0,0
"57",1,0,0.357142857142857,0.214285714285714,0,0.214285714285714,0,0,0.142857142857143,0.0714285714285714,0,0,0
"58",1,0,0.325301204819277,0.36144578313253,0.0963855421686747,0.0120481927710843,0,0,0.0963855421686747,0,0.108433734939759,0,0
"59",1,0,0.5625,0,0,0.25,0,0,0.1875,0,0,0,0
"60",1,0,0.428571428571428,0.214285714285714,0,0.142857142857143,0,0,0.142857142857143,0,0.0714285714285714,0,0
"61",1,0,0.571428571428571,0,0,0.142857142857143,0,0,0.285714285714286,0,0,0,0
"62",0,1,0,0,0,0,0,0,0,0,0,0,0
"63",1,0,0.227272727272727,0.227272727272727,0,0.136363636363636,0,0,0.136363636363636,0,0.272727272727273,0,0
"64",1,0,0.466666666666667,0.266666666666667,0,0.0666666666666667,0,0,0.133333333333333,0,0.0666666666666667,0,0
"65",1,0,0,0.25,0.25,0,0,0,0,0.25,0,0.25,0
"66",1,0,0.230769230769231,0.487179487179487,0.141025641025641,0,0,0,0.0256410256410256,0.0384615384615385,0.0256410256410256,0.0512820512820513,0
"67",1,0,0.21656050955414,0.337579617834395,0.140127388535032,0.0191082802547771,0.00636942675159236,0,0.10828025477707,0.0254777070063694,0.121019108280255,0.0254777070063694,0
"68",1,0,0,0.363636363636364,0.181818181818182,0,0,0.181818181818182,0.0909090909090909,0,0.181818181818182,0,0
"69",1,0,0.6,0,0,0.4,0,0,0,0,0,0,0
"70",1,0,0.454545454545455,0,0,0.0909090909090909,0,0,0.454545454545455,0,0,0,0
"71",1,0,0.470588235294118,0,0,0.235294117647059,0,0,0.294117647058824,0,0,0,0
"72",0,1,0,0,0,0,0,0,0,0,0,0,0
"73",1,0,0.5,0.5,0,0,0,0,0,0,0,0,0
"74",1,0,0.4,0,0,0.2,0,0,0.4,0,0,0,0
"75",0,1,0,0,0,0,0,0,0,0,0,0,0
"76",1,0,0.4,0.233333333333333,0.0333333333333333,0.02,0.02,0,0.18,0.0666666666666667,0.04,0.00666666666666667,0
"77",1,0,0.214285714285714,0.428571428571428,0.0714285714285714,0,0,0,0.285714285714286,0,0,0,0
"78",1,0,0.37037037037037,0.185185185185185,0,0.0925925925925926,0.037037037037037,0,0.222222222222222,0.037037037037037,0.0555555555555556,0,0
"79",1,0,0.36,0.12,0,0.14,0,0,0.26,0.04,0.08,0,0
"80",1,0,0.333333333333333,0.166666666666667,0.166666666666667,0,0,0,0.166666666666667,0,0.166666666666667,0,0
"81",1,0,0.525252525252525,0.141414141414141,0,0.0404040404040404,0,0,0.161616161616162,0.0808080808080808,0.0505050505050505,0,0
