"","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1",0,1,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0
"3",0,1,0,0,0,0,0,0,0
"4",0,1,0,0,0,0,0,0,0
"5",1,0,0.0454545454545455,0.954545454545454,0.136363636363636,0.181818181818182,0.363636363636364,0.318181818181818,0
"6",1,0,0.202380952380952,0.797619047619047,0.0357142857142857,0.130952380952381,0.285714285714286,0.547619047619048,0
"7",1,0,0,1,0.117647058823529,0.117647058823529,0.294117647058824,0.470588235294118,0
"8",0,1,0,0,0,0,0,0,0
"9",1,0,0,1,0.0909090909090909,0,0.454545454545455,0.454545454545455,0
"10",0,1,0,0,0,0,0,0,0
"11",1,0,0,1,0.0833333333333333,0.166666666666667,0.333333333333333,0.416666666666667,0
"12",1,0,0,1,0.4,0.2,0.4,0,0
"13",1,0,0.5,0.5,0.5,0.5,0,0,0
"14",0,1,0,0,0,0,0,0,0
"15",0,1,0,0,0,0,0,0,0
"16",1,0,0,1,0.0666666666666667,0.0333333333333333,0.533333333333333,0.366666666666667,0
"17",1,0,0,1,0.25,0.166666666666667,0.416666666666667,0.166666666666667,0
"18",1,0,0.00273224043715847,0.997267759562843,0.0300546448087432,0.0765027322404372,0.30327868852459,0.59016393442623,0
"19",1,0,0,0.999999999999999,0.0434782608695652,0.0652173913043478,0.413043478260869,0.478260869565217,0
"20",1,0,1,0,0,0.157894736842105,0.473684210526316,0.368421052631579,0
"21",1,0,0,0.999999999999998,0.0319148936170213,0.0425531914893617,0.351063829787234,0.574468085106383,0
"22",1,0,0,0.999999999999999,0.0681818181818182,0.0681818181818182,0.431818181818182,0.431818181818182,0
"23",1,0,0,0.999999999999999,0.0267857142857143,0.0357142857142857,0.3125,0.625,0
"24",1,0,0,1,0.0277777777777778,0.0277777777777778,0.333333333333333,0.611111111111111,0
"25",1,0,0.0598802395209581,0.940119760479045,0.0538922155688623,0.101796407185629,0.311377245508982,0.532934131736527,0
"26",1,0,0,1,0.029126213592233,0.0485436893203883,0.320388349514563,0.601941747572815,0
"27",1,0,1,0,1,0,0,0,0
"28",0,1,0,0,0,0,0,0,0
"29",1,0,0,1,0.0344827586206897,0.0862068965517241,0.293103448275862,0.586206896551724,0
"30",0,1,0,0,0,0,0,0,0
"31",0,1,0,0,0,0,0,0,0
"32",1,0,0.0169491525423729,0.983050847457623,0.0564971751412429,0.107344632768362,0.372881355932204,0.463276836158192,0
"33",1,0,0,1,0.0333333333333333,0.0666666666666667,0.433333333333333,0.466666666666667,0
"34",0,1,0,0,0,0,0,0,0
"35",0,1,0,0,0,0,0,0,0
"36",1,0,0,1,0.0612244897959184,0.0816326530612245,0.36734693877551,0.489795918367347,0
"37",0,1,0,0,0,0,0,0,0
"38",1,0,0,1,0.111111111111111,0.111111111111111,0.555555555555556,0.222222222222222,0
"39",0,1,0,0,0,0,0,0,0
"40",0,1,0,0,0,0,0,0,0
"41",1,0,0.172413793103448,0.827586206896551,0.103448275862069,0.0689655172413793,0.413793103448276,0.413793103448276,0
"42",1,0,0,0.999999999999993,0.0116009280742459,0.0556844547563805,0.20185614849188,0.730858468677492,0
"43",1,0,0.14792899408284,0.852071005917163,0.0177514792899408,0.0355029585798817,0.222879684418146,0.723865877712034,0
"44",1,0,0,0.999999999999999,0.0151515151515152,0.0151515151515152,0.227272727272727,0.742424242424242,0
"45",0,1,0,0,0,0,0,0,0
"46",1,0,0,0.999999999999997,0.0177935943060498,0.0320284697508897,0.220640569395018,0.729537366548041,0
"47",1,0,0.295081967213115,0.704918032786883,0.0122950819672131,0.0327868852459016,0.25,0.704918032786883,0
"48",1,0,1,0,1,0,0,0,0
"49",0,1,0,0,0,0,0,0,0
"50",0,1,0,0,0,0,0,0,0
"51",0,1,0,0,0,0,0,0,0
"52",1,0,0.176470588235294,0.823529411764704,0.0352941176470588,0.0882352941176471,0.21764705882353,0.658823529411763,0
"53",0,1,0,0,0,0,0,0,0
"54",0,1,0,0,0,0,0,0,0
"55",0,1,0,0,0,0,0,0,0
"56",1,0,0.25,0.75,0.0681818181818182,0.0681818181818182,0.318181818181818,0.545454545454545,0
"57",1,0,0,0.999999999999999,0.0526315789473684,0.0526315789473684,0.342105263157895,0.552631578947368,0
"58",1,0,0.0378151260504202,0.962184873949578,0.046218487394958,0.0798319327731092,0.323529411764706,0.550420168067226,0
