"","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"1",1,0,0,0.2,0.2,0.2,0,0,0,0.4,0
"2",1,0,0.5,0,0,0,0.5,0,0,0,0
"3",1,0,0,1,0,0,0,0,0,0,0
"4",1,0,0.2,0,0,0,0.2,0,0,0.6,0
"5",1,0,0,0.75,0.0625,0,0,0.0625,0.0625,0.0625,0
"6",1,0,0.0588235294117647,0.294117647058824,0.117647058823529,0,0.117647058823529,0.0588235294117647,0.117647058823529,0.235294117647059,0
"7",1,0,0,0.666666666666667,0,0,0,0,0.166666666666667,0.166666666666667,0
"8",1,0,0.5,0,0,0,0,0,0,0.5,0
"9",1,0,0,0.833333333333333,0,0,0,0.166666666666667,0,0,0
"10",0,1,0,0,0,0,0,0,0,0,0
"11",1,0,0,1,0,0,0,0,0,0,0
"12",1,0,0.2,0,0,0,0,0,0.2,0.6,0
"13",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"14",1,0,0,0,0,0,0,0,1,0,0
"15",0,1,0,0,0,0,0,0,0,0,0
"16",1,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0,0
"17",1,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0,0
"18",1,0,0.108695652173913,0.391304347826087,0.0869565217391304,0.0434782608695652,0,0.108695652173913,0.195652173913043,0.0652173913043478,0
"19",1,0,0,0.75,0,0,0,0,0.25,0,0
"20",1,0,0,0,0,0.5,0,0,0.5,0,0
"21",1,0,0.111111111111111,0.555555555555556,0,0,0,0.111111111111111,0.222222222222222,0,0
"22",1,0,0,1,0,0,0,0,0,0,0
"23",1,0,0,0.636363636363636,0,0,0,0.272727272727273,0.0909090909090909,0,0
"24",1,0,0,1,0,0,0,0,0,0,0
"25",1,0,0.0689655172413793,0.655172413793103,0.0689655172413793,0,0,0.0689655172413793,0.0344827586206897,0.103448275862069,0
"26",1,0,0,0.846153846153846,0.153846153846154,0,0,0,0,0,0
"27",1,0,0,0,0,1,0,0,0,0,0
"28",0,1,0,0,0,0,0,0,0,0,0
"29",1,0,0,0.769230769230769,0.230769230769231,0,0,0,0,0,0
"30",0,1,0,0,0,0,0,0,0,0,0
"31",0,1,0,0,0,0,0,0,0,0,0
"32",1,0,0.0909090909090909,0.545454545454545,0.0606060606060606,0.0303030303030303,0,0.0606060606060606,0.181818181818182,0.0303030303030303,0
"33",1,0,0,0.571428571428571,0,0.285714285714286,0,0,0,0.142857142857143,0
"34",1,0,0.5,0,0,0.25,0,0,0.25,0,0
"35",1,0,0,0,0,0,0,0.5,0,0.5,0
"36",1,0,0,0.666666666666667,0,0.166666666666667,0,0,0.166666666666667,0,0
"37",1,0,0,0,0,0.25,0,0.25,0.25,0.25,0
"38",1,0,0,0,0,0.25,0,0,0.25,0.5,0
"39",0,1,0,0,0,0,0,0,0,0,0
"40",1,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0
"41",1,0,0,0.5,0,0.5,0,0,0,0,0
"42",1,0,0,0.652173913043478,0.0869565217391304,0,0,0.217391304347826,0,0.0434782608695652,0
"43",1,0,0.111111111111111,0.37037037037037,0,0,0,0.148148148148148,0.185185185185185,0.185185185185185,0
"44",1,0,0,0.727272727272727,0.181818181818182,0,0,0,0.0909090909090909,0,0
"45",1,0,0,0.25,0,0.5,0,0,0.25,0,0
"46",1,0,0,0.631578947368421,0,0.0526315789473684,0,0.105263157894737,0.105263157894737,0.105263157894737,0
"47",1,0,0,0.8,0,0,0,0.2,0,0,0
"48",1,0,0,0,0,0,0,0,1,0,0
"49",0,1,0,0,0,0,0,0,0,0,0
"50",1,0,0,0,0,0,0,0,0,1,0
"51",0,1,0,0,0,0,0,0,0,0,0
"52",1,0,0.0434782608695652,0.478260869565217,0.217391304347826,0,0,0.130434782608696,0.0434782608695652,0.0869565217391304,0
"53",1,0,0.25,0,0,0,0,0,0,0.75,0
"54",1,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667,0
"55",1,0,0,0,0,0,0,0,0,1,0
"56",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0
"57",1,0,0,0.5,0.375,0,0,0,0.125,0,0
"58",1,0,0.4,0,0.1,0,0,0,0.45,0.05,0
"59",1,0,0,0.571428571428571,0.285714285714286,0,0,0.142857142857143,0,0,0
"60",1,0,0,0.5,0,0,0,0.166666666666667,0,0.333333333333333,0
"61",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0
"62",0,1,0,0,0,0,0,0,0,0,0
"63",1,0,0,0.5,0.125,0,0,0.125,0.125,0.125,0
"64",1,0,0,0.545454545454546,0.181818181818182,0,0,0.0909090909090909,0,0.181818181818182,0
"65",1,0,0.25,0,0,0.5,0,0,0.25,0,0
"66",1,0,0.0625,0.40625,0.15625,0.03125,0,0,0.125,0.21875,0
"67",1,0,0,0.538461538461538,0.0769230769230769,0.0384615384615385,0,0.0384615384615385,0,0.307692307692308,0
"68",1,0,0.666666666666667,0,0,0,0,0,0,0.333333333333333,0
"69",1,0,0,1,0,0,0,0,0,0,0
"70",1,0,0,0.8,0,0,0,0.2,0,0,0
"71",1,0,0,0.625,0,0,0,0.375,0,0,0
"72",0,1,0,0,0,0,0,0,0,0,0
"73",0,1,0,0,0,0,0,0,0,0,0
"74",1,0,0,0.4,0.4,0,0,0,0.2,0,0
"75",0,1,0,0,0,0,0,0,0,0,0
"76",1,0,0.0425531914893617,0.553191489361702,0.0212765957446809,0.0212765957446809,0,0.106382978723404,0.127659574468085,0.127659574468085,0
"77",1,0,0,0,0.2,0.2,0,0,0.6,0,0
