"","Loop_number","No_loop","Loop"
"1",1,0,1
"2",1,0,1
"3",2,0,1
"4",1,0,1
"5",0,0,1
"6",0,0,1
"7",1,0,1
"8",1,0,1
"9",1,0,1
"10",0,0,1
"11",0,0,1
"12",0,0,1
"13",2,0,1
"14",1,0,1
"15",0,0,1
"16",1,0,1
"17",3,0,1
"18",2,0,1
"19",0,0,1
"20",1,0,1
"21",0,0,1
"22",0,0,1
"23",0,0,1
"24",1,0,1
"25",0,0,1
"26",2,0,1
"27",7,0,1
"28",1,0,1
"29",0,0,1
"30",1,0,1
"31",0,0,1
"32",8,0,1
"33",0,0,1
"34",0,0,1
"35",2,0,1
"36",0,0,1
"37",1,0,1
"38",42,0,1
"39",0,0,1
"40",0,0,1
"41",25,0,1
"42",2,0,1
"43",0,0,1
