"","Loop_number","No_loop","Loop"
"1",2,0,1
"2",0,0,1
"3",0,0,1
"4",2,0,1
"5",0,0,1
"6",0,0,1
"7",1,0,1
"8",3,0,1
"9",2,0,1
"10",0,0,1
"11",1,0,1
"12",0,0,1
"13",2,0,1
"14",3,0,1
"15",0,0,1
"16",3,0,1
"17",2,0,1
"18",1,0,1
"19",0,0,1
"20",1,0,1
"21",0,0,1
"22",1,0,1
"23",0,0,1
"24",0,0,1
"25",1,0,1
"26",2,0,1
"27",10,0,1
"28",1,0,1
"29",0,0,1
"30",1,0,1
"31",3,0,1
"32",4,0,1
"33",1,0,1
"34",0,0,1
"35",1,0,1
"36",0,0,1
"37",1,0,1
"38",19,0,1
"39",0,0,1
"40",1,0,1
"41",9,0,1
"42",2,0,1
"43",2,0,1
