"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",3,0,1
"3",3,0,1
"4",2,0,1
"5",11,0,1
"6",0,0,1
"7",8,0,1
"8",3,0,1
"9",0,0,1
"10",0,0,1
"11",3,0,1
"12",6,0,1
"13",5,0,1
"14",0,0,1
"15",4,0,1
"16",1,0,1
"17",0,0,1
"18",1,0,1
"19",0,0,1
"20",1,0,1
"21",4,0,1
"22",1,0,1
"23",3,0,1
"24",3,0,1
"25",2,0,1
"26",1,0,1
"27",1,0,1
"28",1,0,1
"29",1,0,1
"30",1,0,1
"31",4,0,1
"32",1,0,1
"33",0,0,1
"34",0,0,1
"35",0,0,1
"36",0,0,1
"37",0,0,1
"38",0,0,1
"39",15,0,1
"40",1,0,1
"41",1,0,1
"42",13,0,1
"43",0,0,1
"44",0,0,1
"45",0,0,1
"46",0,0,1
"47",0,0,1
"48",0,0,1
"49",0,0,1
"50",0,0,1
"51",1,0,1
"52",2,0,1
"53",0,0,1
"54",0,0,1
"55",0,0,1
"56",0,0,1
"57",0,0,1
"58",0,0,1
"59",0,0,1
"60",0,0,1
"61",2,0,1
"62",1,0,1
"63",0,0,1
"64",0,0,1
"65",0,0,1
"66",0,0,1
"67",0,0,1
"68",0,0,1
"69",0,0,1
"70",0,0,1
"71",0,0,1
"72",0,0,1
"73",0,0,1
"74",0,0,1
"75",13,0,1
"76",30,0,1
"77",0,0,1
"78",0,0,1
"79",0,0,1
"80",0,0,1
"81",2,0,1
"82",0,0,1
"83",0,0,1
"84",3,0,1
"85",3,0,1
"86",0,0,1
"87",2,0,1
"88",0,0,1
"89",4,0,1
"90",0,0,1
"91",0,0,1
"92",0,0,1
"93",0,0,1
"94",1,0,1
"95",0,0,1
"96",0,0,1
"97",0,0,1
"98",1,0,1
"99",4,0,1
"100",0,0,1
"101",2,0,1
"102",0,0,1
"103",0,0,1
"104",0,0,1
"105",0,0,1
"106",0,0,1
"107",0,0,1
"108",0,0,1
"109",0,0,1
"110",0,0,1
"111",0,0,1
"112",0,0,1
"113",0,0,1
"114",0,0,1
"115",0,0,1
"116",0,0,1
"117",0,0,1
"118",0,0,1
"119",0,0,1
"120",0,0,1
"121",0,0,1
"122",0,0,1
"123",0,0,1
"124",0,0,1
"125",0,0,1
"126",0,0,1
"127",0,0,1
"128",0,0,1
"129",0,0,1
"130",0,0,1
"131",0,0,1
"132",0,0,1
"133",0,0,1
"134",0,0,1
"135",0,0,1
"136",0,0,1
"137",0,0,1
"138",0,0,1
"139",0,0,1
"140",0,0,1
"141",0,0,1
"142",0,0,1
"143",0,0,1
"144",0,0,1
"145",0,0,1
"146",0,0,1
"147",0,0,1
"148",41,0,1
"149",2,0,1
"150",0,0,1
"151",7,0,1
"152",0,0,1
"153",1,0,1
"154",0,0,1
"155",0,0,1
"156",4,0,1
"157",0,0,1
"158",0,0,1
"159",0,0,1
"160",1,0,1
"161",0,0,1
"162",0,0,1
"163",1,0,1
"164",0,0,1
"165",1,0,1
"166",0,0,1
"167",0,0,1
"168",0,0,1
"169",2,0,1
"170",0,0,1
"171",1,0,1
"172",0,0,1
"173",2,0,1
"174",2,0,1
"175",0,0,1
"176",1,0,1
"177",0,0,1
"178",0,0,1
"179",0,0,1
"180",0,0,1
"181",0,0,1
"182",1,0,1
"183",3,0,1
"184",35,0,1
"185",4,0,1
"186",15,0,1
"187",6,0,1
"188",0,0,1
"189",0,0,1
"190",0,0,1
"191",0,0,1
"192",6,0,1
"193",0,0,1
"194",6,0,1
"195",0,0,1
"196",0,0,1
"197",2,0,1
"198",0,0,1
"199",1,0,1
"200",0,0,1
"201",3,0,1
"202",4,0,1
"203",8,0,1
"204",0,0,1
"205",0,0,1
"206",6,0,1
"207",1,0,1
"208",5,0,1
"209",4,0,1
"210",1,0,1
"211",4,0,1
"212",0,0,1
"213",0,0,1
"214",0,0,1
"215",0,0,1
"216",0,0,1
"217",0,0,1
"218",0,0,1
"219",0,0,1
"220",9,0,1
"221",23,0,1
"222",10,0,1
"223",46,0,1
"224",0,0,1
"225",0,0,1
"226",0,0,1
"227",0,0,1
"228",2,0,1
"229",6,0,1
"230",8,0,1
"231",2,0,1
"232",3,0,1
"233",13,0,1
"234",1,0,1
"235",0,0,1
"236",10,0,1
"237",4,0,1
"238",4,0,1
"239",0,0,1
"240",4,0,1
"241",0,0,1
"242",3,0,1
"243",4,0,1
"244",3,0,1
"245",5,0,1
"246",2,0,1
"247",0,0,1
"248",2,0,1
"249",1,0,1
"250",0,0,1
"251",1,0,1
"252",0,0,1
"253",0,0,1
"254",0,0,1
"255",7,0,1
"256",42,0,1
"257",2,0,1
"258",0,0,1
"259",1,0,1
"260",7,0,1
"261",0,0,1
"262",0,0,1
"263",0,0,1
"264",3,0,1
"265",2,0,1
"266",0,0,1
"267",0,0,1
"268",1,0,1
"269",2,0,1
"270",0,0,1
"271",10,0,1
"272",4,0,1
"273",3,0,1
"274",6,0,1
"275",0,0,1
"276",0,0,1
"277",2,0,1
"278",7,0,1
"279",5,0,1
"280",3,0,1
"281",3,0,1
"282",0,0,1
"283",2,0,1
"284",2,0,1
"285",0,0,1
"286",0,0,1
"287",1,0,1
"288",0,0,1
"289",0,0,1
"290",49,0,1
"291",4,0,1
"292",3,0,1
"293",6,0,1
"294",0,0,1
"295",38,0,1
"296",0,0,1
"297",1,0,1
"298",1,0,1
"299",0,0,1
"300",5,0,1
"301",1,0,1
"302",2,0,1
"303",3,0,1
"304",13,0,1
"305",12,0,1
"306",8,0,1
"307",1,0,1
"308",10,0,1
"309",0,0,1
"310",5,0,1
"311",2,0,1
"312",6,0,1
"313",4,0,1
"314",3,0,1
"315",4,0,1
"316",9,0,1
"317",7,0,1
"318",1,0,1
"319",0,0,1
"320",2,0,1
"321",1,0,1
"322",0,0,1
"323",0,0,1
"324",3,0,1
"325",0,0,1
"326",0,0,1
"327",1,0,1
"328",43,0,1
"329",0,0,1
"330",26,0,1
"331",5,0,1
"332",1,0,1
"333",0,0,1
"334",0,0,1
"335",1,0,1
"336",1,0,1
