"","FBL_number","No_FBL","FBL"
"1",5,0,1
"2",0,0,1
"3",1,0,1
"4",0,0,1
"5",0,0,1
"6",0,0,1
"7",44,0,1
"8",327,0,1
"9",0,0,1
"10",0,0,1
"11",0,0,1
"12",0,0,1
"13",0,0,1
"14",0,0,1
"15",0,0,1
"16",58,0,1
"17",289,0,1
"18",0,0,1
"19",0,0,1
"20",1,0,1
"21",0,0,1
"22",138,0,1
"23",136,0,1
"24",101,0,1
"25",0,0,1
"26",10,0,1
"27",0,0,1
"28",0,0,1
"29",0,0,1
"30",0,0,1
"31",28,0,1
"32",0,0,1
"33",0,0,1
"34",0,0,1
"35",0,0,1
"36",801,0,1
"37",0,0,1
"38",0,0,1
"39",0,0,1
"40",0,0,1
"41",46,0,1
"42",0,0,1
"43",0,0,1
"44",22,0,1
"45",0,0,1
"46",0,0,1
"47",0,0,1
"48",0,0,1
"49",0,0,1
"50",62,0,1
"51",0,0,1
"52",0,0,1
"53",217,0,1
"54",0,0,1
"55",23,0,1
"56",0,0,1
"57",0,0,1
"58",0,0,1
"59",272,0,1
"60",283,0,1
"61",0,0,1
"62",179,0,1
"63",57,0,1
"64",0,0,1
"65",0,0,1
"66",0,0,1
"67",0,0,1
"68",0,0,1
"69",0,0,1
"70",0,0,1
"71",0,0,1
"72",496,0,1
"73",23,0,1
"74",364,0,1
"75",0,0,1
"76",92,0,1
"77",306,0,1
"78",0,0,1
"79",0,0,1
"80",0,0,1
"81",0,0,1
"82",228,0,1
"83",118,0,1
"84",446,0,1
"85",271,0,1
"86",0,0,1
"87",0,0,1
"88",0,0,1
"89",281,0,1
"90",229,0,1
"91",0,0,1
"92",49,0,1
"93",684,0,1
"94",411,0,1
"95",0,0,1
"96",0,0,1
"97",511,0,1
"98",269,0,1
"99",0,0,1
"100",39,0,1
"101",0,0,1
"102",0,0,1
"103",0,0,1
"104",0,0,1
"105",0,0,1
"106",85,0,1
"107",70,0,1
"108",0,0,1
"109",0,0,1
"110",100,0,1
"111",0,0,1
"112",0,0,1
"113",69,0,1
"114",0,0,1
"115",0,0,1
"116",278,0,1
"117",653,0,1
"118",22,0,1
"119",396,0,1
"120",555,0,1
"121",0,0,1
"122",131,0,1
"123",174,0,1
"124",0,0,1
"125",45,0,1
"126",0,0,1
"127",0,0,1
"128",0,0,1
"129",0,0,1
"130",95,0,1
"131",71,0,1
"132",45,0,1
"133",258,0,1
"134",0,0,1
"135",91,0,1
