"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",1,0,0.212389380530974,0.336283185840708,0.0707964601769911,0.00884955752212389,0,0.0353982300884956,0.0442477876106195,0.150442477876106,0.0353982300884956,0.106194690265487,0
"2",1,0,0.181818181818182,0.409090909090909,0.0909090909090909,0,0,0,0.0909090909090909,0,0.227272727272727,0,0
"3",1,0,0.205962059620596,0.289972899728997,0.0813008130081301,0.037940379403794,0.021680216802168,0.013550135501355,0.121951219512195,0.102981029810298,0.0704607046070461,0.0542005420054201,0
"4",1,0,0.0434782608695652,0.391304347826087,0.391304347826087,0,0,0,0,0.0434782608695652,0,0.130434782608696,0
"5",1,0,0.208571428571429,0.28,0.0742857142857143,0.0142857142857143,0.0171428571428571,0.0228571428571429,0.111428571428572,0.14,0.0942857142857144,0.0371428571428571,0
"6",1,0,0.233128834355828,0.392638036809816,0.159509202453988,0,0.00613496932515337,0,0.0797546012269939,0.0674846625766871,0.0368098159509202,0.0245398773006135,0
"7",1,0,1,0,0,0,0,0,0,0,0,0,0
"8",1,0,0.413333333333333,0.1,0.02,0.0466666666666667,0.00666666666666667,0.00666666666666667,0.226666666666666,0.133333333333333,0.0466666666666667,0,0
"9",1,0,0.202739726027397,0.35890410958904,0.101369863013699,0.0164383561643836,0.00821917808219178,0.0219178082191781,0.0602739726027397,0.117808219178082,0.0465753424657534,0.0657534246575343,0
"10",1,0,0.2,0.323076923076923,0.0923076923076923,0,0,0.0307692307692308,0.0307692307692308,0.215384615384615,0.0461538461538462,0.0615384615384615,0
"11",1,0,0,0.0444444444444444,0.4,0,0,0.0444444444444444,0,0.0444444444444444,0,0.466666666666666,0
"12",1,0,0.2,0.333333333333333,0,0.2,0.0666666666666667,0,0.0666666666666667,0.0666666666666667,0.0666666666666667,0,0
"13",1,0,0.313131313131313,0,0,0.252525252525253,0,0,0.434343434343435,0,0,0,0
"14",1,0,0.220779220779221,0.0909090909090909,0,0.207792207792208,0.103896103896104,0,0.272727272727273,0.0909090909090909,0.012987012987013,0,0
"15",1,0,0.115384615384615,0.153846153846154,0.0384615384615385,0.0769230769230769,0.211538461538462,0.0576923076923077,0.0769230769230769,0.0961538461538462,0.0769230769230769,0.0961538461538462,0
"16",1,0,0.246575342465753,0.0821917808219178,0,0.219178082191781,0.0410958904109589,0,0.287671232876712,0.0273972602739726,0.0958904109589041,0,0
"17",1,0,0.382352941176471,0,0,0.176470588235294,0,0,0.441176470588235,0,0,0,0
"18",1,0,0.282608695652174,0.0543478260869565,0.0108695652173913,0.141304347826087,0.0760869565217391,0,0.33695652173913,0.0543478260869565,0.0434782608695652,0,0
"19",1,0,0.116279069767442,0.325581395348837,0.0232558139534884,0.0930232558139535,0.116279069767442,0,0.13953488372093,0.0697674418604651,0.116279069767442,0,0
"20",1,0,0,0.235294117647059,0.117647058823529,0,0.0588235294117647,0.176470588235294,0,0.117647058823529,0.176470588235294,0.117647058823529,0
"21",1,0,0.444444444444445,0,0,0.222222222222222,0,0,0.333333333333333,0,0,0,0
"22",1,0,0.244186046511628,0.0697674418604651,0.0116279069767442,0.186046511627907,0.0697674418604651,0.0116279069767442,0.27906976744186,0.104651162790698,0.0232558139534884,0,0
"23",1,0,0.306451612903226,0.0483870967741935,0,0.193548387096774,0.0483870967741935,0,0.370967741935484,0,0.032258064516129,0,0
"24",0,1,0,0,0,0,0,0,0,0,0,0,0
"25",1,0,0.317073170731707,0.024390243902439,0,0.0975609756097561,0.024390243902439,0,0.463414634146342,0.024390243902439,0.0487804878048781,0,0
"26",1,0,0.42,0,0,0.2,0.02,0,0.28,0.08,0,0,0
"27",1,0,0.196428571428571,0.125,0.0178571428571429,0.107142857142857,0.107142857142857,0.0178571428571429,0.178571428571429,0.142857142857143,0.107142857142857,0,0
"28",1,0,0.284210526315789,0.115789473684211,0,0.115789473684211,0.0842105263157895,0,0.252631578947368,0.0736842105263158,0.0736842105263158,0,0
"29",1,0,0.185714285714286,0.142857142857143,0.0142857142857143,0.157142857142857,0.0714285714285714,0.0142857142857143,0.228571428571429,0.0571428571428571,0.128571428571429,0,0
"30",1,0,0.333333333333333,0,0,0.166666666666667,0.0925925925925926,0,0.37037037037037,0.037037037037037,0,0,0
"31",1,0,0.0476190476190476,0.285714285714286,0.0952380952380952,0.0476190476190476,0.19047619047619,0,0.0476190476190476,0.0952380952380952,0.142857142857143,0.0476190476190476,0
"32",1,0,0,0,0.3,0,0,0.25,0,0,0,0.45,0
"33",1,0,0.153846153846154,0.230769230769231,0.461538461538462,0,0,0.0769230769230769,0,0,0,0.0769230769230769,0
"34",1,0,0.24,0.12,0,0.16,0.04,0,0.2,0.16,0.04,0.04,0
"35",1,0,0.388888888888889,0,0,0.0555555555555556,0.111111111111111,0.0555555555555556,0.388888888888889,0,0,0,0
"36",1,0,0.04,0.28,0.405,0.005,0.01,0.03,0.02,0.055,0.09,0.065,0
"37",1,0,0.136690647482014,0.489208633093526,0.273381294964029,0.00719424460431655,0,0,0.0287769784172662,0.0143884892086331,0.0431654676258993,0.00719424460431655,0
"38",1,0,0.180555555555556,0.451388888888888,0.208333333333333,0,0,0.00694444444444444,0.0208333333333333,0.0763888888888889,0.0138888888888889,0.0416666666666667,0
"39",1,0,0.175889328063241,0.205533596837944,0.0671936758893281,0.090909090909091,0.0355731225296443,0.00592885375494071,0.183794466403162,0.0790513833992095,0.124505928853755,0.0316205533596838,0
"40",1,0,0.245387453874539,0.284132841328413,0.0608856088560886,0.0276752767527675,0.0276752767527675,0.0129151291512915,0.14760147601476,0.0793357933579336,0.0774907749077491,0.03690036900369,0
"41",1,0,0.179930795847751,0.273356401384083,0.0865051903114187,0.0242214532871972,0.0311418685121107,0.0242214532871972,0.124567474048443,0.124567474048443,0.0657439446366782,0.0657439446366782,0
"42",1,0,0.195454545454545,0.320454545454544,0.109090909090909,0.0431818181818182,0.0295454545454546,0.0113636363636364,0.111363636363636,0.0772727272727273,0.0454545454545455,0.0568181818181818,0
"43",1,0,0.3175,0.175,0.0125,0.0775,0.015,0,0.3075,0.0325,0.06,0.0025,0
"44",1,0,0.215447154471545,0.243902439024391,0.065040650406504,0.016260162601626,0.0386178861788618,0.0182926829268293,0.140243902439024,0.123983739837398,0.0853658536585365,0.0528455284552845,0
"45",1,0,0.0869565217391304,0.391304347826087,0.195652173913043,0,0,0,0.0434782608695652,0.108695652173913,0.0869565217391304,0.0869565217391304,0
"46",1,0,0.118421052631579,0.197368421052632,0.131578947368421,0.0131578947368421,0.118421052631579,0.0263157894736842,0.144736842105263,0.0657894736842105,0.0921052631578947,0.0921052631578947,0
"47",1,0,0.0350877192982456,0.192982456140351,0.263157894736842,0.0175438596491228,0.0701754385964912,0.0526315789473684,0.0350877192982456,0.0701754385964912,0.087719298245614,0.175438596491228,0
"48",1,0,0,0.147058823529412,0.382352941176471,0,0.0588235294117647,0.0882352941176471,0.0147058823529412,0.0588235294117647,0.0588235294117647,0.191176470588235,0
"49",1,0,0.246666666666666,0.0733333333333333,0,0.186666666666667,0.0133333333333333,0,0.406666666666666,0.0266666666666667,0.0466666666666667,0,0
"50",1,0,0.207100591715976,0.171597633136095,0.0118343195266272,0.112426035502959,0.106508875739645,0.00591715976331361,0.21301775147929,0.100591715976331,0.0650887573964497,0.00591715976331361,0
"51",1,0,0.492957746478873,0,0,0.126760563380282,0,0,0.380281690140845,0,0,0,0
"52",1,0,0.409722222222222,0.0694444444444445,0,0.118055555555556,0.0486111111111111,0,0.1875,0.159722222222222,0.00694444444444444,0,0
"53",1,0,0.202127659574468,0.212765957446809,0.0159574468085106,0.106382978723404,0.0585106382978723,0.00531914893617021,0.218085106382979,0.0797872340425532,0.0851063829787234,0.0159574468085106,0
"54",1,0,0.155555555555556,0.155555555555556,0.0666666666666667,0.0222222222222222,0.0222222222222222,0.0666666666666667,0.0222222222222222,0.311111111111111,0.133333333333333,0.0444444444444444,0
"55",1,0,0.176470588235294,0.274509803921569,0.0196078431372549,0.0392156862745098,0.0980392156862745,0.0196078431372549,0.0588235294117647,0.176470588235294,0.0784313725490196,0.0588235294117647,0
"56",1,0,0.358490566037736,0,0,0.132075471698113,0,0,0.509433962264151,0,0,0,0
"57",1,0,0.319587628865979,0.216494845360825,0.0103092783505155,0.0515463917525773,0.0206185567010309,0.0103092783505155,0.257731958762887,0.0309278350515464,0.0721649484536082,0.0103092783505155,0
"58",1,0,0.470588235294118,0,0,0.117647058823529,0,0,0.411764705882353,0,0,0,0
"59",1,0,0.316326530612245,0.0969387755102041,0,0.0816326530612245,0.0612244897959184,0,0.336734693877551,0.0612244897959184,0.0459183673469388,0,0
"60",1,0,0.254237288135593,0.169491525423729,0,0.0508474576271186,0.0677966101694915,0,0.288135593220339,0.0847457627118644,0.0677966101694915,0.0169491525423729,0
"61",1,0,0.318181818181818,0.168831168831169,0.00649350649350649,0.116883116883117,0.0194805194805195,0,0.272727272727273,0.0324675324675325,0.051948051948052,0.012987012987013,0
