"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",17,0,1
"3",0,0,1
"4",12,0,1
"5",12,0,1
"6",14,0,1
"7",6,0,1
"8",17,0,1
"9",5,0,1
"10",8,0,1
"11",9,0,1
"12",1,0,1
"13",8,0,1
"14",17,0,1
"15",0,0,1
"16",8,0,1
"17",8,0,1
"18",8,0,1
"19",8,0,1
"20",7,0,1
"21",8,0,1
"22",8,0,1
"23",7,0,1
"24",7,0,1
"25",3,0,1
"26",3,0,1
"27",8,0,1
"28",0,0,1
"29",4,0,1
"30",0,0,1
"31",4,0,1
"32",1,0,1
"33",1,0,1
"34",3,0,1
"35",3,0,1
"36",4,0,1
"37",4,0,1
"38",2,0,1
"39",4,0,1
"40",0,0,1
"41",10,0,1
"42",4,0,1
"43",1,0,1
"44",0,0,1
"45",3,0,1
"46",8,0,1
"47",11,0,1
"48",8,0,1
"49",11,0,1
"50",0,0,1
"51",0,0,1
"52",0,0,1
"53",0,0,1
"54",0,0,1
"55",0,0,1
"56",0,0,1
"57",0,0,1
"58",1,0,1
"59",0,0,1
"60",0,0,1
"61",0,0,1
"62",0,0,1
"63",7,0,1
"64",5,0,1
"65",3,0,1
"66",4,0,1
"67",2,0,1
"68",5,0,1
"69",0,0,1
"70",7,0,1
"71",0,0,1
"72",2,0,1
"73",0,0,1
"74",3,0,1
"75",2,0,1
"76",2,0,1
"77",3,0,1
"78",3,0,1
"79",1,0,1
"80",3,0,1
"81",2,0,1
"82",2,0,1
"83",3,0,1
"84",2,0,1
"85",3,0,1
"86",2,0,1
"87",3,0,1
"88",0,0,1
"89",15,0,1
"90",15,0,1
"91",7,0,1
"92",10,0,1
"93",3,0,1
"94",13,0,1
"95",10,0,1
"96",10,0,1
"97",10,0,1
"98",4,0,1
"99",13,0,1
"100",13,0,1
"101",0,0,1
"102",4,0,1
"103",0,0,1
"104",0,0,1
"105",0,0,1
"106",3,0,1
"107",3,0,1
"108",3,0,1
"109",0,0,1
"110",0,0,1
"111",3,0,1
"112",0,0,1
"113",0,0,1
"114",4,0,1
"115",9,0,1
"116",10,0,1
"117",8,0,1
"118",0,0,1
"119",7,0,1
"120",2,0,1
"121",2,0,1
"122",0,0,1
"123",0,0,1
"124",2,0,1
"125",3,0,1
"126",0,0,1
"127",0,0,1
"128",1,0,1
"129",2,0,1
"130",1,0,1
"131",4,0,1
"132",0,0,1
"133",11,0,1
"134",12,0,1
"135",2,0,1
"136",0,0,1
"137",4,0,1
"138",10,0,1
"139",7,0,1
"140",7,0,1
"141",6,0,1
"142",9,0,1
"143",12,0,1
"144",0,0,1
"145",0,0,1
"146",0,0,1
"147",0,0,1
"148",1,0,1
"149",1,0,1
"150",0,0,1
"151",1,0,1
"152",1,0,1
"153",0,0,1
"154",1,0,1
"155",1,0,1
"156",0,0,1
"157",1,0,1
"158",0,0,1
"159",6,0,1
"160",7,0,1
"161",1,0,1
"162",0,0,1
"163",0,0,1
"164",0,0,1
"165",0,0,1
"166",2,0,1
"167",0,0,1
"168",0,0,1
"169",0,0,1
"170",2,0,1
"171",5,0,1
"172",0,0,1
"173",0,0,1
"174",3,0,1
"175",3,0,1
"176",3,0,1
"177",3,0,1
"178",2,0,1
"179",0,0,1
"180",3,0,1
"181",3,0,1
"182",3,0,1
"183",0,0,1
"184",8,0,1
"185",1,0,1
"186",10,0,1
"187",9,0,1
"188",7,0,1
"189",0,0,1
"190",2,0,1
"191",7,0,1
"192",9,0,1
"193",9,0,1
"194",0,0,1
"195",5,0,1
"196",0,0,1
"197",2,0,1
"198",2,0,1
"199",2,0,1
"200",0,0,1
"201",1,0,1
"202",2,0,1
"203",5,0,1
"204",0,0,1
"205",0,0,1
"206",0,0,1
"207",1,0,1
"208",9,0,1
"209",0,0,1
"210",0,0,1
"211",13,0,1
"212",10,0,1
"213",5,0,1
"214",0,0,1
"215",14,0,1
"216",13,0,1
"217",4,0,1
"218",1,0,1
"219",14,0,1
"220",13,0,1
"221",5,0,1
"222",14,0,1
"223",11,0,1
"224",14,0,1
