"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0,0,0,0
"3",0,1,0,0,0,0,0,0,0,0,0,0,0
"4",0,1,0,0,0,0,0,0,0,0,0,0,0
"5",0,1,0,0,0,0,0,0,0,0,0,0,0
"6",0,1,0,0,0,0,0,0,0,0,0,0,0
"7",0,1,0,0,0,0,0,0,0,0,0,0,0
"8",0,1,0,0,0,0,0,0,0,0,0,0,0
"9",0,1,0,0,0,0,0,0,0,0,0,0,0
"10",0,1,0,0,0,0,0,0,0,0,0,0,0
"11",0,1,0,0,0,0,0,0,0,0,0,0,0
"12",0,1,0,0,0,0,0,0,0,0,0,0,0
"13",0,1,0,0,0,0,0,0,0,0,0,0,0
"14",0,1,0,0,0,0,0,0,0,0,0,0,0
"15",0,1,0,0,0,0,0,0,0,0,0,0,0
"16",0,1,0,0,0,0,0,0,0,0,0,0,0
"17",0,1,0,0,0,0,0,0,0,0,0,0,0
"18",0,1,0,0,0,0,0,0,0,0,0,0,0
"19",0,1,0,0,0,0,0,0,0,0,0,0,0
"20",0,1,0,0,0,0,0,0,0,0,0,0,0
"21",0,1,0,0,0,0,0,0,0,0,0,0,0
"22",0,1,0,0,0,0,0,0,0,0,0,0,0
"23",0,1,0,0,0,0,0,0,0,0,0,0,0
"24",1,0,0,0,0,1,0,0,0,0,0,0,0
"25",1,0,0.2,0,0,0.2,0,0,0.6,0,0,0,0
"26",1,0,0,0,0,1,0,0,0,0,0,0,0
"27",1,0,0.2,0,0,0.2,0,0,0.6,0,0,0,0
"28",1,0,0,0,0,1,0,0,0,0,0,0,0
"29",0,1,0,0,0,0,0,0,0,0,0,0,0
"30",1,0,0.2,0,0,0.2,0,0,0.6,0,0,0,0
"31",1,0,0.166666666666667,0,0,0.333333333333333,0,0,0.5,0,0,0,0
"32",0,1,0,0,0,0,0,0,0,0,0,0,0
"33",1,0,0.166666666666667,0,0,0.333333333333333,0,0,0.5,0,0,0,0
"34",1,0,0.2,0,0,0.2,0,0,0.6,0,0,0,0
"35",1,0,0.2,0,0,0.2,0,0,0.6,0,0,0,0
"36",1,0,0.2,0,0,0.2,0,0,0.6,0,0,0,0
"37",0,1,0,0,0,0,0,0,0,0,0,0,0
"38",1,0,0,0,0,0,0,0,0,1,0,0,0
"39",0,1,0,0,0,0,0,0,0,0,0,0,0
"40",1,0,0,0,0,0.166666666666667,0,0,0,0.333333333333333,0.5,0,0
"41",0,1,0,0,0,0,0,0,0,0,0,0,0
"42",1,0,0,0,0,0,0,0,0,0.5,0.25,0.25,0
"43",1,0,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0
"44",0,1,0,0,0,0,0,0,0,0,0,0,0
"45",1,0,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0
"46",0,1,0,0,0,0,0,0,0,0,0,0,0
"47",0,1,0,0,0,0,0,0,0,0,0,0,0
"48",0,1,0,0,0,0,0,0,0,0,0,0,0
"49",1,0,0,0,0,0,0,0,0,0,1,0,0
"50",0,1,0,0,0,0,0,0,0,0,0,0,0
"51",0,1,0,0,0,0,0,0,0,0,0,0,0
"52",1,0,0,0,0,0,0,0,0,0,1,0,0
"53",1,0,0,0,0,0,0,0,0,0,1,0,0
"54",1,0,0,0,0,0,0,0,0,0,1,0,0
"55",1,0,0,0,0,0,0,0,0,0,1,0,0
"56",0,1,0,0,0,0,0,0,0,0,0,0,0
"57",0,1,0,0,0,0,0,0,0,0,0,0,0
"58",0,1,0,0,0,0,0,0,0,0,0,0,0
"59",1,0,0,0.0967741935483871,0.0645161290322581,0,0.225806451612903,0.0967741935483871,0.0645161290322581,0.129032258064516,0.0967741935483871,0.225806451612903,0
