"","V1","Loop_number","No_loop","Loop"
"1","idnO",2,0,1
"2","idnD",2,0,1
"3","idnK",5,0,1
"4","idnR",2,0,1
"5","gntU",5,0,1
"6","cspG",0,0,1
"7","gntK",5,0,1
"8","yjgR",0,0,1
"9","yjjZ",3,0,1
"10","flhC",33,0,1
"11","alr",0,0,1
"12","glpF",4,0,1
"13","yddH",0,0,1
"14","cspA",4,0,1
"15","glpT",16,0,1
"16","codA",1,0,1
"17","flhD",33,0,1
"18","metQ",1,0,1
"19","mcrB",0,0,1
"20","garR",4,0,1
"21","metI",1,0,1
"22","malZ",0,0,1
"23","ykgM",0,0,1
"24","kdgK",0,0,1
"25","zraP",1,0,1
"26","pspC",2,0,1
"27","pspD",2,0,1
"28","pspA",2,0,1
"29","pspB",2,0,1
"30","yjiN",0,0,1
"31","zwf",13,0,1
"32","dapE",0,0,1
"33","secE",0,0,1
"34","yebK",0,0,1
"35","ompX",3,0,1
"36","fabH",4,0,1
"37","yifK",0,0,1
"38","uup",0,0,1
"39","pyrH",0,0,1
"40","argI",3,0,1
"41","speE",0,0,1
"42","rplU",3,0,1
"43","rplY",2,0,1
"44","ldrD",0,0,1
"45","yegD",0,0,1
"46","yddJ",0,0,1
"47","caiT",9,0,1
"48","alaS",0,0,1
"49","nusG",0,0,1
"50","dnaB",0,0,1
"51","era",0,0,1
"52","rplL",1,0,1
"53","plsX",0,0,1
"54","lyxK",10,0,1
"55","yceD",0,0,1
"56","nadR",0,0,1
"57","rep",0,0,1
"58","rplJ",1,0,1
"59","yiaK",10,0,1
"60","glpD",4,0,1
"61","pabB",0,0,1
"62","gudP",0,0,1
"63","malI",0,0,1
"64","serB",0,0,1
"65","trmD",3,0,1
"66","yhiN",0,0,1
"67","rpsN",1,0,1
"68","rpmB",0,0,1
"69","rplN",1,0,1
"70","mreD",1,0,1
"71","sgbU",10,0,1
"72","tyrS",0,0,1
"73","modF",0,0,1
"74","coaE",0,0,1
"75","inaA",9,0,1
"76","rpmH",0,0,1
"77","cytR",0,0,1
"78","potA",0,0,1
"79","deaD",1,0,1
"80","rplE",1,0,1
"81","pyrE",0,0,1
"82","sgbE",10,0,1
"83","rpsS",9,0,1
"84","aroL",2,0,1
"85","rph",0,0,1
"86","rplS",3,0,1
"87","speB",2,0,1
"88","cobT",0,0,1
"89","stpA",5,0,1
"90","copA",1,0,1
"91","proQ",0,0,1
"92","thiI",0,0,1
"93","guaB",6,0,1
"94","tdcG",9,0,1
"95","upp",2,0,1
"96","cueO",0,0,1
"97","rplA",0,0,1
"98","rpsA",2,0,1
"99","lamB",3,0,1
"100","rluA",0,0,1
"101","rpsO",6,0,1
"102","pcnB",4,0,1
"103","ldrA",0,0,1
"104","hokD",4,0,1
"105","rhlE",0,0,1
"106","yhbE",3,0,1
"107","rplM",3,0,1
"108","rplD",5,0,1
"109","rplF",2,0,1
"110","yidC",0,0,1
"111","recO",0,0,1
"112","wecB",2,0,1
"113","rpsD",2,0,1
"114","rpsI",8,0,1
"115","secA",0,0,1
"116","rpoA",2,0,1
"117","dbpA",0,0,1
"118","yihQ",0,0,1
"119","rplO",1,0,1
"120","rplP",9,0,1
"121","hsdM",0,0,1
"122","gutQ",10,0,1
"123","hokB",0,0,1
"124","rimM",3,0,1
"125","rplV",9,0,1
"126","rpmF",0,0,1
"127","cmk",0,0,1
"128","rplW",9,0,1
"129","aroE",0,0,1
"130","tilS",0,0,1
"131","yebO",0,0,1
"132","yihL",0,0,1
"133","rnpA",0,0,1
"134","yebC",0,0,1
"135","pyrF",2,0,1
"136","rpsK",4,0,1
"137","gsk",0,0,1
"138","queA",0,0,1
"139","rpmD",1,0,1
"140","rplK",1,0,1
"141","rpsT",0,0,1
"142","entD",3,0,1
"143","ydcL",0,0,1
"144","rpsE",1,0,1
"145","prfB",0,0,1
"146","argA",3,0,1
"147","rpsF",3,0,1
"148","yadC",0,0,1
"149","lpxK",0,0,1
"150","proX",7,0,1
"151","rplQ",4,0,1
"152","rpsH",0,0,1
"153","fecR",1,0,1
"154","yhdZ",1,0,1
"155","thiL",2,0,1
"156","rplX",1,0,1
"157","aroM",2,0,1
"158","yhgF",0,0,1
"159","ilvH",1,0,1
"160","rpmC",9,0,1
"161","yjfC",0,0,1
"162","rpsG",0,0,1
"163","cusC",4,0,1
"164","prmA",0,0,1
"165","rpsJ",9,0,1
"166","bipA",0,0,1
"167","feoB",4,0,1
"168","ldrC",0,0,1
"169","ydiY",0,0,1
"170","rplB",9,0,1
"171","rffG",0,0,1
"172","soxS",10,0,1
"173","yjjG",0,0,1
"174","yajR",0,0,1
"175","infA",0,0,1
"176","ycaO",0,0,1
"177","purR",2,0,1
"178","ascF",6,0,1
"179","wecC",0,0,1
"180","pheS",0,0,1
"181","potB",0,0,1
"182","coaD",0,0,1
"183","rplI",7,0,1
"184","rpsP",3,0,1
"185","rpsM",4,0,1
"186","mrcA",0,0,1
"187","greA",2,0,1
"188","murA",0,0,1
"189","recG",3,0,1
"190","rplC",9,0,1
"191","parE",0,0,1
"192","rplR",1,0,1
"193","ygiQ",0,0,1
"194","rpsC",9,0,1
"195","fhuB",1,0,1
"196","ybfE",0,0,1
"197","cysM",2,0,1
"198","rluC",0,0,1
"199","proB",0,0,1
"200","mhpB",3,0,1
"201","spoT",2,0,1
"202","rpsB",0,0,1
"203","narG",11,0,1
"204","rpiB",2,0,1
"205","yhdY",1,0,1
"206","ydhL",0,0,1
"207","fecI",1,0,1
"208","purF",1,0,1
"209","znuA",2,0,1
"210","mutY",0,0,1
"211","narH",11,0,1
"212","suhB",0,0,1
"213","hcaE",1,0,1
"214","modA",3,0,1
"215","yfcJ",0,0,1
"216","mreC",1,0,1
"217","lysS",0,0,1
"218","lysA",2,0,1
"219","frmR",0,0,1
"220","mrdA",0,0,1
"221","cysD",1,0,1
"222","fusA",2,0,1
"223","tig",0,0,1
"224","priB",7,0,1
"225","prfC",0,0,1
"226","metF",1,0,1
"227","thrA",5,0,1
"228","yeiR",0,0,1
"229","purB",1,0,1
"230","yeiB",3,0,1
"231","tsf",1,0,1
"232","recQ",2,0,1
"233","kdpA",1,0,1
"234","cobS",0,0,1
"235","yjeT",0,0,1
"236","rpsR",3,0,1
"237","gutM",5,0,1
"238","ydiJ",0,0,1
"239","ycfZ",0,0,1
"240","ynjD",0,0,1
"241","yfhL",0,0,1
"242","narJ",11,0,1
"243","apt",0,0,1
"244","yieH",0,0,1
"245","cysN",1,0,1
"246","yqeB",0,0,1
"247","yehX",1,0,1
"248","rstA",0,0,1
"249","yehY",1,0,1
"250","yccF",0,0,1
"251","cysU",2,0,1
"252","fepE",6,0,1
"253","yeaW",0,0,1
"254","ynfM",0,0,1
"255","yidD",0,0,1
"256","eutG",0,0,1
"257","holD",0,0,1
"258","cysJ",6,0,1
"259","ybgO",0,0,1
"260","abgT",0,0,1
"261","yaiW",1,0,1
"262","abgB",0,0,1
"263","yhfA",0,0,1
"264","abgA",0,0,1
"265","ykgG",0,0,1
"266","ynjE",0,0,1
"267","uraA",1,0,1
"268","ygeV",0,0,1
"269","yadI",0,0,1
"270","mhpR",1,0,1
"271","rbsR",3,0,1
"272","yjfN",0,0,1
"273","dhaK",5,0,1
"274","dhaL",1,0,1
"275","fruA",0,0,1
"276","astA",5,0,1
"277","astC",7,0,1
"278","ybaE",0,0,1
"279","ygfZ",0,0,1
"280","astD",5,0,1
"281","pflD",0,0,1
"282","ybgI",0,0,1
"283","yqeC",0,0,1
"284","sdaA",2,0,1
"285","ybeL",0,0,1
"286","ykgE",3,0,1
"287","tolA",0,0,1
"288","yidF",0,0,1
"289","ybhQ",0,0,1
"290","yihX",0,0,1
"291","yaiZ",0,0,1
"292","yfdY",0,0,1
"293","yieK",0,0,1
"294","fadA",3,0,1
"295","yajO",0,0,1
"296","mltA",0,0,1
"297","yhfZ",0,0,1
"298","yahN",0,0,1
"299","yniA",0,0,1
"300","astB",5,0,1
"301","smpB",0,0,1
"302","rpmG",0,0,1
"303","yfbU",0,0,1
"304","cspI",0,0,1
"305","uspA",4,0,1
"306","bioH",0,0,1
"307","dhaM",1,0,1
"308","ygcN",0,0,1
"309","ydhQ",0,0,1
"310","dacC",1,0,1
"311","hdfR",0,0,1
"312","sfsA",1,0,1
"313","mrr",0,0,1
"314","yqeF",0,0,1
"315","ugpB",1,0,1
"316","yhjV",0,0,1
"317","ynaE",0,0,1
"318","glgX",0,0,1
"319","panF",0,0,1
"320","sseA",0,0,1
"321","sbmA",1,0,1
"322","srmB",0,0,1
"323","hcaD",0,0,1
"324","yecA",0,0,1
"325","chaC",0,0,1
"326","yfaQ",0,0,1
"327","tus",0,0,1
"328","yaeH",0,0,1
"329","rng",0,0,1
"330","malS",3,0,1
"331","yqjE",0,0,1
"332","yccX",0,0,1
