"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg"
"1","idnO",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"2","idnD",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"3","idnT",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"4","idnK",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"5","idnR",1,0,0,1,0,0,0,0,0,0,0,0
"6","gntT",1,0,0,1,0,0,0,0,0,0,0,0
"7","gntU",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0
"8","cspG",0,1,0,0,0,0,0,0,0,0,0,0
"9","gntK",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0
"10","yjgR",0,1,0,0,0,0,0,0,0,0,0,0
"11","yjjZ",1,0,0,1,0,0,0,0,0,0,0,0
"12","flhC",1,0,0.0614035087719298,0.342105263157895,0.377192982456141,0.0087719298245614,0.0175438596491228,0.131578947368421,0.0087719298245614,0,0.0175438596491228,0.0350877192982456
"13","alr",0,1,0,0,0,0,0,0,0,0,0,0
"14","glpF",1,0,0,0.5,0,0,0,0,0,0,0,0.5
"15","glpC",1,0,0.333333333333333,0.137254901960784,0,0.372549019607843,0,0,0.156862745098039,0,0,0
"16","glpB",1,0,0.333333333333333,0.137254901960784,0,0.372549019607843,0,0,0.156862745098039,0,0,0
"17","yddH",0,1,0,0,0,0,0,0,0,0,0,0
"18","cspA",1,0,0.25,0.5,0,0.25,0,0,0,0,0,0
"19","glpT",1,0,0.166666666666667,0.2,0.0666666666666667,0.0333333333333333,0.133333333333333,0.1,0,0.266666666666667,0,0.0333333333333333
"20","codA",1,0,0,0,0,0,1,0,0,0,0,0
"21","flhD",1,0,0.0598290598290598,0.350427350427351,0.376068376068376,0.00854700854700855,0.0170940170940171,0.128205128205128,0.00854700854700855,0,0.0170940170940171,0.0341880341880342
"22","metQ",0,1,0,0,0,0,0,0,0,0,0,0
"23","mcrB",0,1,0,0,0,0,0,0,0,0,0,0
"24","fdx",0,1,0,0,0,0,0,0,0,0,0,0
"25","garR",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0
"26","metI",0,1,0,0,0,0,0,0,0,0,0,0
"27","malZ",0,1,0,0,0,0,0,0,0,0,0,0
"28","ykgM",0,1,0,0,0,0,0,0,0,0,0,0
"29","kdgK",0,1,0,0,0,0,0,0,0,0,0,0
"30","zraP",0,1,0,0,0,0,0,0,0,0,0,0
"31","pspC",1,0,0.8,0,0,0.2,0,0,0,0,0,0
"32","pspD",1,0,0.8,0,0,0.2,0,0,0,0,0,0
"33","pspA",1,0,0.8,0,0,0.2,0,0,0,0,0,0
"34","pspB",1,0,0.8,0,0,0.2,0,0,0,0,0,0
"35","miaA",1,0,1,0,0,0,0,0,0,0,0,0
"36","yjiN",0,1,0,0,0,0,0,0,0,0,0,0
"37","yghJ",0,1,0,0,0,0,0,0,0,0,0,0
"38","mqo",1,0,0,0,1,0,0,0,0,0,0,0
"39","cirA",1,0,0.111111111111111,0.555555555555556,0.222222222222222,0,0,0,0,0,0,0.111111111111111
"40","zwf",1,0,0.0714285714285714,0.5,0.0714285714285714,0.0714285714285714,0.142857142857143,0,0.0714285714285714,0,0.0714285714285714,0
"41","dapE",0,1,0,0,0,0,0,0,0,0,0,0
"42","secE",0,1,0,0,0,0,0,0,0,0,0,0
"43","cdd",0,1,0,0,0,0,0,0,0,0,0,0
"44","yebK",0,1,0,0,0,0,0,0,0,0,0,0
"45","ompX",1,0,0,0.5,0.25,0,0,0,0,0,0.25,0
"46","fabH",1,0,0,0.5,0,0.5,0,0,0,0,0,0
"47","yifK",0,1,0,0,0,0,0,0,0,0,0,0
"48","uup",0,1,0,0,0,0,0,0,0,0,0,0
"49","pyrH",0,1,0,0,0,0,0,0,0,0,0,0
"50","argI",1,0,0,1,0,0,0,0,0,0,0,0
"51","speE",0,1,0,0,0,0,0,0,0,0,0,0
"52","tsx",1,0,0,0.5,0.25,0,0,0,0,0,0.25,0
"53","rplU",1,0,0,1,0,0,0,0,0,0,0,0
"54","rplY",0,1,0,0,0,0,0,0,0,0,0,0
"55","ldrD",0,1,0,0,0,0,0,0,0,0,0,0
"56","yegD",0,1,0,0,0,0,0,0,0,0,0,0
"57","yddJ",0,1,0,0,0,0,0,0,0,0,0,0
"58","dnaJ",0,1,0,0,0,0,0,0,0,0,0,0
"59","caiT",1,0,0.545454545454546,0.363636363636364,0,0,0,0,0,0,0.0909090909090909,0
"60","alaS",0,1,0,0,0,0,0,0,0,0,0,0
"61","nusG",0,1,0,0,0,0,0,0,0,0,0,0
"62","dnaB",0,1,0,0,0,0,0,0,0,0,0,0
"63","deoC",1,0,0,0.5,0,0.5,0,0,0,0,0,0
"64","era",0,1,0,0,0,0,0,0,0,0,0,0
"65","rplL",0,1,0,0,0,0,0,0,0,0,0,0
"66","plsX",0,1,0,0,0,0,0,0,0,0,0,0
"67","lyxK",1,0,0.210526315789474,0.105263157894737,0,0.263157894736842,0.210526315789474,0,0.157894736842105,0.0526315789473684,0,0
"68","yceD",0,1,0,0,0,0,0,0,0,0,0,0
"69","glmU",0,1,0,0,0,0,0,0,0,0,0,0
"70","nadR",0,1,0,0,0,0,0,0,0,0,0,0
"71","rep",0,1,0,0,0,0,0,0,0,0,0,0
"72","rplJ",0,1,0,0,0,0,0,0,0,0,0,0
"73","speD",0,1,0,0,0,0,0,0,0,0,0,0
"74","yiaK",1,0,0.210526315789474,0.105263157894737,0,0.263157894736842,0.210526315789474,0,0.157894736842105,0.0526315789473684,0,0
"75","ispF",0,1,0,0,0,0,0,0,0,0,0,0
"76","glpD",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0
"77","pabB",0,1,0,0,0,0,0,0,0,0,0,0
"78","gudP",0,1,0,0,0,0,0,0,0,0,0,0
"79","malI",0,1,0,0,0,0,0,0,0,0,0,0
"80","fepA",1,0,0,0.5,0.5,0,0,0,0,0,0,0
"81","hslO",0,1,0,0,0,0,0,0,0,0,0,0
"82","serB",0,1,0,0,0,0,0,0,0,0,0,0
"83","trmD",1,0,0,0,1,0,0,0,0,0,0,0
"84","yhiN",0,1,0,0,0,0,0,0,0,0,0,0
"85","rpsN",0,1,0,0,0,0,0,0,0,0,0,0
"86","rpmB",0,1,0,0,0,0,0,0,0,0,0,0
"87","rplN",0,1,0,0,0,0,0,0,0,0,0,0
"88","mreD",0,1,0,0,0,0,0,0,0,0,0,0
"89","pntA",1,0,1,0,0,0,0,0,0,0,0,0
"90","rbsB",1,0,0,0.428571428571429,0.285714285714286,0,0,0,0,0,0.285714285714286,0
"91","sgbU",1,0,0.210526315789474,0.105263157894737,0,0.263157894736842,0.210526315789474,0,0.157894736842105,0.0526315789473684,0,0
"92","tyrS",0,1,0,0,0,0,0,0,0,0,0,0
"93","ybfA",0,1,0,0,0,0,0,0,0,0,0,0
"94","modF",0,1,0,0,0,0,0,0,0,0,0,0
"95","wzzB",0,1,0,0,0,0,0,0,0,0,0,0
"96","coaE",0,1,0,0,0,0,0,0,0,0,0,0
"97","inaA",1,0,0.375,0.375,0,0.125,0,0,0.125,0,0,0
"98","rpmH",0,1,0,0,0,0,0,0,0,0,0,0
"99","cytR",0,1,0,0,0,0,0,0,0,0,0,0
"100","yhjR",0,1,0,0,0,0,0,0,0,0,0,0
"101","maa",0,1,0,0,0,0,0,0,0,0,0,0
"102","potA",0,1,0,0,0,0,0,0,0,0,0,0
"103","deaD",0,1,0,0,0,0,0,0,0,0,0,0
"104","argS",0,1,0,0,0,0,0,0,0,0,0,0
"105","rplE",0,1,0,0,0,0,0,0,0,0,0,0
"106","pyrE",0,1,0,0,0,0,0,0,0,0,0,0
