"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"1","aaeR",0,1,0,0,0,0,0,0,0,0,0
"2","adiY",0,1,0,0,0,0,0,0,0,0,0
"3","agrB",0,1,0,0,0,0,0,0,0,0,0
"4","allS",0,1,0,0,0,0,0,0,0,0,0
"5","alpA",0,1,0,0,0,0,0,0,0,0,0
"6","alsR",0,1,0,0,0,0,0,0,0,0,0
"7","ameF",0,1,0,0,0,0,0,0,0,0,0
"8","arcZ",0,1,0,0,0,0,0,0,0,0,0
"9","argP",0,1,0,0,0,0,0,0,0,0,0
"10","arrS",1,0,0,1,0,0,0,0,0,0,0
"11","arsR",0,1,0,0,0,0,0,0,0,0,0
"12","asflhD",0,1,0,0,0,0,0,0,0,0,0
"13","atoC",0,1,0,0,0,0,0,0,0,0,0
"14","azuR",1,0,0,0,0,0,0,0,1,0,0
"15","baeR",1,0,0,1,0,0,0,0,0,0,0
"16","basR",0,1,0,0,0,0,0,0,0,0,0
"17","bglG",1,0,0.1,0.3,0,0.5,0.1,0,0,0,0
"18","birA",0,1,0,0,0,0,0,0,0,0,0
"19","bluR",0,1,0,0,0,0,0,0,0,0,0
"20","btsR",0,1,0,0,0,0,0,0,0,0,0
"21","C0293",0,1,0,0,0,0,0,0,0,0,0
"22","cecR",0,1,0,0,0,0,0,0,0,0,0
"23","chbR",0,1,0,0,0,0,0,0,0,0,0
"24","chiX",0,1,0,0,0,0,0,0,0,0,0
"25","citR",0,1,0,0,0,0,0,0,0,0,0
"26","cpxQ",1,0,0,1,0,0,0,0,0,0,0
"27","cra",0,1,0,0,0,0,0,0,0,0,0
"28","csqR",0,1,0,0,0,0,0,0,0,0,0
"29","cyaR",1,0,0,0.6,0,0.1,0,0.1,0.2,0,0
"30","cynR",0,1,0,0,0,0,0,0,0,0,0
"31","decR",1,0,0,1,0,0,0,0,0,0,0
"32","deoR",0,1,0,0,0,0,0,0,0,0,0
"33","dgoR",1,0,0,1,0,0,0,0,0,0,0
"34","dhaR",0,1,0,0,0,0,0,0,0,0,0
"35","dicF",0,1,0,0,0,0,0,0,0,0,0
"36","dpiA",1,0,0,0,0.2,0.2,0.2,0,0,0.4,0
"37","dsdC",0,1,0,0,0,0,0,0,0,0,0
"38","dsrA",1,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0,0
"39","ebgR",0,1,0,0,0,0,0,0,0,0,0
"40","envR",0,1,0,0,0,0,0,0,0,0,0
"41","envY",0,1,0,0,0,0,0,0,0,0,0
"42","fhlA",1,0,0,0.4,0,0.2,0,0.4,0,0,0
"43","fimR2",0,1,0,0,0,0,0,0,0,0,0
"44","fimZ",0,1,0,0,0,0,0,0,0,0,0
"45","fnrS",1,0,0,1,0,0,0,0,0,0,0
"46","frlR",1,0,0,1,0,0,0,0,0,0,0
