"","V1","FBL_number","No_FBL","FBL"
"1","aaeR",0,0,1
"2","adiY",2,0,1
"3","agrB",0,0,1
"4","allS",0,0,1
"5","alpA",0,0,1
"6","alsR",0,0,1
"7","ameF",0,0,1
"8","arcZ",2,0,1
"9","argP",1,0,1
"10","arrS",1,0,1
"11","arsR",0,0,1
"12","asflhD",0,0,1
"13","atoC",0,0,1
"14","azuR",0,0,1
"15","baeR",0,0,1
"16","basR",0,0,1
"17","bglG",0,0,1
"18","birA",0,0,1
"19","bluR",0,0,1
"20","C0293",0,0,1
"21","chbR",0,0,1
"22","citR",0,0,1
"23","cpxQ",0,0,1
"24","cra",21,0,1
"25","cyaR",31,0,1
"26","cynR",0,0,1
"27","deoR",0,0,1
"28","dgoR",0,0,1
"29","dhaR",0,0,1
"30","dicF",0,0,1
"31","dpiA",0,0,1
"32","dsdC",0,0,1
"33","dsrA",29,0,1
"34","ebgR",0,0,1
"35","envR",0,0,1
"36","envY",0,0,1
"37","fhlA",0,0,1
"38","fimR2",0,0,1
"39","fimZ",0,0,1
"40","fnrS",0,0,1
"41","frlR",0,0,1
"42","gadY",20,0,1
"43","gatR",0,0,1
"44","gcvA",0,0,1
"45","glaR",0,0,1
"46","glmZ",0,0,1
"47","glnZ",0,0,1
"48","glpR",0,0,1
"49","gntR",0,0,1
"50","hicB",0,0,1
"51","hipA",1,0,1
"52","hupB",2,0,1
"53","hyfR",0,0,1
"54","hypT",0,0,1
"55","ihfA",68,0,1
"56","ihfB",78,0,1
"57","ilvY",0,0,1
"58","istR",0,0,1
"59","kdgR",0,0,1
"60","lacI",0,0,1
"61","leuO",15,0,1
"62","lsrR",0,0,1
"63","lysR",0,0,1
"64","malH",0,0,1
"65","matA",0,0,1
"66","mazE",1,0,1
"67","mazF",1,0,1
"68","mcaS",0,0,1
"69","mgrR",0,0,1
"70","micC",0,0,1
"71","micF",58,0,1
"72","micL",0,0,1
"73","mlc",0,0,1
"74","mngR",0,0,1
"75","mntR",0,0,1
"76","modE",0,0,1
"77","mprA",0,0,1
"78","nagC",0,0,1
"79","nanR",0,0,1
"80","nfeR",0,0,1
"81","nikR",0,0,1
"82","nimR",0,0,1
"83","ohsC",0,0,1
"84","omrA",1,0,1
"85","omrB",1,0,1
