"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1","aaeR",0,1,0,0,0,0,0,0,0,0,0,0,0
"2","adiY",1,0,0,1,0,0,0,0,0,0,0,0,0
"3","agrB",0,1,0,0,0,0,0,0,0,0,0,0,0
"4","allS",0,1,0,0,0,0,0,0,0,0,0,0,0
"5","alpA",0,1,0,0,0,0,0,0,0,0,0,0,0
"6","alsR",0,1,0,0,0,0,0,0,0,0,0,0,0
"7","arcZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"8","argP",0,1,0,0,0,0,0,0,0,0,0,0,0
"9","arrS",1,0,0,0,0,1,0,0,0,0,0,0,0
"10","arsR",0,1,0,0,0,0,0,0,0,0,0,0,0
"11","atoC",0,1,0,0,0,0,0,0,0,0,0,0,0
"12","baeR",1,0,0,1,0,0,0,0,0,0,0,0,0
"13","basR",0,1,0,0,0,0,0,0,0,0,0,0,0
"14","bglG",1,0,0.214285714285714,0.214285714285714,0.0357142857142857,0,0.0714285714285714,0,0.107142857142857,0.214285714285714,0.0714285714285714,0.0714285714285714,0
"15","birA",0,1,0,0,0,0,0,0,0,0,0,0,0
"16","bluR",0,1,0,0,0,0,0,0,0,0,0,0,0
"17","chbR",1,0,0,0,0,0,0,1,0,0,0,0,0
"18","cpxQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"19","cra",1,0,1,0,0,0,0,0,0,0,0,0,0
"20","cyaR",1,0,0.181818181818182,0,0,0.0909090909090909,0.0909090909090909,0,0.545454545454546,0.0909090909090909,0,0,0
"21","cynR",0,1,0,0,0,0,0,0,0,0,0,0,0
"22","deoR",0,1,0,0,0,0,0,0,0,0,0,0,0
"23","dgoR",0,1,0,0,0,0,0,0,0,0,0,0,0
"24","dhaR",1,0,0,0,1,0,0,0,0,0,0,0,0
"25","dicF",0,1,0,0,0,0,0,0,0,0,0,0,0
"26","dpiA",1,0,0,0,0.1875,0.0625,0.1875,0,0,0,0.375,0.1875,0
"27","dsdC",0,1,0,0,0,0,0,0,0,0,0,0,0
"28","dsrA",1,0,1,0,0,0,0,0,0,0,0,0,0
"29","ebgR",0,1,0,0,0,0,0,0,0,0,0,0,0
"30","envR",0,1,0,0,0,0,0,0,0,0,0,0,0
"31","envY",0,1,0,0,0,0,0,0,0,0,0,0,0
"32","fhlA",1,0,0.1,0,0.1,0,0.2,0.1,0.2,0.2,0.1,0,0
"33","fimZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"34","fnrS",0,1,0,0,0,0,0,0,0,0,0,0,0
"35","frlR",0,1,0,0,0,0,0,0,0,0,0,0,0
"36","gadY",1,0,0.135135135135135,0.378378378378378,0.027027027027027,0.027027027027027,0.027027027027027,0,0.135135135135135,0.0810810810810811,0.135135135135135,0.0540540540540541,0
"37","gatR",0,1,0,0,0,0,0,0,0,0,0,0,0
"38","gcvA",0,1,0,0,0,0,0,0,0,0,0,0,0
"39","glaR",0,1,0,0,0,0,0,0,0,0,0,0,0
"40","glmZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"41","glpR",0,1,0,0,0,0,0,0,0,0,0,0,0
"42","gntR",0,1,0,0,0,0,0,0,0,0,0,0,0
"43","hicB",0,1,0,0,0,0,0,0,0,0,0,0,0
"44","hipA",1,0,0.142857142857143,0,0,0.428571428571429,0.285714285714286,0,0,0.142857142857143,0,0,0
"45","hupB",1,0,0,0,0,0.5,0,0,0.5,0,0,0,0
"46","hyfR",1,0,0,0,0,0.6,0,0,0.4,0,0,0,0
"47","hypT",0,1,0,0,0,0,0,0,0,0,0,0,0
"48","ihfA",1,0,0,0.2,0,0,0.2,0,0,0.4,0,0.2,0
"49","ihfB",1,0,0,0.2,0,0.2,0.4,0,0,0.2,0,0,0
"50","ilvY",1,0,0,0,0,0,1,0,0,0,0,0,0
"51","istR",0,1,0,0,0,0,0,0,0,0,0,0,0
"52","kdgR",0,1,0,0,0,0,0,0,0,0,0,0,0
"53","lacI",0,1,0,0,0,0,0,0,0,0,0,0,0
"54","leuO",1,0,0.0833333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0,0.25,0,0
"55","lsrR",0,1,0,0,0,0,0,0,0,0,0,0,0
"56","lysR",0,1,0,0,0,0,0,0,0,0,0,0,0
"57","malH",1,0,0,0.263157894736842,0.315789473684211,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0,0.210526315789474,0,0
"58","matA",1,0,0,0,0,0,0,0,0,0.5,0.5,0,0
"59","mazE",1,0,0.0740740740740741,0.148148148148148,0.0740740740740741,0.037037037037037,0.148148148148148,0,0.111111111111111,0.185185185185185,0.111111111111111,0.111111111111111,0
"60","mazF",1,0,0.0740740740740741,0.148148148148148,0.0740740740740741,0.037037037037037,0.148148148148148,0,0.111111111111111,0.185185185185185,0.111111111111111,0.111111111111111,0
"61","mcaS",1,0,0,0,0,0,0,0,1,0,0,0,0
"62","mgrR",1,0,0,1,0,0,0,0,0,0,0,0,0
"63","micC",0,1,0,0,0,0,0,0,0,0,0,0,0
"64","micF",1,0,0.243589743589744,0.320512820512821,0.0769230769230769,0.0384615384615385,0.0512820512820513,0,0.17948717948718,0.0256410256410256,0.0641025641025641,0,0
"65","micL",0,1,0,0,0,0,0,0,0,0,0,0,0
"66","mlc",1,0,1,0,0,0,0,0,0,0,0,0,0
"67","mngR",0,1,0,0,0,0,0,0,0,0,0,0,0
"68","mntR",0,1,0,0,0,0,0,0,0,0,0,0,0
"69","modE",0,1,0,0,0,0,0,0,0,0,0,0,0
"70","mprA",0,1,0,0,0,0,0,0,0,0,0,0,0
"71","nagC",0,1,0,0,0,0,0,0,0,0,0,0,0
"72","nanR",0,1,0,0,0,0,0,0,0,0,0,0,0
"73","nfeR",0,1,0,0,0,0,0,0,0,0,0,0,0
"74","nikR",1,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0
"75","nimR",0,1,0,0,0,0,0,0,0,0,0,0,0
"76","ohsC",0,1,0,0,0,0,0,0,0,0,0,0,0
"77","omrA",0,1,0,0,0,0,0,0,0,0,0,0,0
"78","omrB",0,1,0,0,0,0,0,0,0,0,0,0,0
"79","oxyS",0,1,0,0,0,0,0,0,0,0,0,0,0
"80","paaX",0,1,0,0,0,0,0,0,0,0,0,0,0
"81","pgrR",0,1,0,0,0,0,0,0,0,0,0,0,0
"82","plaR",1,0,0.2,0,0,0.4,0.4,0,0,0,0,0,0
"83","punR",0,1,0,0,0,0,0,0,0,0,0,0,0
"84","qseB",0,1,0,0,0,0,0,0,0,0,0,0,0
"85","racR",0,1,0,0,0,0,0,0,0,0,0,0,0
"86","ralA",0,1,0,0,0,0,0,0,0,0,0,0,0
"87","rcdA",0,1,0,0,0,0,0,0,0,0,0,0,0
"88","rclR",0,1,0,0,0,0,0,0,0,0,0,0,0
"89","rhaR",1,0,0,0,0,0.5,0,0,0,0.5,0,0,0
"90","rseX",0,1,0,0,0,0,0,0,0,0,0,0,0
"91","rtcR",0,1,0,0,0,0,0,0,0,0,0,0,0
"92","rybB",1,0,0,0,0,0,0,0,0,0.5,0.5,0,0
"93","rydC",0,1,0,0,0,0,0,0,0,0,0,0,0
"94","sdhX",1,0,0.206896551724138,0.0689655172413793,0,0.0344827586206897,0.241379310344828,0.0689655172413793,0.172413793103448,0.206896551724138,0,0,0
"95","sdsN",0,1,0,0,0,0,0,0,0,0,0,0,0
"96","sdsR",1,0,1,0,0,0,0,0,0,0,0,0,0
"97","selB",0,1,0,0,0,0,0,0,0,0,0,0,0
"98","sgrS",1,0,0.125,0,0.375,0,0.25,0.125,0,0,0,0.125,0
"99","sibC",0,1,0,0,0,0,0,0,0,0,0,0,0
"100","spf",0,1,0,0,0,0,0,0,0,0,0,0,0
"101","sraG",0,1,0,0,0,0,0,0,0,0,0,0,0
"102","sutR",0,1,0,0,0,0,0,0,0,0,0,0,0
"103","sxy",0,1,0,0,0,0,0,0,0,0,0,0,0
"104","symR",0,1,0,0,0,0,0,0,0,0,0,0,0
"105","tdcR",0,1,0,0,0,0,0,0,0,0,0,0,0
"106","thrS",0,1,0,0,0,0,0,0,0,0,0,0,0
"107","torR",0,1,0,0,0,0,0,0,0,0,0,0,0
"108","treR",1,0,1,0,0,0,0,0,0,0,0,0,0
"109","trpR",0,1,0,0,0,0,0,0,0,0,0,0,0
"110","tyrR",1,0,0,1,0,0,0,0,0,0,0,0,0
"111","uhpA",0,1,0,0,0,0,0,0,0,0,0,0,0
"112","uidR",0,1,0,0,0,0,0,0,0,0,0,0,0
"113","uxuR",1,0,0,0,0,0,0,0,1,0,0,0,0
"114","xapR",0,1,0,0,0,0,0,0,0,0,0,0,0
"115","xylR",1,0,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0
"116","xynR",0,1,0,0,0,0,0,0,0,0,0,0,0
"117","ycjW",0,1,0,0,0,0,0,0,0,0,0,0,0
"118","ydeO",1,0,0.4,0,0,0,0.1,0,0.2,0.2,0.1,0,0
"119","yeiL",1,0,0.3125,0.0625,0,0.125,0.125,0,0.125,0.1875,0.0625,0,0
"120","yiaU",0,1,0,0,0,0,0,0,0,0,0,0,0
"121","yidZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"122","yjjQ",1,0,1,0,0,0,0,0,0,0,0,0,0
"123","yoeB",0,1,0,0,0,0,0,0,0,0,0,0,0
"124","zur",0,1,0,0,0,0,0,0,0,0,0,0,0
"125","rnhA",0,1,0,0,0,0,0,0,0,0,0,0,0
"126","minD",0,1,0,0,0,0,0,0,0,0,0,0,0
"127","emrE",0,1,0,0,0,0,0,0,0,0,0,0,0
"128","mrcB",0,1,0,0,0,0,0,0,0,0,0,0,0
"129","dnaQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"130","minE",0,1,0,0,0,0,0,0,0,0,0,0,0
"131","ffh",0,1,0,0,0,0,0,0,0,0,0,0,0
