"","V1","Loop_number","No_loop","Loop"
"1","aaeR",0,0,1
"2","adiY",0,0,1
"3","agrB",0,0,1
"4","allS",0,0,1
"5","alpA",0,0,1
"6","alsR",0,0,1
"7","arcZ",0,0,1
"8","argP",0,0,1
"9","arrS",1,0,1
"10","arsR",0,0,1
"11","atoC",0,0,1
"12","baeR",1,0,1
"13","basR",0,0,1
"14","bglG",10,0,1
"15","birA",0,0,1
"16","bluR",0,0,1
"17","chbR",0,0,1
"18","cpxQ",1,0,1
"19","cra",0,0,1
"20","cyaR",10,0,1
"21","cynR",0,0,1
"22","deoR",0,0,1
"23","dgoR",1,0,1
"24","dhaR",0,0,1
"25","dicF",0,0,1
"26","dpiA",5,0,1
"27","dsdC",0,0,1
"28","dsrA",3,0,1
"29","ebgR",0,0,1
"30","envR",0,0,1
"31","envY",0,0,1
"32","fhlA",5,0,1
"33","fimZ",0,0,1
"34","fnrS",1,0,1
"35","frlR",1,0,1
"36","gadY",5,0,1
"37","gatR",0,0,1
"38","gcvA",0,0,1
"39","glaR",0,0,1
"40","glmZ",0,0,1
"41","glpR",0,0,1
"42","gntR",0,0,1
"43","hicB",1,0,1
"44","hipA",6,0,1
"45","hupB",3,0,1
"46","hyfR",2,0,1
"47","hypT",0,0,1
"48","ihfA",3,0,1
"49","ihfB",6,0,1
"50","ilvY",1,0,1
"51","istR",0,0,1
"52","kdgR",0,0,1
"53","lacI",1,0,1
"54","leuO",7,0,1
"55","lsrR",1,0,1
"56","lysR",0,0,1
"57","malH",10,0,1
"58","matA",1,0,1
"59","mazE",15,0,1
"60","mazF",15,0,1
"61","mcaS",0,0,1
"62","mgrR",0,0,1
"63","micC",0,0,1
"64","micF",27,0,1
"65","micL",0,0,1
"66","mlc",2,0,1
"67","mngR",0,0,1
"68","mntR",0,0,1
"69","modE",0,0,1
"70","mprA",0,0,1
"71","nagC",0,0,1
"72","nanR",0,0,1
"73","nfeR",0,0,1
"74","nikR",1,0,1
"75","nimR",0,0,1
"76","ohsC",0,0,1
"77","omrA",0,0,1
"78","omrB",0,0,1
"79","oxyS",1,0,1
"80","paaX",0,0,1
"81","pgrR",0,0,1
"82","plaR",4,0,1
"83","punR",0,0,1
"84","qseB",1,0,1
"85","racR",0,0,1
"86","ralA",0,0,1
"87","rcdA",0,0,1
"88","rclR",0,0,1
"89","rhaR",3,0,1
"90","rseX",0,0,1
"91","rtcR",0,0,1
"92","rybB",1,0,1
"93","rydC",0,0,1
"94","sdhX",18,0,1
"95","sdsN",0,0,1
"96","sdsR",1,0,1
"97","selB",0,0,1
"98","sgrS",6,0,1
"99","sibC",0,0,1
"100","spf",1,0,1
"101","sraG",0,0,1
"102","sutR",0,0,1
"103","sxy",1,0,1
"104","symR",0,0,1
"105","tdcR",0,0,1
"106","thrS",0,0,1
"107","torR",0,0,1
"108","treR",0,0,1
"109","trpR",0,0,1
"110","tyrR",2,0,1
"111","uhpA",0,0,1
"112","uidR",0,0,1
"113","uxuR",3,0,1
"114","xapR",0,0,1
"115","xylR",1,0,1
"116","xynR",0,0,1
"117","ycjW",0,0,1
"118","ydeO",8,0,1
"119","yeiL",6,0,1
"120","yiaU",0,0,1
"121","yidZ",0,0,1
"122","yjjQ",3,0,1
"123","yoeB",1,0,1
"124","zur",0,0,1
"125","rnhA",0,0,1
"126","minD",0,0,1
"127","emrE",0,0,1
"128","mrcB",0,0,1
"129","dnaQ",0,0,1
"130","minE",0,0,1
"131","ffh",0,0,1
"132","minC",0,0,1
"133","ffs",0,0,1
"134","dnaC",0,0,1
"135","ppa",0,0,1
"136","dosP",0,0,1
"137","mdfA",0,0,1
"138","ggt",0,0,1
"139","vsr",0,0,1
"140","glnE",0,0,1
"141","mutH",0,0,1
"142","dxr",0,0,1
"143","secM",0,0,1
"144","clcA",0,0,1
"145","pgsA",0,0,1
"146","mnmE",0,0,1
"147","topB",0,0,1
"148","rcsC",0,0,1
"149","mrdB",0,0,1
"150","clsA",0,0,1
"151","gldA",0,0,1
"152","menD",0,0,1
"153","truA",0,0,1
"154","dnaT",0,0,1
"155","rodZ",0,0,1
"156","cyaY",0,0,1
"157","recE",0,0,1
"158","hokC",0,0,1
"159","ftsP",0,0,1
"160","murJ",0,0,1
"161","ushA",0,0,1
"162","fre",0,0,1
"163","panE",0,0,1
"164","btuC",0,0,1
"165","tag",0,0,1
"166","insO",0,0,1
"167","hemC",0,0,1
"168","murB",0,0,1
"169","proA",0,0,1
"170","nfi",0,0,1
"171","lit",0,0,1
"172","hemG",0,0,1
"173","rcsF",0,0,1
"174","mcrA",0,0,1
"175","recT",0,0,1
"176","zapA",0,0,1
"177","aes",0,0,1
"178","endA",0,0,1
"179","lplA",0,0,1
"180","kup",0,0,1
"181","cybC",0,0,1
"182","yicR",0,0,1
"183","ftsB",0,0,1
"184","nadK",0,0,1
"185","barA",0,0,1
"186","guaC",0,0,1
"187","mog",0,0,1
"188","ptrB",0,0,1
"189","pbpC",0,0,1
"190","etk",0,0,1
"191","uhpC",0,0,1
"192","lpxM",0,0,1
"193","ldcA",0,0,1
"194","tsaD",0,0,1
"195","solA",0,0,1
"196","rusA",0,0,1
"197","cobB",0,0,1
"198","pdxB",0,0,1
"199","yajL",0,0,1
"200","nagZ",0,0,1
"201","lptE",0,0,1
"202","dacD",0,0,1
"203","fcl",0,0,1
"204","basS",0,0,1
"205","tesB",0,0,1
"206","trkG",0,0,1
"207","yggX",0,0,1
"208","gpp",0,0,1
"209","gdx",0,0,1
"210","macB",0,0,1
"211","sapD",0,0,1
"212","rlmA",0,0,1
"213","xanQ",0,0,1
"214","gmm",0,0,1
"215","opgB",0,0,1
"216","djlA",0,0,1
"217","sdhE",0,0,1
"218","plsC",0,0,1
"219","bcr",0,0,1
"220","torS",0,0,1
"221","mdtK",0,0,1
"222","fsaA",0,0,1
"223","mnmC",0,0,1
"224","clcB",0,0,1
"225","truD",0,0,1
"226","ygdG",0,0,1
"227","rbbA",0,0,1
"228","yaaW",0,0,1
"229","kefF",0,0,1
"230","ltaE",0,0,1
"231","cpsB",0,0,1
"232","selU",0,0,1
"233","radA",0,0,1
"234","ybfF",0,0,1
"235","rhsC",0,0,1
"236","pinE",0,0,1
"237","rsmB",0,0,1
"238","icdC",0,0,1
"239","yajQ",0,0,1
"240","sfmD",0,0,1
"241","quuD",0,0,1
"242","gmd",0,0,1
"243","wcaJ",0,0,1
"244","mepS",0,0,1
"245","yqiK",0,0,1
"246","ubiD",0,0,1
"247","lpoB",0,0,1
"248","rlmB",0,0,1
"249","tamA",0,0,1
"250","aslA",0,0,1
"251","yfcU",0,0,1
"252","hokA",0,0,1
"253","insH1",0,0,1
"254","hscC",0,0,1
"255","btuR",0,0,1
"256","eutL",0,0,1
"257","yfgM",0,0,1
"258","kduD",0,0,1
"259","bglA",0,0,1
"260","arpA",0,0,1
"261","insF1",0,0,1
"262","insE1",0,0,1
"263","lptG",0,0,1
"264","ynaI",0,0,1
"265","rimL",0,0,1
"266","ydfT",0,0,1
"267","hldE",0,0,1
"268","mtgA",0,0,1
"269","hemE",0,0,1
"270","ytjC",0,0,1
"271","cydX",0,0,1
"272","insB1",0,0,1
"273","yddE",0,0,1
"274","thpR",0,0,1
"275","insC1",0,0,1
"276","rlpA",0,0,1
"277","ybhA",0,0,1
"278","gsiB",0,0,1
"279","rhsE",0,0,1
"280","yehB",0,0,1
"281","ptsP",0,0,1
"282","yqiG",0,0,1
"283","diaA",0,0,1
"284","glmM",0,0,1
"285","elbB",0,0,1
"286","rhtC",0,0,1
"287","gloB",0,0,1
"288","insC2",0,0,1
"289","mmuM",0,0,1
"290","pncA",0,0,1
"291","insC3",0,0,1
"292","insC4",0,0,1
"293","plsY",0,0,1
"294","yjaA",0,0,1
"295","tamB",0,0,1
"296","insC6",0,0,1
"297","citT",0,0,1
"298","ybaZ",0,0,1
"299","ydeT",0,0,1
"300","torZ",0,0,1
"301","ybgQ",0,0,1
"302","wzxC",0,0,1
"303","pdeN",0,0,1
"304","syd",0,0,1
"305","dtpD",0,0,1
"306","bcsA",0,0,1
"307","ghrB",0,0,1
"308","yidJ",0,0,1
"309","yidA",0,0,1
"310","tldE",0,0,1
"311","yaaA",0,0,1
"312","dedD",0,0,1
"313","ybcF",0,0,1
"314","paoA",0,0,1
"315","kilR",0,0,1
"316","opgD",0,0,1
"317","nudL",0,0,1
"318","cpsG",0,0,1
"319","eutR",0,0,1
"320","marC",0,0,1
"321","yggS",0,0,1
"322","yhaC",0,0,1
"323","lpoA",0,0,1
"324","insJ",0,0,1
"325","yiaY",0,0,1
"326","ahr",0,0,1
"327","acpH",0,0,1
"328","glvG",0,0,1
"329","djlC",0,0,1
"330","ldtA",0,0,1
"331","clsB",0,0,1
"332","mlaA",0,0,1
"333","gfcE",0,0,1
"334","yciO",0,0,1
"335","rnm",0,0,1
"336","pdxI",0,0,1
"337","dmlA",0,0,1
"338","yejE",0,0,1
"339","yejF",0,0,1
"340","flk",0,0,1
"341","ypdF",0,0,1
"342","wbbI",0,0,1
"343","yhdE",0,0,1
"344","adeQ",0,0,1
"345","alsK",0,0,1
"346","yehH",0,0,1
"347","cutC",0,0,1
"348","nfrA",0,0,1
"349","glsB",0,0,1
"350","djlB",0,0,1
"351","sapC",0,0,1
"352","valZ",0,0,1
"353","ycfH",0,0,1
"354","nagK",0,0,1
"355","cspF",0,0,1
"356","yedK",0,0,1
"357","yedA",0,0,1
"358","yedI",0,0,1
"359","wcaM",0,0,1
"360","asmA",0,0,1
"361","eutK",0,0,1
"362","eutD",0,0,1
"363","eutM",0,0,1
"364","yfiH",0,0,1
"365","nhoA",0,0,1
"366","tldD",0,0,1
"367","setC",0,0,1
"368","yjjB",0,0,1
"369","rmuC",0,0,1
"370","dgcP",0,0,1
"371","insL1",0,0,1
"372","yadK",0,0,1
"373","yagG",0,0,1
"374","yaeI",0,0,1
"375","paoD",0,0,1
"376","ybcJ",0,0,1
"377","wbbH",0,0,1
"378","sfmH",0,0,1
"379","elyC",0,0,1
"380","yacG",0,0,1
"381","ydiN",0,0,1
"382","ydiF",0,0,1
"383","fadK",0,0,1
"384","ydjZ",0,0,1
"385","yfaL",0,0,1
"386","yegT",0,0,1
"387","eutE",0,0,1
"388","fetA",0,0,1
"389","nudK",0,0,1
"390","ygbN",0,0,1
"391","guaD",0,0,1
"392","hsrA",0,0,1
"393","bioP",0,0,1
"394","yihP",0,0,1
"395","yihY",0,0,1
"396","yijE",0,0,1
"397","thiK",0,0,1
"398","yjdN",0,0,1
"399","ydaE",0,0,1
"400","yjhF",0,0,1
"401","rttR",0,0,1
"402","yhdP",0,0,1
"403","ydbA",0,0,1
"404","yjjJ",0,0,1
"405","yafJ",0,0,1
"406","rayT",0,0,1
"407","lafU",0,0,1
"408","paoC",0,0,1
"409","yahJ",0,0,1
"410","mdlA",0,0,1
"411","ybiR",0,0,1
"412","yfaV",0,0,1
"413","rhmD",0,0,1
"414","racC",0,0,1
"415","fdrA",0,0,1
"416","yfdN",0,0,1
"417","elfD",0,0,1
"418","pdeA",0,0,1
"419","eutN",0,0,1
"420","yfiM",0,0,1
"421","abpB",0,0,1
"422","prfH",0,0,1
"423","yqiJ",0,0,1
"424","prkB",0,0,1
"425","rlmJ",0,0,1
"426","yfaU",0,0,1
"427","htrL",0,0,1
"428","yiaB",0,0,1
"429","yicC",0,0,1
"430","yidK",0,0,1
"431","yidX",0,0,1
"432","yihN",0,0,1
"433","yihR",0,0,1
"434","hrpA",0,0,1
"435","hemX",0,0,1
"436","frwD",0,0,1
"437","yjbI",0,0,1
"438","kptA",0,0,1
"439","ubiJ",0,0,1
"440","insX",0,0,1
"441","ldrB",0,0,1
"442","yeeL",0,0,1
"443","ylbE",0,0,1
"444","cydH",0,0,1
"445","yneO",0,0,1
"446","mokC",0,0,1
"447","eaeH",0,0,1
"448","ybbJ",0,0,1
"449","ybdO",0,0,1
"450","ybhK",0,0,1
"451","ycbF",0,0,1
"452","gfcD",0,0,1
"453","cspH",0,0,1
"454","ymfR",0,0,1
"455","ydgA",0,0,1
"456","ydjE",0,0,1
"457","ydjK",0,0,1
"458","yecM",0,0,1
"459","torY",0,0,1
"460","wcaD",0,0,1
"461","wbbK",0,0,1
"462","wcaK",0,0,1
"463","wcaI",0,0,1
"464","yejK",0,0,1
"465","yfbS",0,0,1
"466","yfdR",0,0,1
"467","yfeW",0,0,1
"468","opgC",0,0,1
"469","sseB",0,0,1
"470","hcaT",0,0,1
"471","ygbM",0,0,1
"472","rlmD",0,0,1
"473","ygeO",0,0,1
"474","actS",0,0,1
"475","yqhA",0,0,1
"476","ubiK",0,0,1
"477","ecpC",0,0,1
"478","yfjT",0,0,1
"479","afuC",0,0,1
"480","yahD",0,0,1
"481","yhhI",0,0,1
"482","bcsQ",0,0,1
"483","yibF",0,0,1
"484","yicL",0,0,1
"485","yidH",0,0,1
"486","yidG",0,0,1
"487","trpT",0,0,1
"488","ompL",0,0,1
"489","yjdF",0,0,1
"490","yjfJ",0,0,1
"491","yjtD",0,0,1
"492","gfcB",0,0,1
"493","rzoD",0,0,1
"494","rzoR",0,0,1
"495","ryfA",0,0,1
"496","ygaQ",0,0,1
"497","ydfJ",0,0,1
"498","yagH",0,0,1
"499","ybgP",0,0,1
"500","ybbA",0,0,1
"501","ybaP",0,0,1
"502","ybaM",0,0,1
"503","ybcN",0,0,1
"504","etp",0,0,1
"505","ybfG",0,0,1
"506","yfdM",0,0,1
"507","perR",0,0,1
"508","ybiA",0,0,1
"509","gsiA",0,0,1
"510","ybjO",0,0,1
"511","yfdP",0,0,1
"512","mltG",0,0,1
"513","paoB",0,0,1
"514","sieB",0,0,1
"515","ydiK",0,0,1
"516","ydjX",0,0,1
"517","yiaC",0,0,1
"518","yedP",0,0,1
"519","wcaL",0,0,1
"520","wcaC",0,0,1
"521","yehP",0,0,1
"522","ypdE",0,0,1
"523","eutP",0,0,1
"524","eutQ",0,0,1
"525","eutT",0,0,1
"526","yfhH",0,0,1
"527","afuB",0,0,1
"528","ygcR",0,0,1
"529","yqcE",0,0,1
"530","yqeI",0,0,1
"531","ygeL",0,0,1
"532","pbl",0,0,1
"533","ygfF",0,0,1
"534","yggL",0,0,1
"535","yghU",0,0,1
"536","rcbA",0,0,1
"537","ybfB",0,0,1
"538","eutJ",0,0,1
"539","agaA",0,0,1
"540","yraI",0,0,1
"541","rsmI",0,0,1
"542","yhhL",0,0,1
"543","yhhJ",0,0,1
"544","yhhH",0,0,1
"545","yhjY",0,0,1
"546","yidI",0,0,1
"547","yidR",0,0,1
"548","hemY",0,0,1
"549","frvX",0,0,1
"550","frvR",0,0,1
"551","frvB",0,0,1
"552","yjcE",0,0,1
"553","mdtP",0,0,1
"554","yjgL",0,0,1
"555","insG",0,0,1
"556","ecpB",0,0,1
"557","yjhE",0,0,1
"558","yjiG",0,0,1
"559","uacT",0,0,1
"560","yedD",0,0,1
"561","ypdI",0,0,1
"562","ymgF",0,0,1
"563","yicS",0,0,1
"564","yjiV",0,0,1
"565","rdlC",0,0,1
"566","yedN",0,0,1
"567","rdlA",0,0,1
"568","rdlB",0,0,1
"569","insZ",0,0,1
"570","yoeA",0,0,1
"571","ypfM",0,0,1
"572","sokA",0,0,1
"573","ybfI",0,0,1
"574","ythA",0,0,1
"575","yjhY",0,0,1
"576","rzoQ",0,0,1
"577","ibsA",0,0,1
"578","ibsB",0,0,1
"579","ibsE",0,0,1
"580","eyeA",0,0,1
"581","yohP",0,0,1
"582","yoaK",0,0,1
"583","yoaJ",0,0,1
"584","yjhR",0,0,1
"585","yaaI",0,0,1
"586","yafL",0,0,1
"587","lfhA",0,0,1
"588","ykfC",0,0,1
"589","sfmF",0,0,1
"590","yaiI",0,0,1
"591","ybbD",0,0,1
"592","fetB",0,0,1
"593","ybbW",0,0,1
"594","ybeF",0,0,1
"595","cobC",0,0,1
"596","pxpC",0,0,1
"597","ybgD",0,0,1
"598","ycbX",0,0,1
"599","yceO",0,0,1
"600","yceF",0,0,1
"601","yfjS",0,0,1
"602","ycfT",0,0,1
"603","ymfA",0,0,1
"604","ymfJ",0,0,1
"605","tfaE",0,0,1
"606","tfaP",0,0,1
"607","ycfK",0,0,1
"608","yghE",0,0,1
"609","rzpR",0,0,1
"610","ydbH",0,0,1
"611","rem",0,0,1
"612","ynfL",0,0,1
"613","ydaY",0,0,1
"614","ydjG",0,0,1
"615","mmuP",0,0,1
"616","letA",0,0,1
"617","yecN",0,0,1
"618","yfcS",0,0,1
"619","yfdS",0,0,1
"620","cbeA",0,0,1
"621","cbtA",0,0,1
"622","wbbJ",0,0,1
"623","yehC",0,0,1
"624","yegW",0,0,1
"625","yehA",0,0,1
"626","yohD",0,0,1
"627","elaD",0,0,1
"628","yfdQ",0,0,1
"629","fumE",0,0,1
"630","yfeN",0,0,1
"631","yfeH",0,0,1
"632","yfjZ",0,0,1
"633","truC",0,0,1
"634","yahC",0,0,1
"635","yfdO",0,0,1
"636","yqgE",0,0,1
"637","yggM",0,0,1
"638","ygjQ",0,0,1
"639","ypjC",0,0,1
"640","yhcF",0,0,1
"641","php",0,0,1
"642","yhgN",0,0,1
"643","yhiL",0,0,1
"644","intE",0,0,1
"645","ysaA",0,0,1
"646","yidP",0,0,1
"647","rarD",0,0,1
"648","yigF",0,0,1
"649","frvA",0,0,1
"650","yiiX",0,0,1
"651","ptsA",0,0,1
"652","fsaB",0,0,1
"653","yijF",0,0,1
"654","ycfL",0,0,1
"655","mdtN",0,0,1
"656","yjeO",0,0,1
"657","yjfI",0,0,1
"658","ybaA",0,0,1
"659","yjiS",0,0,1
"660","ykfA",0,0,1
"661","yjhQ",0,0,1
"662","fryC",0,0,1
"663","ubiV",0,0,1
"664","yaaY",0,0,1
"665","pmrR",0,0,1
"666","ypdJ",0,0,1
"667","topAI",0,0,1
"668","agrA",0,0,1
"669","rydB",0,0,1
"670","yigE",0,0,1
"671","ycgH",0,0,1
"672","sraB",0,0,1
"673","yedS",0,0,1
"674","wbbL",0,0,1
"675","yjgX",0,0,1
"676","yehK",0,0,1
"677","ymjB",0,0,1
"678","ydgU",0,0,1
"679","yqcG",0,0,1
"680","yqeL",0,0,1
"681","yqfG",0,0,1
"682","yobI",0,0,1
"683","yoeI",0,0,1
"684","yaaJ",0,0,1
"685","yadL",0,0,1
"686","insB3",0,0,1
"687","gfcC",0,0,1
"688","yahI",0,0,1
"689","insB4",0,0,1
"690","yfhR",0,0,1
"691","ylbH",0,0,1
"692","ybbP",0,0,1
"693","yncI",0,0,1
"694","ybcO",0,0,1
"695","ninE",0,0,1
"696","ybcL",0,0,1
"697","tfaD",0,0,1
"698","tfaX",0,0,1
"699","ybcH",0,0,1
"700","insD1",0,0,1
"701","yceM",0,0,1
"702","ygcG",0,0,1
"703","yaiP",0,0,1
"704","abrB",0,0,1
"705","ymfD",0,0,1
"706","ybbO",0,0,1
"707","ybhJ",0,0,1
"708","ybhN",0,0,1
"709","yfaY",0,0,1
"710","yegX",0,0,1
"711","ycdU",0,0,1
"712","beeE",0,0,1
"713","xisE",0,0,1
