"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1","ydcZ",0,1,0,0,0,0,0,0,0
"2","yecD",0,1,0,0,0,0,0,0,0
"3","yhbW",0,1,0,0,0,0,0,0,0
"4","yhiM",0,1,0,0,0,0,0,0,0
"5","yibQ",0,1,0,0,0,0,0,0,0
"6","rutE",0,1,0,0,0,0,0,0,0
"7","mdtC",0,1,0,0,0,0,0,0,0
"8","rsxE",0,1,0,0,0,0,0,0,0
"9","cusR",0,1,0,0,0,0,0,0,0
"10","ydiP",0,1,0,0,0,0,0,0,0
"11","ylbF",0,1,0,0,0,0,0,0,0
"12","hybG",0,1,0,0,0,0,0,0,0
"13","yrfG",0,1,0,0,0,0,0,0,0
"14","ycgM",0,1,0,0,0,0,0,0,0
"15","slt",0,1,0,0,0,0,0,0,0
"16","ulaC",0,1,0,0,0,0,0,0,0
"17","yoaB",0,1,0,0,0,0,0,0,0
"18","yadG",0,1,0,0,0,0,0,0,0
"19","ydjA",0,1,0,0,0,0,0,0,0
"20","rcsB",1,0,0.0454545454545455,0.954545454545454,0,0.0151515151515152,0.0606060606060606,0.166666666666667,0.757575757575757
"21","prpC",0,1,0,0,0,0,0,0,0
"22","rsuA",0,1,0,0,0,0,0,0,0
"23","fpr",0,1,0,0,0,0,0,0,0
"24","dedA",0,1,0,0,0,0,0,0,0
"25","trmA",0,1,0,0,0,0,0,0,0
"26","ycjX",0,1,0,0,0,0,0,0,0
"27","csrD",0,1,0,0,0,0,0,0,0
"28","zraR",1,0,0,1,0,0,0.103448275862069,0.137931034482759,0.758620689655172
"29","metJ",0,1,0,0,0,0,0,0,0
"30","speC",0,1,0,0,0,0,0,0,0
"31","uhpB",0,1,0,0,0,0,0,0,0
"32","fepG",0,1,0,0,0,0,0,0,0
"33","pck",0,1,0,0,0,0,0,0,0
"34","ybhG",0,1,0,0,0,0,0,0,0
"35","yieP",0,1,0,0,0,0,0,0,0
"36","grpE",0,1,0,0,0,0,0,0,0
"37","pgl",0,1,0,0,0,0,0,0,0
"38","pepD",0,1,0,0,0,0,0,0,0
"39","nrdI",0,1,0,0,0,0,0,0,0
"40","mdtF",0,1,0,0,0,0,0,0,0
"41","hypD",0,1,0,0,0,0,0,0,0
"42","iap",0,1,0,0,0,0,0,0,0
"43","cyoE",0,1,0,0,0,0,0,0,0
"44","gatZ",0,1,0,0,0,0,0,0,0
"45","ccmH",0,1,0,0,0,0,0,0,0
"46","ssuD",0,1,0,0,0,0,0,0,0
"47","aroH",0,1,0,0,0,0,0,0,0
"48","fadE",0,1,0,0,0,0,0,0,0
"49","gltL",0,1,0,0,0,0,0,0,0
"50","yncD",0,1,0,0,0,0,0,0,0
"51","murE",0,1,0,0,0,0,0,0,0
"52","fdhD",0,1,0,0,0,0,0,0,0
"53","moeA",0,1,0,0,0,0,0,0,0
"54","kefB",0,1,0,0,0,0,0,0,0
"55","cyaA",0,1,0,0,0,0,0,0,0
"56","ybjM",0,1,0,0,0,0,0,0,0
"57","hybE",0,1,0,0,0,0,0,0,0
"58","mgsA",0,1,0,0,0,0,0,0,0
"59","ulaE",0,1,0,0,0,0,0,0,0
"60","zntR",0,1,0,0,0,0,0,0,0
"61","yciH",0,1,0,0,0,0,0,0,0
"62","tauC",0,1,0,0,0,0,0,0,0
"63","mdtI",0,1,0,0,0,0,0,0,0
"64","pykA",0,1,0,0,0,0,0,0,0
"65","flhE",0,1,0,0,0,0,0,0,0
"66","yfeD",0,1,0,0,0,0,0,0,0
"67","nrfC",0,1,0,0,0,0,0,0,0
"68","fimA",0,1,0,0,0,0,0,0,0
"69","ugpC",0,1,0,0,0,0,0,0,0
"70","exuT",0,1,0,0,0,0,0,0,0
"71","envC",0,1,0,0,0,0,0,0,0
"72","mdtG",0,1,0,0,0,0,0,0,0
"73","fimC",0,1,0,0,0,0,0,0,0
"74","folP",0,1,0,0,0,0,0,0,0
"75","yhhQ",0,1,0,0,0,0,0,0,0
"76","agaV",0,1,0,0,0,0,0,0,0
"77","ycdX",0,1,0,0,0,0,0,0,0
"78","bfd",0,1,0,0,0,0,0,0,0
"79","prlC",0,1,0,0,0,0,0,0,0
"80","nrdD",0,1,0,0,0,0,0,0,0
"81","fadR",0,1,0,0,0,0,0,0,0
"82","recC",0,1,0,0,0,0,0,0,0
"83","dadA",0,1,0,0,0,0,0,0,0
"84","hyaE",0,1,0,0,0,0,0,0,0
"85","aceK",0,1,0,0,0,0,0,0,0
"86","yaeP",0,1,0,0,0,0,0,0,0
"87","sanA",0,1,0,0,0,0,0,0,0
"88","mutM",0,1,0,0,0,0,0,0,0
"89","yiaD",0,1,0,0,0,0,0,0,0
"90","yfcZ",0,1,0,0,0,0,0,0,0
"91","dld",0,1,0,0,0,0,0,0,0
"92","glpK",0,1,0,0,0,0,0,0,0
"93","pepB",0,1,0,0,0,0,0,0,0
"94","yjjP",0,1,0,0,0,0,0,0,0
"95","fimI",0,1,0,0,0,0,0,0,0
"96","rimI",0,1,0,0,0,0,0,0,0
"97","nrdH",0,1,0,0,0,0,0,0,0
"98","ymdB",0,1,0,0,0,0,0,0,0
"99","selA",0,1,0,0,0,0,0,0,0
"100","cdsA",0,1,0,0,0,0,0,0,0
"101","putP",0,1,0,0,0,0,0,0,0
"102","dmsB",0,1,0,0,0,0,0,0,0
"103","rzpD",0,1,0,0,0,0,0,0,0
"104","yfcA",0,1,0,0,0,0,0,0,0
"105","hypC",0,1,0,0,0,0,0,0,0
"106","grxA",0,1,0,0,0,0,0,0,0
"107","ais",0,1,0,0,0,0,0,0,0
"108","yehS",0,1,0,0,0,0,0,0,0
"109","ycdY",0,1,0,0,0,0,0,0,0
"110","torD",0,1,0,0,0,0,0,0,0
"111","glnD",0,1,0,0,0,0,0,0,0
"112","yjjW",0,1,0,0,0,0,0,0,0
"113","fepB",0,1,0,0,0,0,0,0,0
"114","ydgJ",0,1,0,0,0,0,0,0,0
"115","slp",0,1,0,0,0,0,0,0,0
"116","smg",0,1,0,0,0,0,0,0,0
"117","potI",0,1,0,0,0,0,0,0,0
"118","ygiW",0,1,0,0,0,0,0,0,0
"119","entA",0,1,0,0,0,0,0,0,0
"120","pmrD",0,1,0,0,0,0,0,0,0
"121","ydhV",0,1,0,0,0,0,0,0,0
"122","phoA",0,1,0,0,0,0,0,0,0
"123","yqiA",0,1,0,0,0,0,0,0,0
"124","nanE",0,1,0,0,0,0,0,0,0
"125","nrfB",0,1,0,0,0,0,0,0,0
"126","fis",1,0,0.716666666666665,0.283333333333333,0,0.00555555555555556,0.0611111111111111,0.2,0.733333333333332
"127","yhdH",0,1,0,0,0,0,0,0,0
"128","dadX",0,1,0,0,0,0,0,0,0
"129","nrdR",0,1,0,0,0,0,0,0,0
"130","fucK",0,1,0,0,0,0,0,0,0
"131","ispA",0,1,0,0,0,0,0,0,0
"132","nhaB",0,1,0,0,0,0,0,0,0
"133","gadA",0,1,0,0,0,0,0,0,0
"134","ybaV",0,1,0,0,0,0,0,0,0
"135","yqaB",0,1,0,0,0,0,0,0,0
"136","gshB",0,1,0,0,0,0,0,0,0
"137","tpiA",0,1,0,0,0,0,0,0,0
"138","cysE",0,1,0,0,0,0,0,0,0
"139","gltA",0,1,0,0,0,0,0,0,0
"140","betB",0,1,0,0,0,0,0,0,0
"141","lnt",0,1,0,0,0,0,0,0,0
"142","glmU",0,1,0,0,0,0,0,0,0
"143","fadL",0,1,0,0,0,0,0,0,0
"144","hybB",0,1,0,0,0,0,0,0,0
"145","prpD",0,1,0,0,0,0,0,0,0
"146","pheP",0,1,0,0,0,0,0,0,0
"147","ybiX",0,1,0,0,0,0,0,0,0
"148","ycfP",0,1,0,0,0,0,0,0,0
"149","mltC",0,1,0,0,0,0,0,0,0
"150","pepN",0,1,0,0,0,0,0,0,0
"151","ybiV",0,1,0,0,0,0,0,0,0
"152","yhfK",0,1,0,0,0,0,0,0,0
"153","fucR",0,1,0,0,0,0,0,0,0
"154","sufA",0,1,0,0,0,0,0,0,0
"155","sufS",0,1,0,0,0,0,0,0,0
"156","amn",0,1,0,0,0,0,0,0,0
"157","yneE",0,1,0,0,0,0,0,0,0
"158","yodC",0,1,0,0,0,0,0,0,0
"159","aidB",0,1,0,0,0,0,0,0,0
"160","ygaZ",0,1,0,0,0,0,0,0,0
"161","glgC",0,1,0,0,0,0,0,0,0
"162","yebY",0,1,0,0,0,0,0,0,0
"163","fdx",0,1,0,0,0,0,0,0,0
"164","hcp",0,1,0,0,0,0,0,0,0
"165","fliF",0,1,0,0,0,0,0,0,0
"166","yafD",0,1,0,0,0,0,0,0,0
"167","nadA",0,1,0,0,0,0,0,0,0
"168","clpA",0,1,0,0,0,0,0,0,0
"169","gatA",0,1,0,0,0,0,0,0,0
"170","appA",0,1,0,0,0,0,0,0,0
"171","ydhR",0,1,0,0,0,0,0,0,0
"172","fliK",0,1,0,0,0,0,0,0,0
"173","potG",0,1,0,0,0,0,0,0,0
"174","ygdQ",0,1,0,0,0,0,0,0,0
"175","pdxY",0,1,0,0,0,0,0,0,0
"176","ccmF",0,1,0,0,0,0,0,0,0
"177","ynaJ",0,1,0,0,0,0,0,0,0
"178","ydfG",0,1,0,0,0,0,0,0,0
"179","aspC",0,1,0,0,0,0,0,0,0
"180","flgI",0,1,0,0,0,0,0,0,0
"181","mdtL",0,1,0,0,0,0,0,0,0
"182","aroF",0,1,0,0,0,0,0,0,0
"183","rnt",0,1,0,0,0,0,0,0,0
"184","yhiD",0,1,0,0,0,0,0,0,0
"185","yjaH",0,1,0,0,0,0,0,0,0
"186","sufC",0,1,0,0,0,0,0,0,0
