"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"1","ydcZ",0,1,0,0,0,0,0,0,0,0,0
"2","yecD",0,1,0,0,0,0,0,0,0,0,0
"3","yhbW",1,0,0,0.5,0,0,0,0.5,0,0,0
"4","yhiM",1,0,0,0.2,0,0.4,0.2,0,0.2,0,0
"5","yibQ",0,1,0,0,0,0,0,0,0,0,0
"6","rutE",1,0,0,1,0,0,0,0,0,0,0
"7","mdtC",1,0,0,1,0,0,0,0,0,0,0
"8","rsxE",0,1,0,0,0,0,0,0,0,0,0
"9","cusR",1,0,0,1,0,0,0,0,0,0,0
"10","pgpC",0,1,0,0,0,0,0,0,0,0,0
"11","ydiP",0,1,0,0,0,0,0,0,0,0,0
"12","pdeK",0,1,0,0,0,0,0,0,0,0,0
"13","sgrR",1,0,0,0.5,0,0,0,0.5,0,0,0
"14","ylbF",0,1,0,0,0,0,0,0,0,0,0
"15","dusA",0,1,0,0,0,0,0,0,0,0,0
"16","hybG",1,0,0,0,0,0,0,0,1,0,0
"17","btsS",0,1,0,0,0,0,0,0,0,0,0
"18","yrfG",0,1,0,0,0,0,0,0,0,0,0
"19","ycgM",0,1,0,0,0,0,0,0,0,0,0
"20","slt",1,0,0,1,0,0,0,0,0,0,0
"21","ulaC",1,0,0,0.25,0,0,0.5,0,0.25,0,0
"22","arfB",0,1,0,0,0,0,0,0,0,0,0
"23","yoaB",0,1,0,0,0,0,0,0,0,0,0
"24","yadG",0,1,0,0,0,0,0,0,0,0,0
"25","ydjA",0,1,0,0,0,0,0,0,0,0,0
"26","rcsB",1,0,0,0,0,0,0,0,1,0,0
"27","prpC",1,0,0,0.5,0,0,0,0,0,0.5,0
"28","rsuA",0,1,0,0,0,0,0,0,0,0,0
"29","fpr",1,0,0,1,0,0,0,0,0,0,0
"30","mlaF",0,1,0,0,0,0,0,0,0,0,0
"31","dedA",0,1,0,0,0,0,0,0,0,0,0
"32","trmA",0,1,0,0,0,0,0,0,0,0,0
"33","ycjX",0,1,0,0,0,0,0,0,0,0,0
"34","csrD",0,1,0,0,0,0,0,0,0,0,0
"35","zraR",0,1,0,0,0,0,0,0,0,0,0
"36","metJ",1,0,0,0,0,0,0,0,1,0,0
"37","lysO",1,0,0,0,0,0,0,0,1,0,0
"38","speC",1,0,0,0,0,1,0,0,0,0,0
"39","uhpB",0,1,0,0,0,0,0,0,0,0,0
"40","fepG",1,0,0,0,0,0,0,0,1,0,0
"41","pck",1,0,0,1,0,0,0,0,0,0,0
"42","ybhG",1,0,0,0,0,0,0,0,1,0,0
"43","yieP",0,1,0,0,0,0,0,0,0,0,0
"44","hcxB",0,1,0,0,0,0,0,0,0,0,0
"45","tusD",0,1,0,0,0,0,0,0,0,0,0
"46","grpE",0,1,0,0,0,0,0,0,0,0,0
"47","pgl",0,1,0,0,0,0,0,0,0,0,0
"48","pepD",1,0,0,0,0,0,0,0,1,0,0
"49","nrdI",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"50","ttdR",0,1,0,0,0,0,0,0,0,0,0
"51","mdtF",1,0,0.0285714285714286,0.6,0,0.257142857142857,0,0,0.114285714285714,0,0
"52","hypD",1,0,0,0.6,0,0.2,0,0.2,0,0,0
"53","iap",0,1,0,0,0,0,0,0,0,0,0
"54","cyoE",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.333333333333333,0.166666666666667,0
"55","gatZ",1,0,0,0.5,0,0,0,0,0.5,0,0
"56","ccmH",1,0,0,0.428571428571429,0.285714285714286,0,0,0,0.285714285714286,0,0
"57","ssuD",1,0,0,0.5,0,0,0,0,0.25,0.25,0
"58","aroH",1,0,0,0,0,0,0,0,1,0,0
"59","fadE",1,0,0,1,0,0,0,0,0,0,0
"60","gltL",1,0,0,1,0,0,0,0,0,0,0
"61","yncD",0,1,0,0,0,0,0,0,0,0,0
"62","murE",1,0,0,0,0,0.2,0.2,0,0.6,0,0
"63","fdhD",0,1,0,0,0,0,0,0,0,0,0
"64","moeA",1,0,0,0.333333333333333,0.166666666666667,0.333333333333333,0,0,0.166666666666667,0,0
"65","kefB",0,1,0,0,0,0,0,0,0,0,0
"66","cyaA",1,0,0,0,0,0,0,0,1,0,0
"67","ybjM",0,1,0,0,0,0,0,0,0,0,0
"68","ghrA",0,1,0,0,0,0,0,0,0,0,0
"69","hybE",1,0,0,0,0,0,0,0,1,0,0
"70","mgsA",0,1,0,0,0,0,0,0,0,0,0
"71","ulaE",1,0,0,0.25,0,0,0.5,0,0.25,0,0
