"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1","NP_X"
"1","ydcZ",0,1,0,0,0,0,0,0,0,0,0
"2","yhbW",1,0,0,0,0,0,0,0,0,0,1
"3","yhiM",1,0,0,0,0,0,0,0,0,0,1
"4","yibQ",0,1,0,0,0,0,0,0,0,0,0
"5","rutE",1,0,0,0,0,0,0,0,0,0,1
"6","mdtC",1,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667
"7","rsxE",0,1,0,0,0,0,0,0,0,0,0
"8","cusR",1,0,0,0,0,0,0,0,0,0,1
"9","ydiP",0,1,0,0,0,0,0,0,0,0,0
"10","hybG",1,0,0,0,0,0,0,0,0,0,1
"11","ycgM",0,1,0,0,0,0,0,0,0,0,0
"12","ulaC",1,0,0,0,0,0,0.5,0,0,0,0.5
"13","yoaB",0,1,0,0,0,0,0,0,0,0,0
"14","ydjA",0,1,0,0,0,0,0,0,0,0,0
"15","rcsB",1,0,0,0,0,0,0,0,0,0,1
"16","prpC",1,0,0,0,0,0,0,0,0,0.5,0.5
"17","trmA",0,1,0,0,0,0,0,0,0,0,0
"18","csrD",0,1,0,0,0,0,0,0,0,0,0
"19","zraR",0,1,0,0,0,0,0,0,0,0,0
"20","metJ",1,0,0,0,0,0,0,0,0,0,1
"21","speC",1,0,0,0,0,0,0,0,0,0,1
"22","uhpB",0,1,0,0,0,0,0,0,0,0,0
"23","fepG",1,0,0,0,0,0,0,0,0,0,1
"24","pck",1,0,0,0,0,0,0,0,0,0,1
"25","ybhG",1,0,0,0,0,0,0,0,0,0,1
"26","yieP",0,1,0,0,0,0,0,0,0,0,0
"27","grpE",0,1,0,0,0,0,0,0,0,0,0
"28","pgl",0,1,0,0,0,0,0,0,0,0,0
"29","pepD",1,0,0,0,0,0,0,0,0,0,1
"30","nrdI",1,0,0,0,0,0,0,0,0,0,1
"31","mdtF",1,0,0,0.142857142857143,0,0,0,0,0,0,0.857142857142857
"32","hypD",1,0,0,0.4,0,0.2,0,0.2,0,0,0.2
"33","cyoE",1,0,0,0,0,0,0.0555555555555556,0,0,0.111111111111111,0.833333333333334
"34","ccmH",1,0,0,0,0,0,0,0,0.142857142857143,0,0.857142857142857
"35","ssuD",1,0,0,0,0,0,0,0,0,0,1
"36","fadE",1,0,0,0,0,0,0,0,0,0,1
"37","gltL",1,0,0,0,0,0,0,0,0,0,1
"38","yncD",0,1,0,0,0,0,0,0,0,0,0
"39","moeA",1,0,0,0,0,0,0,0,0,0,1
"40","kefB",0,1,0,0,0,0,0,0,0,0,0
"41","ybjM",0,1,0,0,0,0,0,0,0,0,0
"42","hybE",1,0,0,0,0,0,0,0,0,0,1
"43","mgsA",0,1,0,0,0,0,0,0,0,0,0
"44","yciH",1,0,0,0,0,0,0,0,0,0,1
"45","tauC",1,0,0,0,0,0,0,0,0,0,1
"46","mdtI",1,0,0,0,0,0,0,0,0,0,1
"47","pykA",1,0,0,0,0,0,0,0,0,0,1
"48","yfeD",0,1,0,0,0,0,0,0,0,0,0
"49","nrfC",1,0,0,0,0,0,0,0,0,0,1
"50","ugpC",1,0,0,0,0,0,0,0,0,0,1
"51","exuT",1,0,0,0,0,0,0,0,0,0,1
"52","envC",0,1,0,0,0,0,0,0,0,0,0
"53","folP",0,1,0,0,0,0,0,0,0,0,0
"54","agaV",1,0,0,0,0,0,0,0,0,0,1
"55","ycdX",0,1,0,0,0,0,0,0,0,0,0
"56","bfd",0,1,0,0,0,0,0,0,0,0,0
"57","nrdD",1,0,0,0,0,0,0,0,0,0,1
"58","recC",1,0,0,0,0,0,0,0,0,0,1
"59","dadA",0,1,0,0,0,0,0,0,0,0,0
"60","hyaE",1,0,0,0,0,0,0,0,0,0,1
"61","yaeP",0,1,0,0,0,0,0,0,0,0,0
"62","sanA",0,1,0,0,0,0,0,0,0,0,0
"63","mutM",1,0,0,0,0,0,0,0,0,0,1
"64","yiaD",0,1,0,0,0,0,0,0,0,0,0
"65","yfcZ",1,0,0,0,0,0,0,0,0,0,1
"66","dld",0,1,0,0,0,0,0,0,0,0,0
"67","glpK",1,0,0,0,0,0,0,0,0,0,1
"68","yjjP",0,1,0,0,0,0,0,0,0,0,0
"69","nrdH",1,0,0,0,0,0,0,0,0,0,1
"70","selA",0,1,0,0,0,0,0,0,0,0,0
"71","cdsA",0,1,0,0,0,0,0,0,0,0,0
"72","putP",1,0,0,0,0,0,0,0,0,0,1
"73","dmsB",1,0,0.25,0,0,0,0.166666666666667,0,0,0.166666666666667,0.416666666666667
"74","hypC",1,0,0,0.4,0,0.2,0,0.2,0,0,0.2
"75","ais",0,1,0,0,0,0,0,0,0,0,0
"76","torD",1,0,0,0,0,0,0,0,0,0,1
"77","glnD",1,0,0,0,0,0,0,0,0,0,1
"78","yjjW",0,1,0,0,0,0,0,0,0,0,0
"79","fepB",1,0,0,0,0,0,0,0,0,0,1
"80","ydgJ",0,1,0,0,0,0,0,0,0,0,0
"81","slp",1,0,0,0.0952380952380952,0,0,0,0,0.0476190476190476,0.0476190476190476,0.80952380952381
"82","smg",0,1,0,0,0,0,0,0,0,0,0
"83","potI",1,0,0,0,0,0,0,0,0,0,1
"84","entA",1,0,0,0,0,0,0,0,0,0,1
"85","ydhV",1,0,0,0,0,0,0,0,0,0,1
"86","phoA",1,0,0,0,0,0,0,0,0,0,1
"87","yqiA",0,1,0,0,0,0,0,0,0,0,0
"88","nanE",1,0,0,0,0,0,0,0,0,0,1
"89","nrfB",1,0,0,0,0,0,0,0,0,0,1
"90","fis",1,0,0,0,0,0,0,0.222222222222222,0,0,0.777777777777778
"91","yhdH",0,1,0,0,0,0,0,0,0,0,0
"92","dadX",1,0,0,0,0,0,0,0,0,0,1
"93","nrdR",0,1,0,0,0,0,0,0,0,0,0
"94","fucK",1,0,0,0.166666666666667,0,0,0,0,0,0,0.833333333333333
"95","ispA",0,1,0,0,0,0,0,0,0,0,0
"96","gadA",1,0,0,0.0344827586206897,0,0,0,0,0,0,0.96551724137931
"97","yqaB",0,1,0,0,0,0,0,0,0,0,0
"98","tpiA",1,0,0,0,0,0,0,0,0,0,1
"99","cysE",0,1,0,0,0,0,0,0,0,0,0
"100","gltA",1,0,0,0,0,0,0,0.25,0,0,0.75
"101","betB",1,0,0,0,0,0,0,0,0.25,0,0.75
"102","hybB",1,0,0,0,0,0,0,0,0,0,1
"103","prpD",1,0,0,0,0,0,0,0,0,0.5,0.5
"104","pheP",0,1,0,0,0,0,0,0,0,0,0
"105","ybiV",0,1,0,0,0,0,0,0,0,0,0
"106","yhfK",0,1,0,0,0,0,0,0,0,0,0
"107","fucR",1,0,0,0,0,0,0,0,0,0,1
"108","sufA",1,0,0,0,0,0.125,0,0.25,0,0,0.625
"109","sufS",1,0,0,0,0,0.125,0,0.25,0,0,0.625
"110","amn",1,0,0,0,0,0,0,0,0,0,1
"111","aidB",1,0,0,0,0,0,0,0,0,0,1
"112","glgC",1,0,0,0,0,0,0,0,0,0,1
"113","yebY",0,1,0,0,0,0,0,0,0,0,0
"114","hcp",1,0,0,0,0,0,0,0.5,0,0,0.5
"115","fliF",1,0,0,0,0,0,0,0,0,0,1
"116","yafD",0,1,0,0,0,0,0,0,0,0,0
"117","nadA",0,1,0,0,0,0,0,0,0,0,0
"118","clpA",0,1,0,0,0,0,0,0,0,0,0
"119","appA",1,0,0,0,0,0,0,0,0,0,1
"120","ydhR",0,1,0,0,0,0,0,0,0,0,0
"121","fliK",1,0,0,0,0,0,0,0,0,0,1
"122","potG",1,0,0,0,0,0,0,0,0,0,1
"123","ccmF",1,0,0,0,0,0,0,0,0.166666666666667,0,0.833333333333333
"124","ynaJ",0,1,0,0,0,0,0,0,0,0,0
"125","aroF",1,0,0,0,0,0,0,0,0,0,1
"126","yhiD",1,0,0,0.111111111111111,0,0,0,0,0,0,0.888888888888889
"127","yjaH",0,1,0,0,0,0,0,0,0,0,0
"128","sufC",1,0,0,0,0,0.125,0,0.25,0,0,0.625
"129","uspE",0,1,0,0,0,0,0,0,0,0,0
"130","efeU",0,1,0,0,0,0,0,0,0,0,0
"131","clpS",0,1,0,0,0,0,0,0,0,0,0
"132","chaA",0,1,0,0,0,0,0,0,0,0,0
"133","ogt",0,1,0,0,0,0,0,0,0,0,0
"134","betI",1,0,0,0,0,0,0,0,0,0,1
