"","V1","FFL","No_FFL","NonPl_X"
"1","ydcZ",0,1,0
"2","yecD",0,1,0
"3","yhbW",1,0,0
"4","yhiM",1,0,0
"5","yibQ",1,0,0
"6","rutE",1,0,0
"7","mdtC",1,0,0
"8","rsxE",0,1,0
"9","cusR",1,0,0
"10","ydiP",0,1,0
"11","ylbF",0,1,0
"12","hybG",1,0,0
"13","yrfG",0,1,0
"14","ycgM",0,1,0
"15","slt",1,0,0
"16","ulaC",1,0,0
"17","yoaB",0,1,0
"18","yadG",0,1,0
"19","ydjA",0,1,0
"20","rcsB",1,0,0
"21","prpC",1,0,0
"22","rsuA",0,1,0
"23","fpr",1,0,0
"24","dedA",0,1,0
"25","trmA",1,0,0
"26","ycjX",0,1,0
"27","csrD",0,1,0
"28","zraR",1,0,0
"29","metJ",1,0,0
"30","speC",1,0,0
"31","uhpB",0,1,0
"32","fepG",1,0,0
"33","pck",1,0,0
"34","ybhG",0,1,0
"35","yieP",0,1,0
"36","grpE",1,0,0
"37","pgl",0,1,0
"38","pepD",1,0,0
"39","nrdI",1,0,0
"40","mdtF",1,0,0
"41","hypD",1,0,0
"42","iap",0,1,0
"43","cyoE",1,0,0
"44","gatZ",1,0,0
"45","ccmH",1,0,0
"46","ssuD",1,0,0
"47","aroH",0,1,0
"48","fadE",1,0,0
"49","gltL",1,0,0
"50","yncD",0,1,0
"51","murE",1,0,0
"52","fdhD",0,1,0
"53","moeA",1,0,0
"54","kefB",0,1,0
"55","cyaA",1,0,0
"56","ybjM",0,1,0
"57","hybE",1,0,0
"58","mgsA",0,1,0
"59","ulaE",1,0,0
"60","zntR",1,0,0
"61","yciH",1,0,0
"62","tauC",1,0,0
"63","mdtI",1,0,0
"64","pykA",1,0,0
"65","flhE",1,0,0
"66","yfeD",0,1,0
"67","nrfC",1,0,0
"68","fimA",1,0,0
"69","ugpC",1,0,0
"70","exuT",1,0,0
"71","envC",1,0,0
"72","mdtG",0,1,0
"73","fimC",1,0,0
"74","folP",0,1,0
"75","yhhQ",0,1,0
"76","agaV",1,0,0
"77","ycdX",0,1,0
"78","bfd",0,1,0
"79","prlC",0,1,0
"80","nrdD",1,0,0
"81","fadR",1,0,0
"82","recC",1,0,0
"83","dadA",1,0,0
"84","hyaE",1,0,0
"85","aceK",1,0,0
"86","yaeP",0,1,0
"87","sanA",0,1,0
"88","mutM",1,0,0
"89","yiaD",0,1,0
"90","yfcZ",1,0,0
"91","dld",0,1,0
"92","glpK",1,0,0
"93","pepB",0,1,0
"94","yjjP",1,0,0
"95","fimI",1,0,0
"96","rimI",0,1,0
"97","nrdH",1,0,0
"98","ymdB",1,0,0
"99","selA",0,1,0
"100","cdsA",0,1,0
"101","putP",1,0,0
"102","dmsB",1,0,0
"103","rzpD",0,1,0
"104","yfcA",0,1,0
"105","hypC",1,0,0
"106","grxA",0,1,0
"107","ais",0,1,0
"108","yehS",0,1,0
"109","ycdY",0,1,0
"110","torD",1,0,0
"111","glnD",1,0,0
"112","yjjW",0,1,0
"113","fepB",1,0,0
"114","ydgJ",0,1,0
"115","slp",1,0,0
"116","smg",0,1,0
"117","potI",1,0,0
"118","ygiW",0,1,0
"119","entA",1,0,0
"120","pmrD",0,1,0
"121","ydhV",1,0,0
"122","phoA",1,0,0
"123","yqiA",0,1,0
"124","nanE",1,0,0
"125","nrfB",1,0,0
"126","fis",1,0,0
"127","yhdH",0,1,0
"128","dadX",1,0,0
"129","nrdR",0,1,0
"130","fucK",1,0,0
"131","ispA",0,1,0
"132","nhaB",0,1,0
"133","gadA",1,0,0
"134","ybaV",0,1,0
"135","yqaB",0,1,0
"136","gshB",0,1,0
"137","tpiA",1,0,0
"138","cysE",1,0,0
"139","gltA",1,0,0
"140","betB",1,0,0
"141","lnt",0,1,0
"142","glmU",0,1,0
"143","fadL",1,0,0
"144","hybB",1,0,0
"145","prpD",1,0,0
"146","pheP",0,1,0
"147","ybiX",0,1,0
"148","ycfP",0,1,0
"149","mltC",0,1,0
"150","pepN",0,1,0
"151","ybiV",0,1,0
"152","yhfK",0,1,0
"153","fucR",1,0,0
"154","sufA",1,0,0
"155","sufS",1,0,0
"156","amn",1,0,0
"157","yneE",0,1,0
"158","yodC",0,1,0
"159","aidB",1,0,0
"160","ygaZ",0,1,0
"161","glgC",1,0,0
"162","yebY",0,1,0
"163","fdx",0,1,0
"164","hcp",1,0,0
"165","fliF",1,0,0
"166","yafD",1,0,0
"167","nadA",0,1,0
"168","clpA",0,1,0
"169","gatA",1,0,0
"170","appA",1,0,0
"171","ydhR",0,1,0
"172","fliK",1,0,0
"173","potG",1,0,0
"174","ygdQ",0,1,0
"175","pdxY",0,1,0
"176","ccmF",1,0,0
"177","ynaJ",0,1,0
"178","ydfG",0,1,0
"179","aspC",1,0,0
"180","flgI",1,0,0
"181","mdtL",0,1,0
"182","aroF",1,0,0
"183","rnt",0,1,0
"184","yhiD",1,0,0
"185","yjaH",0,1,0
"186","sufC",1,0,0
"187","uspE",1,0,0
"188","efeU",0,1,0
"189","clpS",1,0,0
"190","ulaR",0,1,0
"191","chaA",1,0,0
"192","ycjF",0,1,0
"193","glgS",1,0,0
"194","ogt",1,0,0
"195","ymdA",1,0,0
"196","artM",1,0,0
"197","hisI",1,0,0
"198","betI",1,0,0
