"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg","NP_X"
"1","ydcZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"2","yecD",0,1,0,0,0,0,0,0,0,0,0,0,0
"3","yhbW",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0
"4","yhiM",1,0,0.217391304347826,0.347826086956522,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.0434782608695652,0.0434782608695652,0.130434782608696,0,0,0
"5","yibQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"6","rutE",1,0,0.428571428571429,0.571428571428571,0,0,0,0,0,0,0,0,0
"7","mdtC",1,0,1,0,0,0,0,0,0,0,0,0,0
"8","rsxE",0,1,0,0,0,0,0,0,0,0,0,0,0
"9","cusR",1,0,0,0,0,1,0,0,0,0,0,0,0
"10","ydiP",0,1,0,0,0,0,0,0,0,0,0,0,0
"11","ylbF",0,1,0,0,0,0,0,0,0,0,0,0,0
"12","hybG",1,0,0,0,1,0,0,0,0,0,0,0,0
"13","yrfG",0,1,0,0,0,0,0,0,0,0,0,0,0
"14","ycgM",0,1,0,0,0,0,0,0,0,0,0,0,0
"15","slt",1,0,1,0,0,0,0,0,0,0,0,0,0
"16","ulaC",1,0,0,0.2,0.2,0,0.4,0.2,0,0,0,0,0
"17","yoaB",0,1,0,0,0,0,0,0,0,0,0,0,0
"18","yadG",0,1,0,0,0,0,0,0,0,0,0,0,0
"19","ydjA",0,1,0,0,0,0,0,0,0,0,0,0,0
"20","rcsB",0,1,0,0,0,0,0,0,0,0,0,0,0
"21","prpC",1,0,0.75,0,0,0,0.25,0,0,0,0,0,0
"22","rsuA",0,1,0,0,0,0,0,0,0,0,0,0,0
"23","fpr",1,0,0.5,0,0,0.5,0,0,0,0,0,0,0
"24","dedA",0,1,0,0,0,0,0,0,0,0,0,0,0
"25","trmA",1,0,1,0,0,0,0,0,0,0,0,0,0
"26","ycjX",0,1,0,0,0,0,0,0,0,0,0,0,0
"27","csrD",0,1,0,0,0,0,0,0,0,0,0,0,0
"28","zraR",1,0,1,0,0,0,0,0,0,0,0,0,0
"29","metJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"30","speC",1,0,0,1,0,0,0,0,0,0,0,0,0
"31","uhpB",0,1,0,0,0,0,0,0,0,0,0,0,0
"32","fepG",0,1,0,0,0,0,0,0,0,0,0,0,0
"33","pck",1,0,1,0,0,0,0,0,0,0,0,0,0
"34","ybhG",0,1,0,0,0,0,0,0,0,0,0,0,0
"35","yieP",0,1,0,0,0,0,0,0,0,0,0,0,0
"36","grpE",1,0,1,0,0,0,0,0,0,0,0,0,0
"37","pgl",0,1,0,0,0,0,0,0,0,0,0,0,0
"38","pepD",1,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0,0
"39","nrdI",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"40","mdtF",1,0,0.347826086956522,0.217391304347826,0.0326086956521739,0.173913043478261,0.0326086956521739,0,0.0978260869565217,0.0217391304347826,0.0652173913043478,0.0108695652173913,0
"41","hypD",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0,0
"42","iap",0,1,0,0,0,0,0,0,0,0,0,0,0
"43","cyoE",1,0,0.146341463414634,0.487804878048781,0.170731707317073,0.024390243902439,0.024390243902439,0,0,0.0975609756097561,0.0487804878048781,0,0
"44","gatZ",1,0,0,1,0,0,0,0,0,0,0,0,0
"45","ccmH",1,0,0.205128205128205,0.128205128205128,0,0.461538461538462,0.0769230769230769,0.0256410256410256,0.102564102564103,0,0,0,0
"46","ssuD",1,0,0.25,0.5,0,0,0,0,0,0.25,0,0,0
"47","aroH",0,1,0,0,0,0,0,0,0,0,0,0,0
"48","fadE",1,0,0.0909090909090909,0.636363636363636,0.272727272727273,0,0,0,0,0,0,0,0
"49","gltL",1,0,0.36,0,0,0.64,0,0,0,0,0,0,0
"50","yncD",0,1,0,0,0,0,0,0,0,0,0,0,0
"51","murE",1,0,0,0,1,0,0,0,0,0,0,0,0
"52","fdhD",0,1,0,0,0,0,0,0,0,0,0,0,0
"53","moeA",1,0,0.2,0.4,0,0.2,0.2,0,0,0,0,0,0
"54","kefB",0,1,0,0,0,0,0,0,0,0,0,0,0
"55","cyaA",0,1,0,0,0,0,0,0,0,0,0,0,0
"56","ybjM",0,1,0,0,0,0,0,0,0,0,0,0,0
"57","hybE",1,0,0,0,1,0,0,0,0,0,0,0,0
"58","mgsA",0,1,0,0,0,0,0,0,0,0,0,0,0
"59","ulaE",1,0,0,0.2,0.2,0,0.4,0.2,0,0,0,0,0
"60","zntR",1,0,1,0,0,0,0,0,0,0,0,0,0
"61","yciH",1,0,1,0,0,0,0,0,0,0,0,0,0
"62","tauC",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"63","mdtI",1,0,0,0,1,0,0,0,0,0,0,0,0
"64","pykA",1,0,0.25,0,0,0.5,0,0,0.25,0,0,0,0
"65","flhE",1,0,0.272727272727273,0,0,0.727272727272727,0,0,0,0,0,0,0
"66","yfeD",0,1,0,0,0,0,0,0,0,0,0,0,0
"67","nrfC",1,0,0.219512195121951,0.121951219512195,0,0.439024390243903,0.024390243902439,0,0.0975609756097561,0,0.0975609756097561,0,0
"68","fimA",1,0,0.583333333333333,0,0,0.416666666666667,0,0,0,0,0,0,0
"69","ugpC",0,1,0,0,0,0,0,0,0,0,0,0,0
"70","exuT",1,0,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0,0,0
"71","envC",0,1,0,0,0,0,0,0,0,0,0,0,0
"72","mdtG",0,1,0,0,0,0,0,0,0,0,0,0,0
"73","fimC",1,0,0.583333333333333,0,0,0.416666666666667,0,0,0,0,0,0,0
"74","folP",0,1,0,0,0,0,0,0,0,0,0,0,0
"75","yhhQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"76","agaV",1,0,0,1,0,0,0,0,0,0,0,0,0
"77","ycdX",0,1,0,0,0,0,0,0,0,0,0,0,0
"78","bfd",0,1,0,0,0,0,0,0,0,0,0,0,0
"79","prlC",0,1,0,0,0,0,0,0,0,0,0,0,0
"80","nrdD",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"81","fadR",0,1,0,0,0,0,0,0,0,0,0,0,0
"82","recC",1,0,0.3125,0,0,0.6875,0,0,0,0,0,0,0
"83","dadA",0,1,0,0,0,0,0,0,0,0,0,0,0
"84","hyaE",1,0,0.233333333333333,0.466666666666667,0.1,0.0333333333333333,0.0333333333333333,0,0.0666666666666667,0.0666666666666667,0,0,0
"85","aceK",1,0,0.25,0.25,0.125,0.375,0,0,0,0,0,0,0
"86","yaeP",0,1,0,0,0,0,0,0,0,0,0,0,0
"87","sanA",0,1,0,0,0,0,0,0,0,0,0,0,0
"88","mutM",1,0,0,0.75,0.25,0,0,0,0,0,0,0,0
"89","yiaD",0,1,0,0,0,0,0,0,0,0,0,0,0
"90","yfcZ",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"91","dld",0,1,0,0,0,0,0,0,0,0,0,0,0
"92","glpK",0,1,0,0,0,0,0,0,0,0,0,0,0
"93","pepB",0,1,0,0,0,0,0,0,0,0,0,0,0
"94","yjjP",0,1,0,0,0,0,0,0,0,0,0,0,0
"95","fimI",1,0,0.583333333333333,0,0,0.416666666666667,0,0,0,0,0,0,0
"96","rimI",0,1,0,0,0,0,0,0,0,0,0,0,0
"97","nrdH",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"98","ymdB",1,0,0.272727272727273,0,0,0.727272727272727,0,0,0,0,0,0,0
"99","selA",0,1,0,0,0,0,0,0,0,0,0,0,0
"100","cdsA",0,1,0,0,0,0,0,0,0,0,0,0,0
"101","putP",1,0,0,0,1,0,0,0,0,0,0,0,0
"102","dmsB",1,0,0,0.263157894736842,0.210526315789474,0,0.157894736842105,0.157894736842105,0,0.105263157894737,0,0.105263157894737,0
"103","rzpD",0,1,0,0,0,0,0,0,0,0,0,0,0
"104","yfcA",0,1,0,0,0,0,0,0,0,0,0,0,0
"105","hypC",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0,0
"106","grxA",0,1,0,0,0,0,0,0,0,0,0,0,0
"107","ais",0,1,0,0,0,0,0,0,0,0,0,0,0
"108","yehS",0,1,0,0,0,0,0,0,0,0,0,0,0
"109","ycdY",0,1,0,0,0,0,0,0,0,0,0,0,0
"110","torD",1,0,0,1,0,0,0,0,0,0,0,0,0
"111","glnD",1,0,0.111111111111111,0.444444444444444,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0,0.111111111111111,0,0
"112","yjjW",0,1,0,0,0,0,0,0,0,0,0,0,0
"113","fepB",1,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"114","ydgJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"115","slp",1,0,0.263157894736842,0.315789473684211,0.0350877192982456,0.12280701754386,0.105263157894737,0,0.0350877192982456,0.0350877192982456,0.087719298245614,0,0
"116","smg",0,1,0,0,0,0,0,0,0,0,0,0,0
"117","potI",1,0,1,0,0,0,0,0,0,0,0,0,0
"118","ygiW",0,1,0,0,0,0,0,0,0,0,0,0,0
"119","entA",1,0,0,1,0,0,0,0,0,0,0,0,0
"120","pmrD",0,1,0,0,0,0,0,0,0,0,0,0,0
"121","ydhV",1,0,0.166666666666667,0.333333333333333,0,0.333333333333333,0,0,0,0.166666666666667,0,0,0
"122","phoA",1,0,0.5,0,0,0.5,0,0,0,0,0,0,0
"123","yqiA",0,1,0,0,0,0,0,0,0,0,0,0,0
"124","nanE",1,0,0,0.5,0,0,0.5,0,0,0,0,0,0
"125","nrfB",1,0,0.219512195121951,0.121951219512195,0,0.439024390243903,0.024390243902439,0,0.0975609756097561,0,0.0975609756097561,0,0
"126","fis",1,0,0.2,0.2,0,0.6,0,0,0,0,0,0,0
"127","yhdH",0,1,0,0,0,0,0,0,0,0,0,0,0
"128","dadX",0,1,0,0,0,0,0,0,0,0,0,0,0
"129","nrdR",0,1,0,0,0,0,0,0,0,0,0,0,0
"130","fucK",1,0,0.2,0.4,0,0,0.2,0,0,0.2,0,0,0
"131","ispA",0,1,0,0,0,0,0,0,0,0,0,0,0
"132","nhaB",0,1,0,0,0,0,0,0,0,0,0,0,0
