"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1"
"1","ydcZ",0,1,0,0,0,0,0,0,0,0
"2","yhbW",1,0,0,0.5,0,0,0,0.5,0,0
"3","yhiM",1,0,0,0.2,0,0.4,0.2,0,0.2,0
"4","yibQ",0,1,0,0,0,0,0,0,0,0
"5","rutE",1,0,0,1,0,0,0,0,0,0
"6","mdtC",1,0,0,1,0,0,0,0,0,0
"7","rsxE",0,1,0,0,0,0,0,0,0,0
"8","cusR",1,0,0,1,0,0,0,0,0,0
"9","ydiP",0,1,0,0,0,0,0,0,0,0
"10","hybG",1,0,0,0,0,0,0,0,1,0
"11","ycgM",0,1,0,0,0,0,0,0,0,0
"12","ulaC",1,0,0,0.25,0,0,0.5,0,0.25,0
"13","yoaB",0,1,0,0,0,0,0,0,0,0
"14","ydjA",0,1,0,0,0,0,0,0,0,0
"15","rcsB",1,0,0,0,0,0,0,0,1,0
"16","trmA",0,1,0,0,0,0,0,0,0,0
"17","csrD",0,1,0,0,0,0,0,0,0,0
"18","zraR",0,1,0,0,0,0,0,0,0,0
"19","metJ",1,0,0,0,0,0,0,0,1,0
"20","speC",1,0,0,0,0,1,0,0,0,0
"21","uhpB",0,1,0,0,0,0,0,0,0,0
"22","fepG",1,0,0,0,0,0,0,0,1,0
"23","pck",1,0,0,1,0,0,0,0,0,0
"24","ybhG",1,0,0,0,0,0,0,0,1,0
"25","yieP",0,1,0,0,0,0,0,0,0,0
"26","grpE",0,1,0,0,0,0,0,0,0,0
"27","pgl",0,1,0,0,0,0,0,0,0,0
"28","pepD",1,0,0,0,0,0,0,0,1,0
"29","nrdI",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"30","hypD",1,0,0,0.6,0,0.2,0,0.2,0,0
"31","cyoE",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.333333333333333,0.166666666666667
"32","ccmH",1,0,0,0.428571428571429,0.285714285714286,0,0,0,0.285714285714286,0
"33","fadE",1,0,0,1,0,0,0,0,0,0
"34","gltL",1,0,0,1,0,0,0,0,0,0
"35","yncD",0,1,0,0,0,0,0,0,0,0
"36","moeA",1,0,0,0.333333333333333,0.166666666666667,0.333333333333333,0,0,0.166666666666667,0
"37","kefB",0,1,0,0,0,0,0,0,0,0
"38","ybjM",0,1,0,0,0,0,0,0,0,0
"39","hybE",1,0,0,0,0,0,0,0,1,0
"40","mgsA",0,1,0,0,0,0,0,0,0,0
"41","yciH",1,0,0,1,0,0,0,0,0,0
"42","mdtI",1,0,0,0,0,0,0,0,1,0
"43","pykA",1,0,0,1,0,0,0,0,0,0
"44","yfeD",0,1,0,0,0,0,0,0,0,0
"45","nrfC",1,0,0,0.75,0,0,0,0,0.25,0
"46","ugpC",1,0,0,1,0,0,0,0,0,0
"47","exuT",1,0,0,0,0.5,0,0,0.5,0,0
"48","envC",0,1,0,0,0,0,0,0,0,0
"49","folP",0,1,0,0,0,0,0,0,0,0
"50","agaV",1,0,0,0.5,0,0,0,0,0.5,0
"51","ycdX",0,1,0,0,0,0,0,0,0,0
"52","bfd",0,1,0,0,0,0,0,0,0,0
"53","nrdD",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"54","recC",1,0,0,1,0,0,0,0,0,0
"55","dadA",0,1,0,0,0,0,0,0,0,0
"56","yaeP",0,1,0,0,0,0,0,0,0,0
"57","sanA",0,1,0,0,0,0,0,0,0,0
"58","mutM",1,0,0,0,0,0,0,0,0,1
"59","yiaD",0,1,0,0,0,0,0,0,0,0
"60","yfcZ",1,0,0,0,0,0,1,0,0,0
"61","dld",0,1,0,0,0,0,0,0,0,0
"62","glpK",1,0,0,0.5,0,0,0,0,0.5,0
"63","yjjP",0,1,0,0,0,0,0,0,0,0
"64","nrdH",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"65","selA",0,1,0,0,0,0,0,0,0,0
"66","cdsA",0,1,0,0,0,0,0,0,0,0
"67","putP",1,0,0,0,0,0,0.25,0,0.75,0
"68","dmsB",1,0,0.25,0.0833333333333333,0.0833333333333333,0,0.166666666666667,0,0.25,0.166666666666667
"69","hypC",1,0,0,0.6,0,0.2,0,0.2,0,0
"70","ais",0,1,0,0,0,0,0,0,0,0
"71","torD",1,0,0,0.5,0,0,0,0,0.5,0
"72","glnD",1,0,0,0.333333333333333,0,0.166666666666667,0,0.333333333333333,0.166666666666667,0
"73","yjjW",0,1,0,0,0,0,0,0,0,0
"74","fepB",1,0,0,0,0,0,0,0,1,0
"75","ydgJ",0,1,0,0,0,0,0,0,0,0
"76","slp",1,0,0,0.476190476190476,0,0.19047619047619,0.0476190476190476,0,0.238095238095238,0.0476190476190476
"77","smg",0,1,0,0,0,0,0,0,0,0
"78","potI",1,0,0,1,0,0,0,0,0,0
"79","entA",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"80","ydhV",1,0,0,0,1,0,0,0,0,0
"81","phoA",1,0,0,1,0,0,0,0,0,0
"82","yqiA",0,1,0,0,0,0,0,0,0,0
"83","nanE",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0
"84","nrfB",1,0,0,0.75,0,0,0,0,0.25,0
"85","fis",1,0,0,0.222222222222222,0,0.444444444444444,0,0.222222222222222,0.111111111111111,0
"86","yhdH",0,1,0,0,0,0,0,0,0,0
"87","dadX",1,0,0,0,0,0,0,0,1,0
