"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1","cfa",1,0,0.375,0.375,0,0,0.125,0,0.125,0,0,0,0
"2","yeaQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"3","ompC",1,0,0.0232558139534884,0.302325581395349,0.255813953488372,0,0.13953488372093,0.116279069767442,0,0,0.0465116279069767,0.116279069767442,0
"4","arnB",0,1,0,0,0,0,0,0,0,0,0,0,0
"5","arnC",0,1,0,0,0,0,0,0,0,0,0,0,0
"6","slp",1,0,0.263157894736842,0.315789473684211,0.0350877192982456,0.12280701754386,0.105263157894737,0,0.0350877192982456,0.0350877192982456,0.087719298245614,0,0
"7","hdeB",1,0,0.176470588235294,0.352941176470588,0.137254901960784,0.0392156862745098,0.0588235294117647,0.0392156862745098,0.0392156862745098,0.0588235294117647,0.0784313725490196,0.0196078431372549,0
"8","hdeD",1,0,0.268292682926829,0.317073170731707,0.024390243902439,0.146341463414634,0,0,0.0975609756097561,0.024390243902439,0.0975609756097561,0.024390243902439,0
"9","osmY",1,0,0,0.136363636363636,0.363636363636364,0,0.0909090909090909,0.181818181818182,0.0227272727272727,0.0909090909090909,0,0.113636363636364,0
"10","cbpA",1,0,0,0.375,0.125,0,0.125,0,0.125,0.25,0,0,0
"11","hdeA",1,0,0.176470588235294,0.352941176470588,0.137254901960784,0.0392156862745098,0.0588235294117647,0.0392156862745098,0.0392156862745098,0.0588235294117647,0.0784313725490196,0.0196078431372549,0
"12","yahO",0,1,0,0,0,0,0,0,0,0,0,0,0
"13","yccJ",1,0,0.25,0,0,0.25,0,0,0.5,0,0,0,0
"14","asr",1,0,0.142857142857143,0.428571428571429,0,0,0,0,0.285714285714286,0.142857142857143,0,0,0
"15","ydiZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"16","yebV",0,1,0,0,0,0,0,0,0,0,0,0,0
"17","yhiM",1,0,0.217391304347826,0.347826086956522,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.0434782608695652,0.0434782608695652,0.130434782608696,0,0,0
"18","wrbA",1,0,0.2,0,0,0.4,0,0,0.4,0,0,0,0
"19","ghxQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"20","wzzE",0,1,0,0,0,0,0,0,0,0,0,0,0
"21","glsA",1,0,0.166666666666667,0.5,0,0.166666666666667,0,0,0.166666666666667,0,0,0,0
"22","ycaC",1,0,0,0,0,0,0,1,0,0,0,0,0
"23","gadB",1,0,0.160919540229885,0.32183908045977,0.114942528735632,0.103448275862069,0.0804597701149425,0.0229885057471264,0.0459770114942529,0.0459770114942529,0.0574712643678161,0.0459770114942529,0
"24","gadA",1,0,0.178571428571429,0.321428571428571,0.142857142857143,0.107142857142857,0.0714285714285714,0,0.0714285714285714,0.0714285714285714,0.0178571428571429,0.0178571428571429,0
"25","gadE",1,0,0.392857142857143,0.261904761904762,0.0357142857142857,0.154761904761905,0.0119047619047619,0,0.0595238095238095,0.0119047619047619,0.0595238095238095,0.0119047619047619,0
"26","gadX",1,0,0.140350877192982,0.385964912280702,0.210526315789474,0.0350877192982456,0.0701754385964912,0.0175438596491228,0.0701754385964912,0.0526315789473684,0,0.0175438596491228,0
"27","yiaG",1,0,0,0.5,0,0,0,0,0,0.5,0,0,0
"28","dps",1,0,0.176470588235294,0.294117647058824,0.0882352941176471,0.0882352941176471,0.0882352941176471,0,0.117647058823529,0.0588235294117647,0.0882352941176471,0,0
"29","ybaT",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0
"30","gadW",1,0,0.359375,0.328125,0.046875,0.0625,0.046875,0,0.125,0.03125,0,0,0
