"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1","aceK",0,1,0,0,0,0,0,0,0
"2","acnA",0,1,0,0,0,0,0,0,0
"3","add",0,1,0,0,0,0,0,0,0
"4","ahpF",0,1,0,0,0,0,0,0,0
"5","alaT",0,1,0,0,0,0,0,0,0
"6","alaU",0,1,0,0,0,0,0,0,0
"7","aroA",0,1,0,0,0,0,0,0,0
"8","aroH",0,1,0,0,0,0,0,0,0
"9","aroP",0,1,0,0,0,0,0,0,0
"10","bcsE",0,1,0,0,0,0,0,0,0
"11","cyaA",0,1,0,0,0,0,0,0,0
"12","cyoB",0,1,0,0,0,0,0,0,0
"13","dadA",0,1,0,0,0,0,0,0,0
"14","dadX",0,1,0,0,0,0,0,0,0
"15","acrR",1,0,1,0,0,0,0,1,0
"16","alx",0,1,0,0,0,0,0,0,0
"17","atpH",0,1,0,0,0,0,0,0,0
"18","bax",0,1,0,0,0,0,0,0,0
"19","bioB",0,1,0,0,0,0,0,0,0
"20","borD",0,1,0,0,0,0,0,0,0
"21","btuB",0,1,0,0,0,0,0,0,0
"22","cirA",0,1,0,0,0,0,0,0,0
"23","cpxA",0,1,0,0,0,0,0,0,0
"24","cpxR",1,0,0.486486486486486,0.513513513513513,0,0.0675675675675676,0.148648648648649,0.783783783783783,0
"25","dcuR",0,1,0,0,0,0,0,0,0
"26","artM",0,1,0,0,0,0,0,0,0
"27","asnA",0,1,0,0,0,0,0,0,0
"28","aspA",0,1,0,0,0,0,0,0,0
"29","atpA",0,1,0,0,0,0,0,0,0
"30","atpB",0,1,0,0,0,0,0,0,0
"31","atpC",0,1,0,0,0,0,0,0,0
"32","atpD",0,1,0,0,0,0,0,0,0
"33","atpE",0,1,0,0,0,0,0,0,0
"34","atpF",0,1,0,0,0,0,0,0,0
"35","atpG",0,1,0,0,0,0,0,0,0
"36","atpI",0,1,0,0,0,0,0,0,0
"37","aer",0,1,0,0,0,0,0,0,0
"38","cca",0,1,0,0,0,0,0,0,0
"39","cdd",0,1,0,0,0,0,0,0,0
"40","cheA",0,1,0,0,0,0,0,0,0
"41","cheB",0,1,0,0,0,0,0,0,0
"42","cheR",0,1,0,0,0,0,0,0,0
"43","cheW",0,1,0,0,0,0,0,0,0
"44","cheY",0,1,0,0,0,0,0,0,0
"45","cheZ",0,1,0,0,0,0,0,0,0
"46","clpB",0,1,0,0,0,0,0,0,0
"47","clpX",0,1,0,0,0,0,0,0,0
"48","deoA",0,1,0,0,0,0,0,0,0
"49","deoB",0,1,0,0,0,0,0,0,0
"50","deoC",0,1,0,0,0,0,0,0,0
"51","deoD",0,1,0,0,0,0,0,0,0
"52","dapB",0,1,0,0,0,0,0,0,0
"53","dcyD",0,1,0,0,0,0,0,0,0
"54","dhaM",0,1,0,0,0,0,0,0,0
"55","dhaK",0,1,0,0,0,0,0,0,0
"56","edd",0,1,0,0,0,0,0,0,0
"57","eno",0,1,0,0,0,0,0,0,0
"58","fdoG",0,1,0,0,0,0,0,0,0
"59","fimA",0,1,0,0,0,0,0,0,0
"60","fimC",0,1,0,0,0,0,0,0,0
"61","fimI",0,1,0,0,0,0,0,0,0
"62","flgH",0,1,0,0,0,0,0,0,0
"63","flhA",0,1,0,0,0,0,0,0,0
"64","flhE",0,1,0,0,0,0,0,0,0
"65","fliP",0,1,0,0,0,0,0,0,0
"66","fliQ",0,1,0,0,0,0,0,0,0
"67","fliR",0,1,0,0,0,0,0,0,0
"68","fumA",0,1,0,0,0,0,0,0,0
"69","gapC",0,1,0,0,0,0,0,0,0
"70","dcuS",0,1,0,0,0,0,0,0,0
"71","dppC",0,1,0,0,0,0,0,0,0
"72","dusA",0,1,0,0,0,0,0,0,0
"73","eco",0,1,0,0,0,0,0,0,0
"74","fdhD",0,1,0,0,0,0,0,0,0
"75","fhuD",0,1,0,0,0,0,0,0,0
"76","folP",0,1,0,0,0,0,0,0,0
"77","frdA",0,1,0,0,0,0,0,0,0
"78","frdC",0,1,0,0,0,0,0,0,0
"79","ftnB",0,1,0,0,0,0,0,0,0
"80","fucI",0,1,0,0,0,0,0,0,0
"81","gcvH",0,1,0,0,0,0,0,0,0
"82","carA",0,1,0,0,0,0,0,0,0
"83","coaA",0,1,0,0,0,0,0,0,0
"84","codB",0,1,0,0,0,0,0,0,0
"85","cspD",0,1,0,0,0,0,0,0,0
"86","cvpA",0,1,0,0,0,0,0,0,0
"87","cydA",0,1,0,0,0,0,0,0,0
"88","cydB",0,1,0,0,0,0,0,0,0
"89","cydC",0,1,0,0,0,0,0,0,0
"90","cydD",0,1,0,0,0,0,0,0,0
"91","dnaJ",0,1,0,0,0,0,0,0,0
"92","dnaK",0,1,0,0,0,0,0,0,0
"93","dsbC",0,1,0,0,0,0,0,0,0
"94","fdoH",0,1,0,0,0,0,0,0,0
"95","flgB",0,1,0,0,0,0,0,0,0
"96","flgC",0,1,0,0,0,0,0,0,0
"97","flgD",0,1,0,0,0,0,0,0,0
"98","flgE",0,1,0,0,0,0,0,0,0
"99","flgF",0,1,0,0,0,0,0,0,0
"100","flgG",0,1,0,0,0,0,0,0,0
"101","flgI",0,1,0,0,0,0,0,0,0
"102","flgJ",0,1,0,0,0,0,0,0,0
"103","flgK",0,1,0,0,0,0,0,0,0
"104","flgL",0,1,0,0,0,0,0,0,0
"105","gatA",0,1,0,0,0,0,0,0,0
"106","gatB",0,1,0,0,0,0,0,0,0
"107","gatC",0,1,0,0,0,0,0,0,0
"108","gatD",0,1,0,0,0,0,0,0,0
"109","gatZ",0,1,0,0,0,0,0,0,0
"110","glcC",0,1,0,0,0,0,0,0,0
"111","gltA",0,1,0,0,0,0,0,0,0
"112","gltB",0,1,0,0,0,0,0,0,0
"113","gltD",0,1,0,0,0,0,0,0,0
"114","gpmA",0,1,0,0,0,0,0,0,0
"115","grxA",0,1,0,0,0,0,0,0,0
"116","gshA",0,1,0,0,0,0,0,0,0
"117","gshB",0,1,0,0,0,0,0,0,0
"118","hemB",0,1,0,0,0,0,0,0,0
"119","hsdR",0,1,0,0,0,0,0,0,0
"120","hsdS",0,1,0,0,0,0,0,0,0
"121","hslJ",0,1,0,0,0,0,0,0,0
"122","iap",0,1,0,0,0,0,0,0,0
"123","idi",0,1,0,0,0,0,0,0,0
"124","ispF",0,1,0,0,0,0,0,0,0
"125","kgtP",0,1,0,0,0,0,0,0,0
"126","lipA",0,1,0,0,0,0,0,0,0
"127","lldD",0,1,0,0,0,0,0,0,0
"128","lpxD",0,1,0,0,0,0,0,0,0
"129","lysC",0,1,0,0,0,0,0,0,0
"130","map",0,1,0,0,0,0,0,0,0
"131","marB",0,1,0,0,0,0,0,0,0
"132","marR",1,0,1,0,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0
"133","mdaB",0,1,0,0,0,0,0,0,0
"134","mdtG",0,1,0,0,0,0,0,0,0
"135","menF",0,1,0,0,0,0,0,0,0
"136","metN",0,1,0,0,0,0,0,0,0
"137","mltC",0,1,0,0,0,0,0,0,0
"138","mqo",0,1,0,0,0,0,0,0,0
"139","murE",0,1,0,0,0,0,0,0,0
"140","murF",0,1,0,0,0,0,0,0,0
"141","nfsA",0,1,0,0,0,0,0,0,0
"142","nuoC",0,1,0,0,0,0,0,0,0
"143","nuoN",0,1,0,0,0,0,0,0,0
"144","pdhR",0,1,0,0,0,0,0,0,0
"145","pdxY",0,1,0,0,0,0,0,0,0
"146","proP",0,1,0,0,0,0,0,0,0
"147","rbsA",0,1,0,0,0,0,0,0,0
"148","rbsC",0,1,0,0,0,0,0,0,0
"149","rcsA",1,0,1,0,0,0,0.5,0.5,0
"150","rimI",0,1,0,0,0,0,0,0,0
"151","rpoE",1,0,0,1,0.00966183574879227,0.0579710144927536,0.202898550724637,0.729468599033818,0
"152","rseA",0,1,0,0,0,0,0,0,0
"153","rseB",0,1,0,0,0,0,0,0,0
"154","sdhA",0,1,0,0,0,0,0,0,0
"155","sdhB",0,1,0,0,0,0,0,0,0
"156","serV",0,1,0,0,0,0,0,0,0
"157","gcvT",0,1,0,0,0,0,0,0,0
"158","glgS",0,1,0,0,0,0,0,0,0
"159","glpA",0,1,0,0,0,0,0,0,0
"160","hflC",0,1,0,0,0,0,0,0,0
"161","hflK",0,1,0,0,0,0,0,0,0
"162","hflX",0,1,0,0,0,0,0,0,0
"163","htpX",0,1,0,0,0,0,0,0,0
"164","ilvB",0,1,0,0,0,0,0,0,0
"165","ilvG",0,1,0,0,0,0,0,0,0
"166","ilvN",0,1,0,0,0,0,0,0,0
"167","ivbL",0,1,0,0,0,0,0,0,0
"168","katG",0,1,0,0,0,0,0,0,0
"169","maa",0,1,0,0,0,0,0,0,0
"170","manX",0,1,0,0,0,0,0,0,0
"171","mhpC",0,1,0,0,0,0,0,0,0
"172","miaA",0,1,0,0,0,0,0,0,0
"173","mutL",0,1,0,0,0,0,0,0,0
"174","nadA",0,1,0,0,0,0,0,0,0
"175","nmpC",0,1,0,0,0,0,0,0,0
"176","nrdD",0,1,0,0,0,0,0,0,0
"177","nrdG",0,1,0,0,0,0,0,0,0
"178","rppH",0,1,0,0,0,0,0,0,0
"179","yjdM",0,1,0,0,0,0,0,0,0
"180","pitA",0,1,0,0,0,0,0,0,0
"181","pntA",0,1,0,0,0,0,0,0,0
"182","ppiA",0,1,0,0,0,0,0,0,0
"183","pppA",0,1,0,0,0,0,0,0,0
"184","proV",0,1,0,0,0,0,0,0,0
"185","purD",0,1,0,0,0,0,0,0,0
"186","purL",0,1,0,0,0,0,0,0,0
"187","purN",0,1,0,0,0,0,0,0,0
"188","putA",0,1,0,0,0,0,0,0,0
"189","recR",0,1,0,0,0,0,0,0,0
"190","rpoH",1,0,0,1,0.00543478260869565,0.0380434782608696,0.190217391304348,0.766304347826089,0
"191","rzpD",0,1,0,0,0,0,0,0,0
"192","sdaB",0,1,0,0,0,0,0,0,0
"193","sdaC",0,1,0,0,0,0,0,0,0
"194","secD",0,1,0,0,0,0,0,0,0
"195","dedA",0,1,0,0,0,0,0,0,0
"196","dinI",0,1,0,0,0,0,0,0,0
"197","dinJ",1,0,1,0,1,0,0,0,0
"198","eptB",0,1,0,0,0,0,0,0,0
"199","fadL",0,1,0,0,0,0,0,0,0
"200","folD",0,1,0,0,0,0,0,0,0
"201","fucR",0,1,0,0,0,0,0,0,0
"202","glmU",0,1,0,0,0,0,0,0,0
"203","glpB",0,1,0,0,0,0,0,0,0
"204","glpC",0,1,0,0,0,0,0,0,0
"205","flgM",0,1,0,0,0,0,0,0,0
"206","flgN",0,1,0,0,0,0,0,0,0
"207","fliA",1,0,0,1,0,0.375,0.125,0.5,0
"208","fliC",0,1,0,0,0,0,0,0,0
"209","fliD",0,1,0,0,0,0,0,0,0
"210","fliE",0,1,0,0,0,0,0,0,0
"211","fliF",0,1,0,0,0,0,0,0,0
"212","fliG",0,1,0,0,0,0,0,0,0
"213","fliH",0,1,0,0,0,0,0,0,0
"214","fliI",0,1,0,0,0,0,0,0,0
"215","fliJ",0,1,0,0,0,0,0,0,0
"216","fliK",0,1,0,0,0,0,0,0,0
"217","fliL",0,1,0,0,0,0,0,0,0
"218","fliM",0,1,0,0,0,0,0,0,0
"219","fliN",0,1,0,0,0,0,0,0,0
"220","fliO",0,1,0,0,0,0,0,0,0
"221","glpX",0,1,0,0,0,0,0,0,0
"222","glyA",0,1,0,0,0,0,0,0,0
"223","hisF",0,1,0,0,0,0,0,0,0
"224","hisH",0,1,0,0,0,0,0,0,0
"225","hisI",0,1,0,0,0,0,0,0,0
"226","hisJ",0,1,0,0,0,0,0,0,0
"227","ispE",0,1,0,0,0,0,0,0,0
"228","malT",0,1,0,0,0,0,0,0,0
"229","fliS",0,1,0,0,0,0,0,0,0
"230","fliT",0,1,0,0,0,0,0,0,0
"231","fliZ",1,0,1,0,0.107142857142857,0.142857142857143,0.178571428571429,0.571428571428571,0
"232","galM",0,1,0,0,0,0,0,0,0
"233","gdhA",0,1,0,0,0,0,0,0,0
"234","yhgH",0,1,0,0,0,0,0,0,0
"235","groL",0,1,0,0,0,0,0,0,0
"236","groS",0,1,0,0,0,0,0,0,0
