"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1","NP_X"
"1","cfa",1,0,0,0,0,0,0,0,0,0,1
"2","yeaQ",0,1,0,0,0,0,0,0,0,0,0
"3","ompC",1,0,0,0,0,0,0,0,0,0,1
"4","slp",1,0,0,0,0,0,0,0,0,0,1
"5","hdeB",1,0,0,0,0,0,0,0,0,0,1
"6","hdeD",1,0,0,0,0,0,0,0,0,0,1
"7","osmY",1,0,0,0,0,0,0,0,0,0,1
"8","cbpA",1,0,0,0,0,0,0,0,0,0,1
"9","hdeA",1,0,0,0,0,0,0,0,0,0,1
"10","yahO",0,1,0,0,0,0,0,0,0,0,0
"11","yccJ",1,0,0,0,0,0,0,0,0,0,1
"12","asr",1,0,0,0,0,0,0,0,0,0,1
"13","ydiZ",0,1,0,0,0,0,0,0,0,0,0
"14","yebV",0,1,0,0,0,0,0,0,0,0,0
"15","yhiM",1,0,0,0,0,0,0,0,0,0,1
"16","wrbA",1,0,0,0,0,0,0,0,0,0,1
"17","ycaC",1,0,0,0,0,0,0,0,0,0,1
"18","gadB",1,0,0,0,0,0,0,0,0,0,0.999999999999999
"19","gadA",1,0,0,0,0,0,0,0,0,0,1
"20","yiaG",0,1,0,0,0,0,0,0,0,0,0
"21","dps",1,0,0,0,0,0,0,0,0,0,1
"22","ybaT",1,0,0,0,0,0,0,0,0,0,1
