"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1","NP_X"
"1","cfa",1,0,0,0,0,0,0,0,0,0,1
"2","yeaQ",0,1,0,0,0,0,0,0,0,0,0
"3","ompC",1,0,0,0,0,0.166666666666667,0.25,0,0,0,0.583333333333333
"4","slp",1,0,0,0.0952380952380952,0,0,0,0,0.0476190476190476,0.0476190476190476,0.80952380952381
"5","hdeB",1,0,0,0.111111111111111,0,0,0,0,0,0,0.888888888888889
"6","hdeD",1,0,0,0,0,0.05,0,0,0,0,0.95
"7","osmY",1,0,0.1,0,0,0,0.2,0,0,0,0.7
"8","cbpA",1,0,0,0,0,0,0,0,0,0,1
"9","hdeA",1,0,0,0.111111111111111,0,0,0,0,0,0,0.888888888888889
"10","yahO",0,1,0,0,0,0,0,0,0,0,0
"11","yccJ",1,0,0,0,0,0,0,0,0,0,1
"12","asr",1,0,0,0,0,0,0,0,0,0,1
"13","ydiZ",0,1,0,0,0,0,0,0,0,0,0
"14","yebV",0,1,0,0,0,0,0,0,0,0,0
"15","yhiM",1,0,0,0,0,0,0,0,0,0,1
"16","wrbA",1,0,0,0,0,0,0,0,0,0,1
"17","ycaC",1,0,0,0,0,0,0,0,0,0,1
"18","gadB",1,0,0,0.0909090909090909,0,0,0,0,0,0,0.909090909090909
"19","gadA",1,0,0,0.0344827586206897,0,0,0,0,0,0,0.96551724137931
"20","yiaG",0,1,0,0,0,0,0,0,0,0,0
"21","dps",1,0,0,0,0,0,0,0.142857142857143,0.142857142857143,0,0.714285714285714
"22","ybaT",1,0,0,0,0,0,0,0,0,0,1
