"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1","cfa",1,0,0.25,0,0,0.125,0,0,0.625,0,0,0,0
"2","yeaQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"3","ompC",1,0,0.348837209302325,0.0697674418604651,0,0.13953488372093,0,0,0.372093023255814,0,0.0697674418604651,0,0
"4","slp",1,0,0.368421052631579,0.0350877192982456,0,0.105263157894737,0.0350877192982456,0,0.368421052631579,0.0701754385964912,0.0175438596491228,0,0
"5","hdeB",1,0,0.431372549019608,0,0,0.117647058823529,0,0,0.450980392156863,0,0,0,0
"6","hdeD",1,0,0.414634146341464,0,0,0.121951219512195,0,0,0.463414634146342,0,0,0,0
"7","osmY",1,0,0.25,0.25,0.0227272727272727,0.0681818181818182,0.0454545454545455,0.0227272727272727,0.0227272727272727,0.181818181818182,0.0454545454545455,0.0909090909090909,0
"8","cbpA",1,0,0,0,0.125,0,0.125,0.125,0.125,0.375,0,0.125,0
"9","hdeA",1,0,0.176470588235294,0.215686274509804,0.0392156862745098,0.0588235294117647,0.0588235294117647,0,0.176470588235294,0.117647058823529,0.0980392156862745,0.0588235294117647,0
"10","yahO",0,1,0,0,0,0,0,0,0,0,0,0,0
"11","yccJ",1,0,0,0,0,0,0,0.25,0,0,0,0.75,0
"12","asr",1,0,0.142857142857143,0,0,0.142857142857143,0,0,0.714285714285714,0,0,0,0
"13","ydiZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"14","yebV",0,1,0,0,0,0,0,0,0,0,0,0,0
"15","yhiM",1,0,0.434782608695652,0,0,0.0869565217391304,0,0,0.478260869565217,0,0,0,0
"16","wrbA",1,0,0.2,0,0,0.2,0,0,0.6,0,0,0,0
"17","ycaC",1,0,0,1,0,0,0,0,0,0,0,0,0
"18","gadB",1,0,0.586206896551724,0.0344827586206897,0,0.0344827586206897,0.0229885057471264,0,0.206896551724138,0.103448275862069,0.0114942528735632,0,0
"19","gadA",1,0,0.303571428571428,0.25,0.0178571428571429,0.0178571428571429,0.0357142857142857,0,0.160714285714286,0.125,0.0714285714285714,0.0178571428571429,0
"20","yiaG",1,0,0,0,0,0,0,0,1,0,0,0,0
"21","dps",1,0,0.0882352941176471,0.117647058823529,0.0294117647058824,0.0294117647058824,0.117647058823529,0.0294117647058824,0.147058823529412,0.176470588235294,0.147058823529412,0.117647058823529,0
"22","ybaT",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0
"23","aceK",1,0,0.5,0.25,0,0,0,0,0.25,0,0,0,0
"24","acnA",1,0,0.230769230769231,0.153846153846154,0,0.0384615384615385,0.115384615384615,0.0384615384615385,0.192307692307692,0.0769230769230769,0.0769230769230769,0.0769230769230769,0
"25","add",0,1,0,0,0,0,0,0,0,0,0,0,0
"26","ahpF",1,0,0,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0,0.333333333333333,0,0.166666666666667,0
"27","alaT",1,0,0.2,0.2,0.1,0,0,0,0.3,0,0.2,0,0
"28","alaU",1,0,0.142857142857143,0.285714285714286,0,0,0,0,0.142857142857143,0.142857142857143,0.285714285714286,0,0
"29","aroA",0,1,0,0,0,0,0,0,0,0,0,0,0
"30","aroH",0,1,0,0,0,0,0,0,0,0,0,0,0
"31","aroP",1,0,0.166666666666667,0.5,0.0833333333333333,0,0,0,0.166666666666667,0,0.0833333333333333,0,0
"32","bcsE",0,1,0,0,0,0,0,0,0,0,0,0,0
"33","cyaA",0,1,0,0,0,0,0,0,0,0,0,0,0
"34","cyoB",1,0,0.24390243902439,0.487804878048781,0.0975609756097561,0,0,0,0.0487804878048781,0.0487804878048781,0.0731707317073171,0,0
"35","dadA",0,1,0,0,0,0,0,0,0,0,0,0,0
"36","dadX",0,1,0,0,0,0,0,0,0,0,0,0,0
"37","acrR",0,1,0,0,0,0,0,0,0,0,0,0,0
"38","atpH",0,1,0,0,0,0,0,0,0,0,0,0,0
"39","bax",0,1,0,0,0,0,0,0,0,0,0,0,0
"40","bioB",0,1,0,0,0,0,0,0,0,0,0,0,0
"41","borD",1,0,1,0,0,0,0,0,0,0,0,0,0
"42","btuB",0,1,0,0,0,0,0,0,0,0,0,0,0
"43","cirA",1,0,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0,0.222222222222222,0,0.444444444444444,0,0
"44","cpxA",1,0,0,0.5,0,0,0,0,0.333333333333333,0,0.166666666666667,0,0
"45","cpxR",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0
"46","dcuR",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"47","artM",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0
"48","asnA",1,0,0,0.25,0,0,0,0,0,0.5,0,0.25,0
"49","aspA",1,0,0.428571428571429,0.571428571428571,0,0,0,0,0,0,0,0,0
"50","atpA",0,1,0,0,0,0,0,0,0,0,0,0,0
"51","atpB",0,1,0,0,0,0,0,0,0,0,0,0,0
"52","atpC",0,1,0,0,0,0,0,0,0,0,0,0,0
"53","atpD",0,1,0,0,0,0,0,0,0,0,0,0,0
"54","atpE",0,1,0,0,0,0,0,0,0,0,0,0,0
"55","atpF",0,1,0,0,0,0,0,0,0,0,0,0,0
"56","atpG",0,1,0,0,0,0,0,0,0,0,0,0,0
"57","atpI",0,1,0,0,0,0,0,0,0,0,0,0,0
"58","aer",1,0,0.3,0.2,0,0,0.1,0,0,0.4,0,0,0
"59","cca",0,1,0,0,0,0,0,0,0,0,0,0,0
"60","cdd",0,1,0,0,0,0,0,0,0,0,0,0,0
"61","cheA",1,0,0,0,0,0,0,0,0,1,0,0,0
"62","cheB",1,0,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0
"63","cheR",1,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0,0
"64","cheW",1,0,0,0,0,0,0,0,1,0,0,0,0
"65","cheY",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0
"66","cheZ",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0
"67","clpB",1,0,1,0,0,0,0,0,0,0,0,0,0
"68","clpX",1,0,0.25,0,0,0.25,0,0,0.5,0,0,0,0
"69","deoA",1,0,0,0,0,0,0,0,0,0.5,0.5,0,0
"70","deoB",1,0,0.25,0,0,0,0,0,0.25,0.5,0,0,0
"71","deoC",1,0,0,0,0,0,0,0,0.5,0.5,0,0,0
"72","deoD",1,0,0,0,0,0,0,0,0,0.5,0,0.5,0
"73","dapB",0,1,0,0,0,0,0,0,0,0,0,0,0
"74","dcyD",0,1,0,0,0,0,0,0,0,0,0,0,0
"75","edd",1,0,1,0,0,0,0,0,0,0,0,0,0
"76","eno",1,0,0,0,0.25,0,0,0,0,0.25,0.25,0.25,0
"77","fdoG",1,0,0,0.5,0,0,0,0,0,0,0.5,0,0
"78","fimA",1,0,0,0.166666666666667,0.25,0,0.166666666666667,0,0,0.0833333333333333,0,0.333333333333333,0
"79","fimC",1,0,0.25,0.166666666666667,0,0,0.166666666666667,0,0.333333333333333,0,0.0833333333333333,0,0
"80","fimI",1,0,0.416666666666667,0,0,0.166666666666667,0,0,0.416666666666667,0,0,0,0
"81","flgH",1,0,0,0.363636363636364,0,0,0.181818181818182,0,0,0.272727272727273,0.181818181818182,0,0
"82","flhA",1,0,0,0.363636363636364,0,0,0.181818181818182,0,0,0.181818181818182,0.272727272727273,0,0
"83","flhE",1,0,0.363636363636364,0,0,0.181818181818182,0,0,0.454545454545455,0,0,0,0
"84","fliP",1,0,0.40625,0,0,0.15625,0,0,0.4375,0,0,0,0
"85","fliQ",1,0,0.40625,0,0,0.15625,0,0,0.4375,0,0,0,0
"86","fliR",1,0,0.09375,0.3125,0,0,0.15625,0,0.0625,0.21875,0.15625,0,0
"87","fumA",1,0,0.636363636363636,0,0,0,0,0,0.363636363636364,0,0,0,0
"88","gapC",0,1,0,0,0,0,0,0,0,0,0,0,0
"89","dcuS",1,0,1,0,0,0,0,0,0,0,0,0,0
"90","dppC",1,0,0.2,0.3,0,0,0,0,0,0.4,0,0.1,0
"91","dusA",0,1,0,0,0,0,0,0,0,0,0,0,0
"92","eco",0,1,0,0,0,0,0,0,0,0,0,0,0
"93","fdhD",0,1,0,0,0,0,0,0,0,0,0,0,0
"94","fhuD",0,1,0,0,0,0,0,0,0,0,0,0,0
"95","folP",0,1,0,0,0,0,0,0,0,0,0,0,0
"96","frdA",1,0,0.3125,0.25,0,0,0,0,0.25,0,0.1875,0,0
"97","frdC",1,0,0,0.454545454545455,0.0909090909090909,0,0,0,0.272727272727273,0,0.181818181818182,0,0
"98","ftnB",1,0,0.4,0,0,0,0,0,0.6,0,0,0,0
"99","fucI",1,0,0.4,0.2,0,0,0,0,0.2,0,0.2,0,0
"100","gcvH",1,0,0.857142857142857,0,0,0,0,0,0.142857142857143,0,0,0,0
