"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1"
"1","cfa",1,0,0.5,0.5,0,0,0,0,0,0
"2","yeaQ",0,1,0,0,0,0,0,0,0,0
"3","ompC",1,0,0.625,0.375,0,0,0,0,0,0
"4","slp",1,0,1,0,0,0,0,0,0,0
"5","hdeB",1,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0
"6","hdeD",1,0,0,0,0,0,0,0,0,0
"7","osmY",1,0,1,0,0,0,0,0,0,0
"8","cbpA",1,0,0.5,0.5,0,0,0,0,0,0
"9","hdeA",1,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0
"10","yahO",0,1,0,0,0,0,0,0,0,0
"11","yccJ",1,0,0,1,0,0,0,0,0,0
"12","asr",1,0,0.2,0.8,0,0,0,0,0,0
"13","ydiZ",0,1,0,0,0,0,0,0,0,0
"14","yebV",0,1,0,0,0,0,0,0,0,0
"15","yhiM",1,0,0.5,0.5,0,0,0,0,0,0
"16","wrbA",1,0,0,1,0,0,0,0,0,0
"17","ycaC",1,0,0.5,0.5,0,0,0,0,0,0
"18","gadB",1,0,0.5,0.5,0,0,0,0,0,0
"19","gadA",1,0,0,0,0,0,0,0,0,0
"20","yiaG",1,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0
"21","dps",1,0,0.75,0.25,0,0,0,0,0,0
"22","ybaT",1,0,0,0,0,0,0,0,0,0
"23","cfa",1,0,0.5,0.5,0,0,0,0,0,0
"24","yeaQ",0,1,0,0,0,0,0,0,0,0
"25","ompC",1,0,0.625,0.375,0,0,0,0,0,0
"26","slp",1,0,1,0,0,0,0,0,0,0
"27","hdeB",1,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0
"28","hdeD",1,0,0,0,0,0,0,0,0,0
"29","osmY",1,0,1,0,0,0,0,0,0,0
"30","cbpA",1,0,0.5,0.5,0,0,0,0,0,0
"31","hdeA",1,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0
"32","yahO",0,1,0,0,0,0,0,0,0,0
"33","yccJ",1,0,0,1,0,0,0,0,0,0
"34","asr",1,0,0.2,0.8,0,0,0,0,0,0
"35","ydiZ",0,1,0,0,0,0,0,0,0,0
"36","yebV",0,1,0,0,0,0,0,0,0,0
"37","yhiM",1,0,0.5,0.5,0,0,0,0,0,0
"38","wrbA",1,0,0,1,0,0,0,0,0,0
"39","ycaC",1,0,0.5,0.5,0,0,0,0,0,0
"40","gadB",1,0,0.5,0.5,0,0,0,0,0,0
"41","gadA",1,0,0,0,0,0,0,0,0,0
"42","yiaG",1,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0
"43","dps",1,0,0.75,0.25,0,0,0,0,0,0
"44","ybaT",1,0,0,0,0,0,0,0,0,0
"45","yhiM",1,0,0.5,0.5,0,0,0,0,0,0
"46","slp",1,0,1,0,0,0,0,0,0,0
"47","gadA",1,0,0,0,0,0,0,0,0,0
