"","Coherent","Incoherent","No_loop","Loop"
"1",0.242424242424242,0.757575757575757,0,1
"2",0,0,1,0
"3",0.1,0.9,0,1
"4",0.299270072992701,0.700729927007299,0,1
"5",0.544827586206897,0.455172413793104,0,1
"6",0.72189349112426,0.27810650887574,0,1
"7",0,1,0,1
"8",0,1,0,1
"9",0.496551724137932,0.50344827586207,0,1
"10",0,0,1,0
"11",1,0,0,1
"12",0.827586206896551,0.172413793103448,0,1
"13",0,0,1,0
"14",0,0,1,0
"15",0.516129032258064,0.483870967741935,0,1
"16",1,0,0,1
"17",0,0,1,0
"18",0.387453874538746,0.612546125461254,0,1
"19",0.423728813559322,0.576271186440677,0,1
"20",0,0,1,0
"21",0.618181818181818,0.381818181818182,0,1
"22",1,0,0,1
