"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1","yjcH",0,1,0,0,0,0,0,0,0
"2","trpC",0,1,0,0,0,0,0,0,0
"3","cspB",0,1,0,0,0,0,0,0,0
"4","ygeY",0,1,0,0,0,0,0,0,0
"5","hyuA",0,1,0,0,0,0,0,0,0
"6","xdhD",0,1,0,0,0,0,0,0,0
"7","flu",0,1,0,0,0,0,0,0,0
"8","ygfM",0,1,0,0,0,0,0,0,0
"9","mokA",0,1,0,0,0,0,0,0,0
"10","ygeX",0,1,0,0,0,0,0,0,0
"11","cspB",0,1,0,0,0,0,0,0,0
"12","fimF",0,1,0,0,0,0,0,0,0
"13","ygaY",0,1,0,0,0,0,0,0,0
"14","ttcC",0,1,0,0,0,0,0,0,0
"15","pdeC",0,1,0,0,0,0,0,0,0
"16","ompF",0,1,0,0,0,0,0,0,0
"17","yceK",0,1,0,0,0,0,0,0,0
"18","uspG",0,1,0,0,0,0,0,0,0
"19","ymdF",0,1,0,0,0,0,0,0,0
"20","yncL",0,1,0,0,0,0,0,0,0
"21","cfa",0,1,0,0,0,0,0,0,0
"22","slp",0,1,0,0,0,0,0,0,0
"23","gadE",1,0,0,0.999999999999999,0.0289855072463768,0.0434782608695652,0.246376811594203,0.681159420289855,0
"24","dps",0,1,0,0,0,0,0,0,0
"25","fimA",0,1,0,0,0,0,0,0,0
"26","fimC",0,1,0,0,0,0,0,0,0
"27","fimI",0,1,0,0,0,0,0,0,0
"28","ilvB",0,1,0,0,0,0,0,0,0
"29","ilvN",0,1,0,0,0,0,0,0,0
"30","proV",0,1,0,0,0,0,0,0,0
"31","purM",0,1,0,0,0,0,0,0,0
"32","yqjD",0,1,0,0,0,0,0,0,0
"33","srlA",0,1,0,0,0,0,0,0,0
"34","srlB",0,1,0,0,0,0,0,0,0
"35","srlD",0,1,0,0,0,0,0,0,0
"36","srlE",0,1,0,0,0,0,0,0,0
"37","srlR",1,0,1,0,1,0,0,0,0
"38","tdcE",0,1,0,0,0,0,0,0,0
"39","purT",0,1,0,0,0,0,0,0,0
"40","acs",0,1,0,0,0,0,0,0,0
"41","aroG",0,1,0,0,0,0,0,0,0
"42","cspG",0,1,0,0,0,0,0,0,0
"43","pspA",0,1,0,0,0,0,0,0,0
"44","pspB",0,1,0,0,0,0,0,0,0
"45","soxS",1,0,0.0909090909090909,0.909090909090909,0.0454545454545455,0.136363636363636,0.181818181818182,0.636363636363636,0
"46","xanP",0,1,0,0,0,0,0,0,0
"47","cspI",0,1,0,0,0,0,0,0,0
"48","yqjE",0,1,0,0,0,0,0,0,0
"49","msyB",0,1,0,0,0,0,0,0,0
"50","cbpM",0,1,0,0,0,0,0,0,0
"51","ydfK",0,1,0,0,0,0,0,0,0
"52","ytjA",0,1,0,0,0,0,0,0,0
"53","ynfN",0,1,0,0,0,0,0,0,0
"54","purE",0,1,0,0,0,0,0,0,0
"55","ibpB",0,1,0,0,0,0,0,0,0
"56","puuA",0,1,0,0,0,0,0,0,0
"57","yegP",0,1,0,0,0,0,0,0,0
"58","yghA",0,1,0,0,0,0,0,0,0
"59","ssnA",0,1,0,0,0,0,0,0,0
"60","yqjK",0,1,0,0,0,0,0,0,0
