"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"1","yjcH",1,0,0.166666666666667,0.166666666666667,0,0.0833333333333333,0.166666666666667,0.0833333333333333,0.333333333333333,0,0
"2","trpC",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"3","cspB",0,1,0,0,0,0,0,0,0,0,0
"4","ygeY",0,1,0,0,0,0,0,0,0,0,0
"5","hyuA",0,1,0,0,0,0,0,0,0,0,0
"6","xdhD",0,1,0,0,0,0,0,0,0,0,0
"7","flu",1,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0,0
"8","ygfM",0,1,0,0,0,0,0,0,0,0,0
"9","mokA",0,1,0,0,0,0,0,0,0,0,0
"10","ygeX",0,1,0,0,0,0,0,0,0,0,0
"11","cspB",0,1,0,0,0,0,0,0,0,0,0
"12","fimF",1,0,0,0.5,0,0,0,0.5,0,0,0
"13","ygaY",0,1,0,0,0,0,0,0,0,0,0
"14","ttcC",0,1,0,0,0,0,0,0,0,0,0
"15","ompF",1,0,0,0.357142857142857,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.142857142857143,0.285714285714286,0,0
"16","puuA",1,0,0,0,0,0.25,0.5,0,0.25,0,0
"17","yceK",0,1,0,0,0,0,0,0,0,0,0
"18","uspG",0,1,0,0,0,0,0,0,0,0,0
"19","xanP",0,1,0,0,0,0,0,0,0,0,0
"20","ymdF",0,1,0,0,0,0,0,0,0,0,0
"21","cbpM",1,0,0,0.5,0,0,0,0,0.5,0,0
"22","yncL",0,1,0,0,0,0,0,0,0,0,0
"23","cfa",1,0,0,0.8,0,0,0,0,0.2,0,0
"24","slp",1,0,0,0.476190476190476,0,0.19047619047619,0.0476190476190476,0,0.238095238095238,0.0476190476190476,0
"25","dps",1,0,0.0714285714285714,0.428571428571428,0,0,0,0.142857142857143,0.357142857142857,0,0
"26","fimA",1,0,0,0.5,0,0,0,0.5,0,0,0
"27","fimC",1,0,0,0.5,0,0,0,0.5,0,0,0
"28","fimI",1,0,0,0.5,0,0,0,0.5,0,0,0
"29","ilvB",1,0,0,0.5,0,0,0,0,0.5,0,0
"30","ilvN",1,0,0,1,0,0,0,0,0,0,0
"31","proV",1,0,0,0.571428571428571,0,0,0,0.285714285714286,0.142857142857143,0,0
"32","purM",1,0,0,0,0,0,0,0,1,0,0
"33","yqjD",0,1,0,0,0,0,0,0,0,0,0
"34","srlA",1,0,0,0.416666666666667,0.0833333333333333,0.0833333333333333,0,0,0.416666666666667,0,0
"35","srlB",1,0,0,0.5,0,0.1,0,0,0.4,0,0
"36","srlD",1,0,0,0.5,0,0.1,0,0,0.4,0,0
"37","srlE",1,0,0,0.5,0,0.1,0,0,0.4,0,0
"38","srlR",1,0,0,1,0,0,0,0,0,0,0
"39","gadE",1,0,0.03125,0.53125,0,0.1875,0,0.125,0.125,0,0
"40","tdcE",1,0,0,0.777777777777778,0,0,0,0.222222222222222,0,0,0
"41","purT",1,0,0,0.5,0,0,0,0,0.5,0,0
"42","acs",1,0,0.133333333333333,0.133333333333333,0,0.0666666666666667,0.133333333333333,0.0666666666666667,0.466666666666667,0,0
"43","aroG",1,0,0,0.5,0,0,0,0,0.5,0,0
"44","fimA",1,0,0,0.5,0,0,0,0.5,0,0,0
"45","fimC",1,0,0,0.5,0,0,0,0.5,0,0,0
"46","fimI",1,0,0,0.5,0,0,0,0.5,0,0,0
"47","slp",1,0,0,0.476190476190476,0,0.19047619047619,0.0476190476190476,0,0.238095238095238,0.0476190476190476,0
"48","cspG",0,1,0,0,0,0,0,0,0,0,0
"49","pspA",1,0,0,0,0,0,0,1,0,0,0
"50","pspB",1,0,0,0,0,0,0,1,0,0,0
"51","soxS",1,0,0,0.2,0,0.3,0.1,0,0.4,0,0
"52","cspI",0,1,0,0,0,0,0,0,0,0,0
"53","yqjE",0,1,0,0,0,0,0,0,0,0,0
"54","msyB",0,1,0,0,0,0,0,0,0,0,0
"55","ydfK",0,1,0,0,0,0,0,0,0,0,0
"56","ytjA",0,1,0,0,0,0,0,0,0,0,0
"57","ynfN",0,1,0,0,0,0,0,0,0,0,0
"58","purE",1,0,0,0,0,0,0,0,1,0,0
"59","ibpB",1,0,0,0.375,0,0,0,0.375,0.25,0,0
"60","yegP",0,1,0,0,0,0,0,0,0,0,0
"61","yghA",0,1,0,0,0,0,0,0,0,0,0
"62","ssnA",1,0,0,1,0,0,0,0,0,0,0
"63","yqjK",0,1,0,0,0,0,0,0,0,0,0
