"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1","yjcH",1,0,0.157894736842105,0.157894736842105,0,0.0526315789473684,0.105263157894737,0,0.157894736842105,0.210526315789474,0.105263157894737,0.0526315789473684,0
"2","trpC",1,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0,0,0
"3","cspB",0,1,0,0,0,0,0,0,0,0,0,0,0
"4","ygeY",0,1,0,0,0,0,0,0,0,0,0,0,0
"5","hyuA",0,1,0,0,0,0,0,0,0,0,0,0,0
"6","xdhD",0,1,0,0,0,0,0,0,0,0,0,0,0
"7","flu",1,0,0,0,0,0,0,0,0,0.5,0.5,0,0
"8","ygfM",0,1,0,0,0,0,0,0,0,0,0,0,0
"9","mokA",0,1,0,0,0,0,0,0,0,0,0,0,0
"10","ygeX",0,1,0,0,0,0,0,0,0,0,0,0,0
"11","cspB",0,1,0,0,0,0,0,0,0,0,0,0,0
"12","fimF",1,0,0.416666666666667,0,0,0.166666666666667,0,0,0.416666666666667,0,0,0,0
"13","ygaY",0,1,0,0,0,0,0,0,0,0,0,0,0
"14","ttcC",0,1,0,0,0,0,0,0,0,0,0,0,0
"15","ompF",1,0,0.333333333333333,0.222222222222222,0,0,0.037037037037037,0,0.0740740740740741,0.259259259259259,0,0.0740740740740741,0
"16","puuA",1,0,0,0.181818181818182,0.272727272727273,0,0.0909090909090909,0,0,0.0909090909090909,0.181818181818182,0.181818181818182,0
"17","yceK",0,1,0,0,0,0,0,0,0,0,0,0,0
"18","uspG",0,1,0,0,0,0,0,0,0,0,0,0,0
"19","xanP",0,1,0,0,0,0,0,0,0,0,0,0,0
"20","ymdF",0,1,0,0,0,0,0,0,0,0,0,0,0
"21","cbpM",1,0,0,0,0,0.25,0,0,0.25,0,0.5,0,0
"22","yncL",0,1,0,0,0,0,0,0,0,0,0,0,0
"23","cfa",1,0,0.25,0,0,0.125,0,0,0.625,0,0,0,0
"24","slp",1,0,0.368421052631579,0.0350877192982456,0,0.105263157894737,0.0350877192982456,0,0.368421052631579,0.0701754385964912,0.0175438596491228,0,0
"25","dps",1,0,0.0882352941176471,0.117647058823529,0.0294117647058824,0.0294117647058824,0.117647058823529,0.0294117647058824,0.147058823529412,0.176470588235294,0.147058823529412,0.117647058823529,0
"26","fimA",1,0,0,0.166666666666667,0.25,0,0.166666666666667,0,0,0.0833333333333333,0,0.333333333333333,0
"27","fimC",1,0,0.25,0.166666666666667,0,0,0.166666666666667,0,0.333333333333333,0,0.0833333333333333,0,0
"28","fimI",1,0,0.416666666666667,0,0,0.166666666666667,0,0,0.416666666666667,0,0,0,0
"29","ilvB",1,0,0,0,0,0,0,0,1,0,0,0,0
"30","ilvN",0,1,0,0,0,0,0,0,0,0,0,0,0
"31","proV",1,0,0,0.166666666666667,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0,0.166666666666667,0.166666666666667,0.25,0
"32","purM",1,0,0,0.5,0,0,0,0,0,0.5,0,0,0
"33","yqjD",0,1,0,0,0,0,0,0,0,0,0,0,0
"34","srlA",1,0,0.0625,0.1875,0,0.125,0,0,0.375,0,0.25,0,0
"35","srlB",1,0,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.555555555555556,0,0
"36","srlD",1,0,0,0,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.222222222222222,0.333333333333333,0
"37","srlE",1,0,0.111111111111111,0,0,0.222222222222222,0,0,0.666666666666667,0,0,0,0
"38","srlR",1,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0,0
"39","gadE",1,0,0.154761904761905,0.190476190476191,0.0357142857142857,0.0714285714285714,0.0357142857142857,0,0.261904761904762,0.0714285714285714,0.154761904761905,0.0238095238095238,0
"40","tdcE",1,0,0.25,0.25,0.0833333333333333,0,0,0,0.166666666666667,0.166666666666667,0.0833333333333333,0,0
"41","purT",1,0,0,1,0,0,0,0,0,0,0,0,0
"42","acs",1,0,0.225806451612903,0.161290322580645,0,0.0645161290322581,0.0645161290322581,0,0.258064516129032,0.032258064516129,0.161290322580645,0.032258064516129,0
"43","aroG",1,0,0.5,0.5,0,0,0,0,0,0,0,0,0
"44","cspG",0,1,0,0,0,0,0,0,0,0,0,0,0
"45","pspA",1,0,0,0,0.2,0,0.2,0,0,0,0.2,0.4,0
"46","pspB",1,0,0.2,0,0,0.2,0,0,0.6,0,0,0,0
"47","soxS",1,0,0.625,0.375,0,0,0,0,0,0,0,0,0
"48","cspI",0,1,0,0,0,0,0,0,0,0,0,0,0
"49","yqjE",0,1,0,0,0,0,0,0,0,0,0,0,0
"50","msyB",0,1,0,0,0,0,0,0,0,0,0,0,0
"51","ydfK",0,1,0,0,0,0,0,0,0,0,0,0,0
"52","ytjA",0,1,0,0,0,0,0,0,0,0,0,0,0
"53","ynfN",0,1,0,0,0,0,0,0,0,0,0,0,0
"54","purE",0,1,0,0,0,0,0,0,0,0,0,0,0
"55","ibpB",1,0,0,0.1875,0,0.0625,0,0.125,0.0625,0.3125,0,0.25,0
"56","yegP",0,1,0,0,0,0,0,0,0,0,0,0,0
"57","yghA",0,1,0,0,0,0,0,0,0,0,0,0,0
"58","ssnA",1,0,0,0,0,0,0,0,0,0,1,0,0
"59","yqjK",0,1,0,0,0,0,0,0,0,0,0,0,0
