"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1"
"1","yjcH",1,0,0.166666666666667,0.166666666666667,0,0.0833333333333333,0.166666666666667,0.0833333333333333,0.333333333333333,0
"2","trpC",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"3","cspB",0,1,0,0,0,0,0,0,0,0
"4","ygeY",0,1,0,0,0,0,0,0,0,0
"5","hyuA",0,1,0,0,0,0,0,0,0,0
"6","xdhD",0,1,0,0,0,0,0,0,0,0
"7","flu",1,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0
"8","ygfM",0,1,0,0,0,0,0,0,0,0
"9","mokA",0,1,0,0,0,0,0,0,0,0
"10","ygeX",0,1,0,0,0,0,0,0,0,0
"11","fimC",1,0,0,0.5,0,0,0,0.5,0,0
"12","cspB",0,1,0,0,0,0,0,0,0,0
"13","fimA",1,0,0,0.5,0,0,0,0.5,0,0
"14","fimF",1,0,0,0.5,0,0,0,0.5,0,0
"15","fimI",1,0,0,0.5,0,0,0,0.5,0,0
"16","ygaY",0,1,0,0,0,0,0,0,0,0
"17","ttcC",0,1,0,0,0,0,0,0,0,0
"18","ompF",1,0,0,0.357142857142857,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.142857142857143,0.285714285714286,0
"19","puuA",1,0,0,0,0,0.25,0.5,0,0.25,0
"20","ilvN",1,0,0,1,0,0,0,0,0,0
"21","yceK",0,1,0,0,0,0,0,0,0,0
"22","uspG",0,1,0,0,0,0,0,0,0,0
"23","xanP",0,1,0,0,0,0,0,0,0,0
"24","ymdF",0,1,0,0,0,0,0,0,0,0
"25","cbpM",1,0,0,0.5,0,0,0,0,0.5,0
"26","gadE",1,0,0.03125,0.53125,0,0.1875,0,0.125,0.125,0
"27","yncL",0,1,0,0,0,0,0,0,0,0
"28","srlR",1,0,0,1,0,0,0,0,0,0
"29","srlB",1,0,0,0.5,0,0.1,0,0,0.4,0
"30","srlE",1,0,0,0.5,0,0.1,0,0,0.4,0
