"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1","NP_X"
"1","cfa",1,0,0,0,0,0,0,0,0,0,1
"2","yeaQ",0,1,0,0,0,0,0,0,0,0,0
"3","ompC",1,0,0,0,0,0.166666666666667,0.25,0,0,0,0.583333333333333
"4","slp",1,0,0,0.0952380952380952,0,0,0,0,0.0476190476190476,0.0476190476190476,0.80952380952381
"5","hdeB",1,0,0,0.111111111111111,0,0,0,0,0,0,0.888888888888889
"6","hdeD",1,0,0,0,0,0.05,0,0,0,0,0.95
"7","osmY",1,0,0.1,0,0,0,0.2,0,0,0,0.7
"8","cbpA",1,0,0,0,0,0,0,0,0,0,1
"9","hdeA",1,0,0,0.111111111111111,0,0,0,0,0,0,0.888888888888889
"10","yahO",0,1,0,0,0,0,0,0,0,0,0
"11","yccJ",1,0,0,0,0,0,0,0,0,0,1
"12","asr",1,0,0,0,0,0,0,0,0,0,1
"13","ydiZ",0,1,0,0,0,0,0,0,0,0,0
"14","yebV",0,1,0,0,0,0,0,0,0,0,0
"15","yhiM",1,0,0,0,0,0,0,0,0,0,1
"16","wrbA",1,0,0,0,0,0,0,0,0,0,1
"17","ycaC",1,0,0,0,0,0,0,0,0,0,1
"18","gadB",1,0,0,0.0909090909090909,0,0,0,0,0,0,0.909090909090909
"19","gadA",1,0,0,0.0344827586206897,0,0,0,0,0,0,0.96551724137931
"20","yiaG",0,1,0,0,0,0,0,0,0,0,0
"21","dps",1,0,0,0,0,0,0,0.142857142857143,0.142857142857143,0,0.714285714285714
"22","ybaT",1,0,0,0,0,0,0,0,0,0,1
"23","aidB",1,0,0,0,0,0,0,0,0,0,1
"24","ssuD",1,0,0,0,0,0,0,0,0,0,1
"25","tauA",1,0,0,0,0,0,0,0,0,0,1
"26","tauB",1,0,0,0,0,0,0,0,0,0,1
"27","tauC",1,0,0,0,0,0,0,0,0,0,1
"28","csgA",1,0,0,0,0,0.153846153846154,0,0,0,0,0.846153846153846
"29","csgD",1,0,0.0232558139534884,0.0232558139534884,0.0465116279069767,0.0697674418604651,0,0.0930232558139535,0,0,0.744186046511628
"30","csgE",1,0,0.0142857142857143,0.0857142857142857,0.0285714285714286,0.171428571428571,0,0.0571428571428571,0,0,0.642857142857142
"31","csgF",1,0,0.0142857142857143,0.0857142857142857,0.0285714285714286,0.171428571428571,0,0.0571428571428571,0,0,0.642857142857142
"32","csgG",1,0,0.0142857142857143,0.0857142857142857,0.0285714285714286,0.171428571428571,0,0.0571428571428571,0,0,0.642857142857142
"33","iraP",1,0,0,0,0,0,0,0,0,0,1
"34","nlpA",1,0,0,0,0,1,0,0,0,0,0
"35","tcyJ",1,0,0.0606060606060606,0,0,0.333333333333333,0.121212121212121,0,0,0,0.484848484848485
"36","yccT",1,0,0,0,0,0,0,0,0,0,1
"37","gadC",1,0,0,0.1,0,0,0,0,0,0,0.9
"38","gadE",1,0,0,0.0625,0,0,0,0,0,0,0.9375
"39","gadF",1,0,0,0.0952380952380952,0,0,0,0,0,0,0.904761904761905
"40","gadX",1,0,0,0,0,0,0,0,0,0,1
"41","gltB",1,0,0,0,0,0,0,0.0714285714285714,0.0714285714285714,0,0.857142857142857
"42","gltD",1,0,0,0,0,0,0,0.0714285714285714,0.0714285714285714,0,0.857142857142857
"43","mdtE",1,0,0,0.131578947368421,0,0,0,0,0,0,0.868421052631578
"44","mdtF",1,0,0,0.142857142857143,0,0,0,0,0,0,0.857142857142857
"45","yhiD",1,0,0,0.111111111111111,0,0,0,0,0,0,0.888888888888889
"46","dctR",1,0,0,0.136363636363636,0.0454545454545455,0,0,0,0.0454545454545455,0.0454545454545455,0.727272727272727
"47","glsA",1,0,0,0,0,0,0,0,0,0,1
"48","rpoS",1,0,0,0,0,0,0,0,0,0,1
"49","mcbA",0,1,0,0,0,0,0,0,0,0,0
"50","rmf",0,1,0,0,0,0,0,0,0,0,0
"51","yciE",1,0,0,0,0,0,0,0,0,0,1
"52","yciF",0,1,0,0,0,0,0,0,0,0,0
"53","yciG",0,1,0,0,0,0,0,0,0,0,0
"54","metE",1,0,0,0,0,0,0,0,0,0,1
"55","metR",0,1,0,0,0,0,0,0,0,0,0
"56","prpB",1,0,0,0,0,0,0,0,0,0.5,0.5
"57","prpC",1,0,0,0,0,0,0,0,0,0.5,0.5
"58","prpD",1,0,0,0,0,0,0,0,0,0.5,0.5
"59","prpR",1,0,0,0,0,0,0,0,0,0,1
"60","purD",1,0,0,0,0,0,0,0,0,0,1
"61","purH",1,0,0,0,0,0,0,0,0,0,1
"62","adiA",1,0,0,0,0,0,0,0.333333333333333,0,0,0.666666666666667
"63","appC",1,0,0,0,0,0,0,0,0,0,1
"64","appX",1,0,0,0,0,0,0,0,0,0,1
"65","hyaA",1,0,0,0,0,0,0,0,0,0,1
"66","hyaB",1,0,0,0,0,0,0,0,0,0,1
"67","hyaC",1,0,0,0,0,0,0,0,0,0,1
"68","hyaD",1,0,0,0,0,0,0,0,0,0,1
"69","hyaE",1,0,0,0,0,0,0,0,0,0,1
"70","hyaF",1,0,0,0,0,0,0,0,0,0,1
"71","araA",1,0,0,0,0,0,0,0,0,0,1
"72","araB",1,0,0,0,0,0,0,0,0,0,1
"73","araC",1,0,0,0,0,0,0,0,0,0,1
"74","araF",1,0,0,0,0,0,0,0,0,0,1
"75","caiA",1,0,0,0,0,0,0,0,0,0,1
"76","fliA",1,0,0.1,0,0,0.3,0.15,0,0,0,0.45
"77","fliE",1,0,0,0,0,0,0,0,0,0,1
"78","fliF",1,0,0,0,0,0,0,0,0,0,1
"79","fliG",1,0,0,0,0,0,0,0,0,0,1
"80","fliH",1,0,0,0,0,0,0,0,0,0,1
"81","fliI",1,0,0,0,0,0,0,0,0,0,1
"82","fliJ",1,0,0,0,0,0,0,0,0,0,1
"83","fliK",1,0,0,0,0,0,0,0,0,0,1
"84","fliZ",1,0,0.0666666666666667,0,0,0.366666666666667,0.1,0,0,0,0.466666666666667
"85","ttdR",0,1,0,0,0,0,0,0,0,0,0
"86","mlrA",1,0,0,0,0,0,0,0,0,0,1
"87","galS",1,0,0,0,0,0,0,0,0,0,1
"88","mglA",1,0,0,0,0,0,0,0,0,0,1
"89","mglB",1,0,0,0,0,0,0,0,0,0,1
"90","mglC",1,0,0,0,0,0,0,0,0,0,1
"91","glcA",1,0,0,0,0,0,0,0.285714285714286,0,0,0.714285714285714
"92","glcB",1,0,0,0,0,0,0,0.285714285714286,0,0,0.714285714285714
