"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"1","cfa",1,0,0,0.2,0,0,0,0,0,0,0.8
"2","yeaQ",0,1,0,0,0,0,0,0,0,0,0
"3","ompC",1,0,0,0,0,0,0,0,0,0,1
"4","slp",1,0,0,0.142857142857143,0,0,0,0,0.0952380952380952,0,0.761904761904762
"5","hdeB",1,0,0,0.0555555555555556,0,0.0555555555555556,0,0,0.0555555555555556,0,0.833333333333334
"6","hdeD",1,0,0,0.25,0,0,0,0,0.15,0,0.6
"7","osmY",1,0,0,0,0,0,0,0,0.1,0,0.9
"8","cbpA",1,0,0,0,0,0,0,0,0,0,1
"9","hdeA",1,0,0,0.0555555555555556,0,0.0555555555555556,0,0,0.0555555555555556,0,0.833333333333334
"10","yahO",0,1,0,0,0,0,0,0,0,0,0
"11","yccJ",1,0,0,1,0,0,0,0,0,0,0
"12","asr",1,0,0,0,0,0,0,0,0,0,1
"13","ydiZ",0,1,0,0,0,0,0,0,0,0,0
"14","yebV",0,1,0,0,0,0,0,0,0,0,0
"15","yhiM",1,0,0,0.2,0,0,0,0,0.2,0,0.6
"16","wrbA",1,0,0,1,0,0,0,0,0,0,0
"17","ycaC",1,0,0,0,0,0,1,0,0,0,0
"18","gadB",1,0,0,0.151515151515152,0,0.0303030303030303,0,0,0.0606060606060606,0,0.757575757575757
"19","gadA",1,0,0,0.172413793103448,0,0.0344827586206897,0,0,0.0344827586206897,0,0.758620689655172
"20","yiaG",0,1,0,0,0,0,0,0,0,0,0
"21","dps",1,0,0,0.214285714285714,0,0,0,0,0,0,0.785714285714285
"22","ybaT",1,0,0,1,0,0,0,0,0,0,0
"23","aceK",1,0,0,0,0,0,0,0,0,0,1
"24","acnA",1,0,0,0,0,0.0588235294117647,0,0,0,0,0.941176470588235
"25","add",1,0,0,0,0,0,0,0,0,0,1
"26","ahpF",1,0,0,0.25,0,0,0,0,0,0,0.75
"27","alaT",1,0,0,0.142857142857143,0,0,0,0,0,0,0.857142857142857
"28","alaU",1,0,0,0.166666666666667,0,0,0,0,0,0,0.833333333333333
"29","aroA",1,0,0,0,0,0,0,0,0,0,1
"30","aroH",1,0,0,0,0,0,0,0,0,0,1
"31","aroP",1,0,0,0,0,0,0,0,0,0,1
"32","bcsE",0,1,0,0,0,0,0,0,0,0,0
"33","cyaA",1,0,0,0,0,0,0,0,0,0,1
"34","cyoB",1,0,0,0,0,0,0,0,0,0,1
"35","dadA",0,1,0,0,0,0,0,0,0,0,0
"36","dadX",1,0,0,0,0,0,0,0,0,0,1
"37","acrR",1,0,0,0,0,0,0,0,0,0,1
"38","atpH",1,0,0,0,0,0,0,0,0,0,1
"39","bax",0,1,0,0,0,0,0,0,0,0,0
"40","bioB",0,1,0,0,0,0,0,0,0,0,0
"41","borD",1,0,0,0,0,0,0,0,0,0,1
"42","btuB",1,0,0,0,0,0,0,0,0,0,1
"43","cirA",1,0,0,0,0,0,0,0,0,0,1
"44","cpxA",1,0,0,0.166666666666667,0,0,0,0,0.166666666666667,0,0.666666666666667
"45","cpxR",1,0,0,0,0,0,0,0,0.333333333333333,0,0.666666666666667
"46","dadX",1,0,0,0,0,0,0,0,0,0,1
"47","dcuR",1,0,0,0,0.25,0,0,0,0,0,0.75
"48","artM",1,0,0,0,0,0,0,0,0,0,1
"49","asnA",1,0,0,0,0,0,0,0,0,0,1
"50","aspA",1,0,0,0.125,0.125,0,0,0,0,0,0.75
"51","atpA",1,0,0,0,0,0,0,0,0,0,1
"52","atpB",1,0,0,0,0,0,0,0,0,0,1
"53","atpC",0,1,0,0,0,0,0,0,0,0,0
"54","atpD",0,1,0,0,0,0,0,0,0,0,0
"55","atpE",0,1,0,0,0,0,0,0,0,0,0
"56","atpF",0,1,0,0,0,0,0,0,0,0,0
"57","atpG",0,1,0,0,0,0,0,0,0,0,0
"58","atpI",1,0,0,0,0,0,0,0,0,0,1
"59","aer",0,1,0,0,0,0,0,0,0,0,0
"60","cca",0,1,0,0,0,0,0,0,0,0,0
"61","cdd",1,0,0,0,0,0,0,0,0,0,1
"62","cheA",0,1,0,0,0,0,0,0,0,0,0
"63","cheB",0,1,0,0,0,0,0,0,0,0,0
"64","cheR",0,1,0,0,0,0,0,0,0,0,0
"65","cheW",0,1,0,0,0,0,0,0,0,0,0
"66","cheY",0,1,0,0,0,0,0,0,0,0,0
"67","cheZ",0,1,0,0,0,0,0,0,0,0,0
"68","clpB",1,0,0,0.5,0,0,0,0,0,0,0.5
"69","clpX",1,0,0,0.6,0,0,0,0,0,0,0.4
"70","deoA",1,0,0,0,0,0,0,0,0,0,1
"71","deoB",1,0,0,0,0,0,0,0,0,0,1
"72","deoC",1,0,0,0,0,0,0,0,0,0,1
"73","deoD",1,0,0,0,0,0,0,0,0,0,1
"74","dapB",0,1,0,0,0,0,0,0,0,0,0
"75","dcyD",0,1,0,0,0,0,0,0,0,0,0
"76","edd",1,0,0,0,0,0,0,0,0,0,1
"77","eno",1,0,0,0,0,0,0,0,0,0,1
"78","fdoG",0,1,0,0,0,0,0,0,0,0,0
"79","fimA",1,0,0,0,0,0,0,0,0,0,1
"80","fimC",1,0,0,0,0,0,0,0,0,0,1
"81","fimI",1,0,0,0,0,0,0,0,0,0,1
"82","flgH",1,0,0,0,0,0,0,0,0,0,1
"83","flhA",1,0,0,0,0,0,0,0,0,0,1
"84","flhE",1,0,0,0,0,0,0,0,0,0,1
"85","fliP",1,0,0,0,0,0,0,0,0,0,1
"86","fliQ",1,0,0,0,0,0,0,0,0,0,1
"87","fliR",1,0,0,0,0,0,0,0,0,0,1
"88","fumA",1,0,0,0,0,0,0,0,0,0,1
"89","gapC",0,1,0,0,0,0,0,0,0,0,0
"90","dcuS",1,0,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667
"91","dppC",1,0,0,0,0,0,0,0,0,0,1
"92","dusA",0,1,0,0,0,0,0,0,0,0,0
"93","eco",0,1,0,0,0,0,0,0,0,0,0
"94","fdhD",0,1,0,0,0,0,0,0,0,0,0
"95","fhuD",1,0,0,0,0,0,0,0,0,0,1
"96","folP",0,1,0,0,0,0,0,0,0,0,0
"97","frdA",1,0,0,0.125,0.125,0,0,0,0,0,0.75
"98","frdC",1,0,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0.714285714285714
"99","ftnB",1,0,0,0.25,0,0,0,0.25,0,0,0.5
"100","fucI",1,0,0,0,0,0,0,0,0,0,1
"101","gcvH",1,0,0,0,0,0,0,0,0,0,1
"102","carA",1,0,0,0,0,0,0,0,0,0,1
"103","coaA",0,1,0,0,0,0,0,0,0,0,0
"104","codB",1,0,0,0,0,0,0,0,0,0,1
"105","cspD",1,0,0,0,0,0,0,0,0,0,1
"106","cvpA",1,0,0,0,0,0,0,0,0,0,1
"107","cydA",1,0,0,0,0,0,0,0,0,0,1
"108","cydB",1,0,0,0,0,0,0,0,0,0,1
"109","cydC",1,0,0,0,0,0,0,0.125,0.125,0,0.75
"110","cydD",1,0,0,0,0,0,0,0.142857142857143,0.142857142857143,0,0.714285714285714
"111","dnaJ",0,1,0,0,0,0,0,0,0,0,0
"112","dnaK",0,1,0,0,0,0,0,0,0,0,0
"113","dsbC",1,0,0,0.5,0,0,0,0.125,0,0,0.375
"114","fdoH",0,1,0,0,0,0,0,0,0,0,0
"115","flgB",1,0,0,0,0,0,0,0,0,0,1
"116","flgC",1,0,0,0,0,0,0,0,0,0,1
"117","flgD",1,0,0,0,0,0,0,0,0,0,1
"118","flgE",1,0,0,0,0,0,0,0,0,0,1
"119","flgF",1,0,0,0,0,0,0,0,0,0,1
"120","flgG",1,0,0,0,0,0,0,0,0,0,1
"121","flgI",1,0,0,0,0,0,0,0,0,0,1
"122","flgJ",1,0,0,0,0,0,0,0,0,0,1
"123","flgK",0,1,0,0,0,0,0,0,0,0,0
"124","flgL",0,1,0,0,0,0,0,0,0,0,0
"125","gatA",1,0,0,0,0,0,0,0,0,0,1
"126","gatB",1,0,0,0,0,0,0,0,0,0,1
"127","gatC",1,0,0,0,0,0,0,0,0,0,1
"128","gatD",1,0,0,0,0,0,0,0,0,0,1
"129","gatZ",1,0,0,0,0,0,0,0,0,0,1
"130","glcC",1,0,0,0,0,0,0,0,0,0,1
"131","gltA",1,0,0,0,0,0,0,0,0,0,1
"132","gltB",1,0,0,0.178571428571429,0,0,0.0357142857142857,0,0,0,0.785714285714285
"133","gltD",1,0,0,0.178571428571429,0,0,0.0357142857142857,0,0,0,0.785714285714285
"134","gpmA",1,0,0,0,0,0,0,0,0,0,1
"135","grxA",0,1,0,0,0,0,0,0,0,0,0
"136","gshA",0,1,0,0,0,0,0,0,0,0,0
"137","gshB",0,1,0,0,0,0,0,0,0,0,0
"138","hemB",1,0,0,0,0,0,0,0,0,0,1
"139","hsdR",0,1,0,0,0,0,0,0,0,0,0
"140","hsdS",0,1,0,0,0,0,0,0,0,0,0
"141","hslJ",1,0,0,0,0,0,0,0,0,0,1
"142","iap",0,1,0,0,0,0,0,0,0,0,0
"143","idi",0,1,0,0,0,0,0,0,0,0,0
"144","ispF",0,1,0,0,0,0,0,0,0,0,0
"145","kgtP",1,0,0,0,0,0,0,0,0,0,1
"146","lipA",0,1,0,0,0,0,0,0,0,0,0
"147","lldD",1,0,0,0,0,0,0,0,0,0,1
"148","lpxD",1,0,0,0,0,0,0,1,0,0,0
"149","lysC",0,1,0,0,0,0,0,0,0,0,0
"150","map",1,0,0,0,0,0,0,0,0,0,1
"151","marB",1,0,0,0.0357142857142857,0,0.107142857142857,0.0357142857142857,0,0.0357142857142857,0,0.785714285714285
"152","marR",1,0,0,0.0555555555555556,0,0.111111111111111,0,0,0,0,0.833333333333334
"153","mdaB",1,0,0,0,0,0,0,0,0,0,1
"154","mdtG",0,1,0,0,0,0,0,0,0,0,0
"155","menF",0,1,0,0,0,0,0,0,0,0,0
"156","metN",1,0,0,0,0,0,0,0,0,0,1
"157","mltC",0,1,0,0,0,0,0,0,0,0,0
"158","mqo",0,1,0,0,0,0,0,0,0,0,0
"159","murE",1,0,0,0,0,0,0.2,0,0,0,0.8
"160","murF",1,0,0,0,0,0,0.2,0,0,0,0.8
"161","nfsA",1,0,0,0,0,0,0,0,0,0,1
"162","nuoC",1,0,0,0,0,0.0714285714285714,0,0,0,0,0.928571428571428
"163","nuoN",1,0,0,0,0,0.0588235294117647,0,0,0,0,0.941176470588235
"164","pdhR",1,0,0,0,0,0,0,0,0,0,1
"165","pdxY",0,1,0,0,0,0,0,0,0,0,0
"166","proP",1,0,0,0,0,0,0,0,0,0,1
"167","rbsA",1,0,0,0,0,0,0,0,0,0,1
"168","rbsC",1,0,0,0,0,0,0,0,0,0,1
"169","rcsA",1,0,0,0,0,0,0,0,0,0,1
"170","rimI",0,1,0,0,0,0,0,0,0,0,0
"171","rpoE",1,0,0,0,0,0,0,0,0.173913043478261,0,0.826086956521739
"172","rseA",1,0,0,0.142857142857143,0,0.0285714285714286,0,0,0.0857142857142857,0,0.742857142857143
"173","rseB",1,0,0,0.151515151515152,0,0.0303030303030303,0,0,0.0909090909090909,0,0.727272727272727
"174","sdhA",1,0,0,0,0,0,0,0,0,0,1
"175","sdhB",1,0,0,0,0,0,0,0,0,0,1
"176","serV",0,1,0,0,0,0,0,0,0,0,0
"177","gcvT",1,0,0,0,0.25,0,0,0,0,0,0.75
"178","glgS",1,0,0,0,0,0,0,0,0.5,0,0.5
"179","glpA",1,0,0,0,0,0,0,0,0,0,1
"180","hflC",1,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667
"181","hflK",1,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667
"182","hflX",1,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667
"183","htpX",1,0,0,0,0,0,0,0,0,0,1
"184","ilvB",1,0,0,0,0,0,0,0,0,0,1
"185","ilvG",0,1,0,0,0,0,0,0,0,0,0
"186","ilvN",1,0,0,0,0,0,0,0,0,0,1
"187","ivbL",1,0,0,0,0,0,0,0,0,0,1
"188","katG",1,0,0,0,0.2,0,0,0,0,0,0.8
"189","maa",0,1,0,0,0,0,0,0,0,0,0
"190","manX",1,0,0,0,0,0,0,0,0,0,1
"191","mhpC",1,0,0,0,0,0,0,0,0,0,1
"192","miaA",1,0,0,0.5,0,0,0,0,0,0,0.5
"193","mutL",1,0,0,0.5,0,0,0,0,0,0,0.5
"194","nadA",0,1,0,0,0,0,0,0,0,0,0
"195","nmpC",0,1,0,0,0,0,0,0,0,0,0
"196","nrdD",1,0,0,0,0,0,0,0,0,0,1
"197","nrdG",1,0,0,0,0.25,0,0,0,0,0,0.75
"198","yjdM",0,1,0,0,0,0,0,0,0,0,0
"199","pitA",0,1,0,0,0,0,0,0,0,0,0
"200","pntA",1,0,0,0,0,0,0,0,0,0,1
"201","ppiA",1,0,0,0,0,0,0,0,0,0,1
"202","pppA",0,1,0,0,0,0,0,0,0,0,0
"203","proV",1,0,0,0.285714285714286,0,0,0,0,0,0,0.714285714285714
"204","purD",1,0,0,0,0,0,0,0,0,0,1
"205","purL",1,0,0,0,0,0,0,0,0,0,1
"206","purN",1,0,0,0,0,0,0,0,0,0,1
"207","putA",1,0,0,0,0,0,0,0,0,0,1
"208","recR",0,1,0,0,0,0,0,0,0,0,0
"209","rpoH",1,0,0,0.3,0,0,0,0.05,0,0,0.65
"210","rzpD",0,1,0,0,0,0,0,0,0,0,0
"211","sdaB",0,1,0,0,0,0,0,0,0,0,0
"212","sdaC",0,1,0,0,0,0,0,0,0,0,0
"213","secD",0,1,0,0,0,0,0,0,0,0,0
"214","dedA",0,1,0,0,0,0,0,0,0,0,0
"215","dinI",1,0,0,0,0,0,0,0,0,0,1
"216","dinJ",1,0,0,0,0,0,0,0,0,0,1
"217","eptB",1,0,0,0.25,0,0,0,0,0,0,0.75
"218","fadL",1,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0.142857142857143,0.571428571428571
"219","folD",0,1,0,0,0,0,0,0,0,0,0
"220","fucR",1,0,0,0,0,0,0,0,0,0,1
"221","glmU",0,1,0,0,0,0,0,0,0,0,0
"222","glpB",1,0,0,0,0,0,0,0,0,0,1
"223","glpC",1,0,0,0,0,0,0,0,0,0,1
