"","V1","FBL_number","No_FBL","FBL"
"1","cfa",0,0,1
"2","yeaQ",0,0,1
"4","slp",0,0,1
"5","hdeB",0,0,1
"6","hdeD",0,0,1
"7","osmY",0,0,1
"8","cbpA",0,0,1
"9","hdeA",0,0,1
"10","yahO",0,0,1
"11","yccJ",0,0,1
"12","asr",0,0,1
"13","ydiZ",0,0,1
"14","yebV",0,0,1
"15","yhiM",0,0,1
"16","wrbA",0,0,1
"17","ycaC",0,0,1
"18","gadB",0,0,1
"19","gadA",0,0,1
"20","yiaG",0,0,1
"21","dps",0,0,1
"22","ybaT",0,0,1
"23","aceK",0,0,1
"24","acnA",0,0,1
"25","add",0,0,1
"26","ahpF",0,0,1
"27","alaT",0,0,1
"28","alaU",0,0,1
"29","aroA",0,0,1
"30","aroH",0,0,1
"31","aroP",0,0,1
"34","cyoB",0,0,1
"35","dadA",0,0,1
"36","dadX",0,0,1
"38","atpH",0,0,1
"39","bax",0,0,1
"40","bioB",0,0,1
"41","borD",0,0,1
"42","btuB",0,0,1
"43","cirA",0,0,1
"44","cpxA",0,0,1
"47","artM",0,0,1
"48","asnA",0,0,1
"49","aspA",0,0,1
"50","atpA",0,0,1
"51","atpB",0,0,1
"52","atpC",0,0,1
"54","atpE",0,0,1
"55","atpF",0,0,1
"56","atpG",0,0,1
"57","atpI",0,0,1
"60","cdd",0,0,1
"61","cheA",0,0,1
"62","cheB",0,0,1
"63","cheR",0,0,1
"64","cheW",0,0,1
"66","cheZ",0,0,1
"67","clpB",0,0,1
"68","clpX",0,0,1
"70","deoB",0,0,1
"71","deoC",0,0,1
"72","deoD",0,0,1
"74","dcyD",0,0,1
"75","edd",0,0,1
"76","eno",0,0,1
"77","fdoG",0,0,1
"78","fimA",0,0,1
"79","fimC",0,0,1
"80","fimI",0,0,1
"81","flgH",0,0,1
"82","flhA",0,0,1
"83","flhE",0,0,1
"84","fliP",0,0,1
"85","fliQ",0,0,1
"87","fumA",0,0,1
"88","gapC",0,0,1
"89","dcuS",0,0,1
"90","dppC",0,0,1
"92","eco",0,0,1
"93","fdhD",0,0,1
"94","fhuD",0,0,1
"95","folP",0,0,1
"96","frdA",0,0,1
"97","frdC",0,0,1
"99","fucI",0,0,1
"100","gcvH",0,0,1
"101","carA",0,0,1
"102","coaA",0,0,1
"103","codB",0,0,1
"104","cspD",0,0,1
"105","cvpA",0,0,1
"106","cydA",0,0,1
"108","cydC",0,0,1
"109","cydD",0,0,1
"110","dnaJ",0,0,1
"111","dnaK",0,0,1
"113","fdoH",0,0,1
"114","flgB",0,0,1
"115","flgC",0,0,1
"116","flgD",0,0,1
"117","flgE",0,0,1
"118","flgF",0,0,1
"119","flgG",0,0,1
"120","flgI",0,0,1
"121","flgJ",0,0,1
"122","flgK",0,0,1
"123","flgL",0,0,1
"124","gatA",0,0,1
"125","gatB",0,0,1
"126","gatC",0,0,1
"127","gatD",0,0,1
"128","gatZ",0,0,1
"129","glcC",0,0,1
"130","gltA",0,0,1
"131","gltB",0,0,1
"132","gltD",0,0,1
"133","gpmA",0,0,1
"134","grxA",0,0,1
"135","gshA",0,0,1
"136","gshB",0,0,1
"138","hsdR",0,0,1
"140","hslJ",0,0,1
"141","iap",0,0,1
"142","idi",0,0,1
"143","ispF",0,0,1
"144","kgtP",0,0,1
"146","lldD",0,0,1
"147","lpxD",0,0,1
"148","lysC",0,0,1
"149","map",0,0,1
"150","marB",0,0,1
"151","marR",6,0,1
"154","menF",0,0,1
"155","metN",0,0,1
"156","mltC",0,0,1
"157","mqo",0,0,1
"161","nuoC",0,0,1
"162","nuoN",0,0,1
"163","pdhR",0,0,1
"164","pdxY",0,0,1
"165","proP",0,0,1
"166","rbsA",0,0,1
"167","rbsC",0,0,1
"168","rcsA",6,0,1
"169","rimI",0,0,1
"170","rpoE",201,0,1
"171","rseA",0,0,1
"174","sdhB",0,0,1
"176","gcvT",0,0,1
"177","glgS",0,0,1
"178","glpA",0,0,1
"180","hflK",0,0,1
"181","hflX",0,0,1
"182","htpX",0,0,1
"183","ilvB",0,0,1
"185","ilvN",0,0,1
"186","ivbL",0,0,1
"187","katG",0,0,1
"188","maa",0,0,1
"189","manX",0,0,1
"191","miaA",0,0,1
"192","mutL",0,0,1
"193","nadA",0,0,1
"194","nmpC",0,0,1
"195","nrdD",0,0,1
"196","nrdG",0,0,1
"198","pitA",0,0,1
"199","pntA",0,0,1
"200","ppiA",0,0,1
"201","pppA",0,0,1
"202","proV",0,0,1
"203","purD",0,0,1
"204","purL",0,0,1
"205","purN",0,0,1
"206","putA",0,0,1
"207","recR",0,0,1
"208","rpoH",183,0,1
"210","sdaB",0,0,1
"211","sdaC",0,0,1
"212","secD",0,0,1
"214","dinI",0,0,1
"215","dinJ",1,0,1
"216","eptB",0,0,1
"217","fadL",0,0,1
"218","folD",0,0,1
"219","fucR",0,0,1
"220","glmU",0,0,1
"221","glpB",0,0,1
"222","glpC",0,0,1
"223","flgM",0,0,1
"224","flgN",0,0,1
"225","fliA",8,0,1
"227","fliD",0,0,1
"228","fliE",0,0,1
"229","fliF",0,0,1
"230","fliG",0,0,1
"231","fliH",0,0,1
"232","fliI",0,0,1
"233","fliJ",0,0,1
"234","fliK",0,0,1
"235","fliL",0,0,1
"236","fliM",0,0,1
"237","fliN",0,0,1
"238","fliO",0,0,1
"239","glpX",0,0,1
"240","glyA",0,0,1
"242","hisH",0,0,1
"244","hisJ",0,0,1
"245","ispE",0,0,1
"246","malT",0,0,1
