"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1","accB",0,1,0,0,0,0,0,0,0
"2","accC",0,1,0,0,0,0,0,0,0
"3","aceE",0,1,0,0,0,0,0,0,0
"4","aceK",0,1,0,0,0,0,0,0,0
"5","acnA",0,1,0,0,0,0,0,0,0
"6","acs",0,1,0,0,0,0,0,0,0
"7","add",0,1,0,0,0,0,0,0,0
"8","adeP",0,1,0,0,0,0,0,0,0
"9","adhE",0,1,0,0,0,0,0,0,0
"10","adiA",0,1,0,0,0,0,0,0,0
"11","adk",0,1,0,0,0,0,0,0,0
"12","agaV",0,1,0,0,0,0,0,0,0
"13","ahpC",0,1,0,0,0,0,0,0,0
"14","ahpF",0,1,0,0,0,0,0,0,0
"15","aidB",0,1,0,0,0,0,0,0,0
"16","ais",0,1,0,0,0,0,0,0,0
"17","alaA",0,1,0,0,0,0,0,0,0
"18","alaE",0,1,0,0,0,0,0,0,0
"19","alaT",0,1,0,0,0,0,0,0,0
"20","alaU",0,1,0,0,0,0,0,0,0
"21","aldA",0,1,0,0,0,0,0,0,0
"22","aldB",0,1,0,0,0,0,0,0,0
"23","allB",0,1,0,0,0,0,0,0,0
"24","alx",0,1,0,0,0,0,0,0,0
"25","amtB",0,1,0,0,0,0,0,0,0
"26","apaG",0,1,0,0,0,0,0,0,0
"27","apt",0,1,0,0,0,0,0,0,0
"28","aqpZ",0,1,0,0,0,0,0,0,0
"29","araA",0,1,0,0,0,0,0,0,0
"30","araB",0,1,0,0,0,0,0,0,0
"31","araC",0,1,0,0,0,0,0,0,0
"32","araF",0,1,0,0,0,0,0,0,0
"33","arcA",0,1,0,0,0,0,0,0,0
"34","arfB",0,1,0,0,0,0,0,0,0
"35","argD",0,1,0,0,0,0,0,0,0
"36","argI",0,1,0,0,0,0,0,0,0
"37","argO",0,1,0,0,0,0,0,0,0
"38","argS",0,1,0,0,0,0,0,0,0
"39","argT",0,1,0,0,0,0,0,0,0
"40","arnB",0,1,0,0,0,0,0,0,0
"41","aroA",0,1,0,0,0,0,0,0,0
"42","aroF",0,1,0,0,0,0,0,0,0
"43","aroG",0,1,0,0,0,0,0,0,0
"44","aroH",0,1,0,0,0,0,0,0,0
"45","aroL",0,1,0,0,0,0,0,0,0
"46","aroP",0,1,0,0,0,0,0,0,0
"47","artJ",0,1,0,0,0,0,0,0,0
"48","artM",0,1,0,0,0,0,0,0,0
"49","asd",0,1,0,0,0,0,0,0,0
"50","asnA",0,1,0,0,0,0,0,0,0
"51","asnB",0,1,0,0,0,0,0,0,0
"52","aspA",0,1,0,0,0,0,0,0,0
"53","aspS",0,1,0,0,0,0,0,0,0
"54","asr",0,1,0,0,0,0,0,0,0
"55","astC",0,1,0,0,0,0,0,0,0
"56","astD",0,1,0,0,0,0,0,0,0
"57","atpA",0,1,0,0,0,0,0,0,0
"58","atpB",0,1,0,0,0,0,0,0,0
"59","atpC",0,1,0,0,0,0,0,0,0
"60","atpE",0,1,0,0,0,0,0,0,0
"61","atpF",0,1,0,0,0,0,0,0,0
"62","atpG",0,1,0,0,0,0,0,0,0
"63","atpH",0,1,0,0,0,0,0,0,0
"64","atpI",0,1,0,0,0,0,0,0,0
"65","avtA",0,1,0,0,0,0,0,0,0
"66","bax",0,1,0,0,0,0,0,0,0
"67","bcsE",0,1,0,0,0,0,0,0,0
"68","bdcA",0,1,0,0,0,0,0,0,0
"69","betA",0,1,0,0,0,0,0,0,0
"70","betB",0,1,0,0,0,0,0,0,0
"71","betI",0,1,0,0,0,0,0,0,0
"72","bfd",0,1,0,0,0,0,0,0,0
"73","bfr",0,1,0,0,0,0,0,0,0
"74","bhsA",0,1,0,0,0,0,0,0,0
"75","bioB",0,1,0,0,0,0,0,0,0
"76","bipA",0,1,0,0,0,0,0,0,0
"77","bolA",0,1,0,0,0,0,0,0,0
"78","borD",0,1,0,0,0,0,0,0,0
"79","brnQ",0,1,0,0,0,0,0,0,0
"80","bsmA",0,1,0,0,0,0,0,0,0
"81","bssR",0,1,0,0,0,0,0,0,0
"82","bssS",0,1,0,0,0,0,0,0,0
