"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"1","metH",1,0,0,0,0,0,0,0,0,0,1
"2","wcaF",0,1,0,0,0,0,0,0,0,0,0
"3","waaH",1,0,0,0,0,0,0,0,0,0,1
"4","ytfF",0,1,0,0,0,0,0,0,0,0,0
"5","btsT",1,0,0,0,0,0,0,0,0,0,1
"6","hyfD",1,0,0,0.166666666666667,0,0,0,0,0,0,0.833333333333333
"7","rutD",1,0,0,0,0,0,0,0,0,0,1
"8","aas",0,1,0,0,0,0,0,0,0,0,0
"9","trmJ",0,1,0,0,0,0,0,0,0,0,0
"10","tmk",0,1,0,0,0,0,0,0,0,0,0
"11","pspF",0,1,0,0,0,0,0,0,0,0,0
"12","yfaX",0,1,0,0,0,0,0,0,0,0,0
"13","oxyR",1,0,0,0,0,0,0,0,0,0,1
"14","btsT",1,0,0,0,0,0,0,0,0,0,1
"15","glnQ",1,0,0,0,0,0,0,0.222222222222222,0.222222222222222,0,0.555555555555556
"16","ddpF",1,0,0,0,0,0,0,0,0,0,1
"17","ydeN",1,0,0,0,0,0,0,0,0,0,1
"18","yeaV",0,1,0,0,0,0,0,0,0,0,0
"19","fruB",0,1,0,0,0,0,0,0,0,0,0
"20","focB",1,0,0,0.166666666666667,0,0,0,0,0,0,0.833333333333333
"21","lgoT",0,1,0,0,0,0,0,0,0,0,0
"22","ivy",0,1,0,0,0,0,0,0,0,0,0
"23","yaiY",1,0,0,0,0,0,0,0,0,0,1
"24","ldtB",0,1,0,0,0,0,0,0,0,0,0
"25","ycfJ",0,1,0,0,0,0,0,0,0,0,0
"26","ydcF",0,1,0,0,0,0,0,0,0,0,0
"27","mgrB",0,1,0,0,0,0,0,0,0,0,0
"28","letB",0,1,0,0,0,0,0,0,0,0,0
"29","yodD",0,1,0,0,0,0,0,0,0,0,0
"30","rcsD",1,0,0,0,0,0,0,0,0,0,1
"31","hda",0,1,0,0,0,0,0,0,0,0,0
"32","pgpC",0,1,0,0,0,0,0,0,0,0,0
"33","kbp",1,0,0,0,0,0,0,0,0,0,1
"34","ygaP",0,1,0,0,0,0,0,0,0,0,0
"35","lplT",0,1,0,0,0,0,0,0,0,0,0
"36","yhdN",0,1,0,0,0,0,0,0,0,0,0
"37","yhiJ",0,1,0,0,0,0,0,0,0,0,0
"38","yicN",0,1,0,0,0,0,0,0,0,0,0
"39","psiE",1,0,0,0,0,0,0,0,0,0,1
"40","yjcB",0,1,0,0,0,0,0,0,0,0,0
"41","pdeC",0,1,0,0,0,0,0,0,0,0,0
"42","qorB",0,1,0,0,0,0,0,0,0,0,0
"43","bglJ",1,0,0,0,0,0,0,0,0,0,1
"44","cheR",0,1,0,0,0,0,0,0,0,0,0
"45","cheW",0,1,0,0,0,0,0,0,0,0,0
"46","dppC",1,0,0,0,0,0,0,0.285714285714286,0.285714285714286,0,0.428571428571429
"47","hslJ",1,0,0,0,0,0,0,0,0,0,1
"48","proP",1,0,0,0,0,0,0,0,0,0,1
"49","rcsA",1,0,0,0,0,0,0,0,0,0,1
"50","htpX",1,0,0,0,0,0,0,0,0,0,1
"51","miaA",1,0,0,0,0,0,0,0,0,0,1
"52","proV",1,0,0,0,0,0,0,0.285714285714286,0,0,0.714285714285714
"53","dinJ",1,0,0,0,0,0,0,0,0.142857142857143,0,0.857142857142857
"54","ybfA",0,1,0,0,0,0,0,0,0,0,0
"55","yccA",1,0,0,0,0,0,0,0,0,0,1
"56","ygiW",0,1,0,0,0,0,0,0,0,0,0
"57","yjiA",0,1,0,0,0,0,0,0,0,0,0
"58","yjiX",0,1,0,0,0,0,0,0,0,0,0
"59","recA",1,0,0,0,0,0,0,0,0,0,1
"60","slt",1,0,0,0,0,0,0,0,0,0,1
"61","ybjX",1,0,0,0,0,0,0,0,0,0,1
"62","ynfB",1,0,0,0,0,0,0,0,0,0,1
"63","fadR",1,0,0,0,0,0,0,0,0,0,1
"64","mdtJ",1,0,0,0,0,0,0,0,0,0,1
"65","ndh",1,0,0.166666666666667,0,0,0,0.25,0,0,0,0.583333333333333
"66","oppD",1,0,0,0,0,0,0.5,0,0,0,0.5
"67","yjeJ",0,1,0,0,0,0,0,0,0,0,0
"68","yjgM",0,1,0,0,0,0,0,0,0,0,0
"69","yieP",0,1,0,0,0,0,0,0,0,0,0
"70","yciE",1,0,0,0,0,0,0,0,0,0,1
"71","yciF",0,1,0,0,0,0,0,0,0,0,0
"72","yciG",0,1,0,0,0,0,0,0,0,0,0
"73","mlrA",1,0,0,0,0,0,0,0,0,0,1
"74","fdhF",1,0,0,0,0,0,0,0,0,0,1
"75","nrfD",1,0,0,0,0,0,0,0,0,0,1
"76","ytfE",1,0,0,0,0,0,0,0,0,0,1
"77","glnL",1,0,0,0,0,0,0,0,0,0,1
"78","metJ",1,0,0,0,0,0,0,0,0,0,1
"79","yjjI",0,1,0,0,0,0,0,0,0,0,0
"80","fepD",1,0,0,0,0,0,0,0,0,0,1
"81","ybiV",0,1,0,0,0,0,0,0,0,0,0
"82","galP",1,0,0,0,0,0,0,0,0,0,1
"83","ispA",0,1,0,0,0,0,0,0,0,0,0
"84","ypeC",0,1,0,0,0,0,0,0,0,0,0
"85","slt",1,0,0,0,0,0,0,0,0,0,1
"86","metJ",1,0,0,0,0,0,0,0,0,0,1
"87","yieP",0,1,0,0,0,0,0,0,0,0,0
"88","fadR",1,0,0,0,0,0,0,0,0,0,1
"89","ygiW",0,1,0,0,0,0,0,0,0,0,0
"90","ispA",0,1,0,0,0,0,0,0,0,0,0
"91","ybiV",0,1,0,0,0,0,0,0,0,0,0
"92","rplY",1,0,0,0,0,0,0,0,0,0,1
"93","soxS",1,0,0,0,0,0,0,0,0,0,1
"94","ynfM",0,1,0,0,0,0,0,0,0,0,0
"95","ydbK",0,1,0,0,0,0,0,0,0,0,0
"96","osmE",1,0,0.222222222222222,0,0,0,0.222222222222222,0,0,0,0.555555555555556
"97","rof",0,1,0,0,0,0,0,0,0,0,0
"98","holB",0,1,0,0,0,0,0,0,0,0,0
"99","ldhA",0,1,0,0,0,0,0,0,0,0,0
"100","rbfA",1,0,0,0,0,0,0,0,0,0,1
"101","proW",1,0,0,0,0,0,0,0.285714285714286,0,0,0.714285714285714
"102","rdgC",0,1,0,0,0,0,0,0,0,0,0
"103","nrdA",1,0,0,0,0,0,0,0,0,0,1
"104","evgA",1,0,0,0,0,0,0,0,0,0,1
"105","dcrB",0,1,0,0,0,0,0,0,0,0,0
"106","asnB",1,0,0,0,0,1,0,0,0,0,0
"107","ytfH",0,1,0,0,0,0,0,0,0,0,0
"108","treF",0,1,0,0,0,0,0,0,0,0,0
"109","yeaY",0,1,0,0,0,0,0,0,0,0,0
"110","cbl",1,0,0,0,0,0,0,0,0,0,1
"111","yceK",0,1,0,0,0,0,0,0,0,0,0
"112","uspG",0,1,0,0,0,0,0,0,0,0,0
