"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg","NP_X"
"1","metH",1,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0
"2","wcaF",0,1,0,0,0,0,0,0,0,0,0,0,0
"3","waaH",0,1,0,0,0,0,0,0,0,0,0,0,0
"4","ytfF",0,1,0,0,0,0,0,0,0,0,0,0,0
"5","btsT",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"6","hyfD",1,0,0.285714285714286,0.571428571428571,0,0,0,0,0.142857142857143,0,0,0,0
"7","rutD",1,0,0.428571428571429,0.571428571428571,0,0,0,0,0,0,0,0,0
"8","aas",0,1,0,0,0,0,0,0,0,0,0,0,0
"9","trmJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"10","tmk",0,1,0,0,0,0,0,0,0,0,0,0,0
"11","pspF",0,1,0,0,0,0,0,0,0,0,0,0,0
"12","yfaX",0,1,0,0,0,0,0,0,0,0,0,0,0
"13","oxyR",1,0,0.6,0,0,0,0,0,0.4,0,0,0,0
"14","btsT",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"15","glnQ",1,0,0.294117647058824,0.176470588235294,0,0.235294117647059,0.176470588235294,0,0,0,0.117647058823529,0,0
"16","ddpF",1,0,1,0,0,0,0,0,0,0,0,0,0
"17","ydeN",1,0,0,0.4,0.3,0,0.2,0,0,0,0,0.1,0
"18","yeaV",0,1,0,0,0,0,0,0,0,0,0,0,0
"19","fruB",1,0,0,1,0,0,0,0,0,0,0,0,0
"20","focB",1,0,0.285714285714286,0.571428571428571,0,0,0,0,0.142857142857143,0,0,0,0
"21","lgoT",0,1,0,0,0,0,0,0,0,0,0,0,0
"22","ivy",0,1,0,0,0,0,0,0,0,0,0,0,0
"23","yaiY",0,1,0,0,0,0,0,0,0,0,0,0,0
"24","ldtB",0,1,0,0,0,0,0,0,0,0,0,0,0
"25","ycfJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"26","ydcF",0,1,0,0,0,0,0,0,0,0,0,0,0
"27","mgrB",0,1,0,0,0,0,0,0,0,0,0,0,0
"28","letB",0,1,0,0,0,0,0,0,0,0,0,0,0
"29","yodD",0,1,0,0,0,0,0,0,0,0,0,0,0
"30","rcsD",0,1,0,0,0,0,0,0,0,0,0,0,0
"31","hda",0,1,0,0,0,0,0,0,0,0,0,0,0
"32","pgpC",0,1,0,0,0,0,0,0,0,0,0,0,0
"33","kbp",1,0,1,0,0,0,0,0,0,0,0,0,0
"34","ygaP",0,1,0,0,0,0,0,0,0,0,0,0,0
"35","lplT",0,1,0,0,0,0,0,0,0,0,0,0,0
"36","yhdN",1,0,1,0,0,0,0,0,0,0,0,0,0
"37","yhiJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"38","yicN",0,1,0,0,0,0,0,0,0,0,0,0,0
"39","psiE",1,0,0,1,0,0,0,0,0,0,0,0,0
"40","yjcB",1,0,0,0,0,1,0,0,0,0,0,0,0
"41","pdeC",1,0,0,0.5,0,0.25,0,0,0,0.25,0,0,0
"42","qorB",0,1,0,0,0,0,0,0,0,0,0,0,0
"43","bglJ",1,0,0,1,0,0,0,0,0,0,0,0,0
"44","cheR",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0
"45","cheW",1,0,0,1,0,0,0,0,0,0,0,0,0
"46","dppC",1,0,0.1,0.2,0.1,0.3,0,0,0,0,0.2,0.1,0
"47","hslJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"48","proP",1,0,0.428571428571429,0,0,0.142857142857143,0,0,0.428571428571429,0,0,0,0
"49","rcsA",1,0,0.2,0.6,0,0.2,0,0,0,0,0,0,0
"50","htpX",1,0,0,0.5,0,0,0,0,0,0.5,0,0,0
"51","miaA",1,0,1,0,0,0,0,0,0,0,0,0,0
"52","proV",1,0,0.166666666666667,0.25,0,0.25,0,0,0.25,0.0833333333333333,0,0,0
"53","dinJ",1,0,0,0,0.333333333333333,0,0.666666666666667,0,0,0,0,0,0
"54","ybfA",0,1,0,0,0,0,0,0,0,0,0,0,0
"55","yccA",0,1,0,0,0,0,0,0,0,0,0,0,0
"56","ygiW",0,1,0,0,0,0,0,0,0,0,0,0,0
"57","yjiA",0,1,0,0,0,0,0,0,0,0,0,0,0
"58","yjiX",0,1,0,0,0,0,0,0,0,0,0,0,0
"59","recA",0,1,0,0,0,0,0,0,0,0,0,0,0
"60","slt",1,0,1,0,0,0,0,0,0,0,0,0,0
"61","ybjX",0,1,0,0,0,0,0,0,0,0,0,0,0
"62","ynfB",1,0,0,0.2,0,0.2,0.4,0,0,0,0.2,0,0
"63","fadR",0,1,0,0,0,0,0,0,0,0,0,0,0
"64","mdtJ",1,0,0,0,1,0,0,0,0,0,0,0,0
