"","V1","Loop_number","No_loop","Loop"
"1","metH",3,0,1
"2","wcaF",0,0,1
"3","waaH",0,0,1
"4","ytfF",0,0,1
"5","btsT",3,0,1
"6","hyfD",7,0,1
"7","rutD",7,0,1
"8","aas",0,0,1
"9","trmJ",0,0,1
"10","tmk",0,0,1
"11","pspF",0,0,1
"12","yfaX",0,0,1
"13","oxyR",5,0,1
"14","btsT",3,0,1
"15","glnQ",17,0,1
"16","ddpF",3,0,1
"17","ydeN",10,0,1
"18","yeaV",0,0,1
"19","fruB",1,0,1
"20","focB",7,0,1
"21","lgoT",0,0,1
"22","ivy",0,0,1
"23","yaiY",0,0,1
"24","ldtB",0,0,1
"25","ycfJ",0,0,1
"26","ydcF",0,0,1
"27","mgrB",0,0,1
"28","letB",0,0,1
"29","yodD",0,0,1
"30","rcsD",0,0,1
"31","hda",0,0,1
"32","pgpC",0,0,1
"33","kbp",1,0,1
"34","ygaP",0,0,1
"35","lplT",0,0,1
"36","yhdN",1,0,1
"37","yhiJ",0,0,1
"38","yicN",0,0,1
"39","psiE",1,0,1
"40","yjcB",2,0,1
"41","pdeC",4,0,1
"42","qorB",0,0,1
"43","bglJ",1,0,1
"44","cheR",3,0,1
"45","cheW",1,0,1
"46","dppC",10,0,1
"47","hslJ",0,0,1
"48","proP",7,0,1
"49","rcsA",5,0,1
"50","htpX",4,0,1
"51","miaA",1,0,1
"52","proV",12,0,1
"53","dinJ",3,0,1
"54","ybfA",0,0,1
"55","yccA",0,0,1
"56","ygiW",0,0,1
"57","yjiA",0,0,1
"58","yjiX",0,0,1
"59","recA",0,0,1
"60","slt",2,0,1
"61","ybjX",0,0,1
"62","ynfB",5,0,1
"63","fadR",0,0,1
"64","mdtJ",1,0,1
"65","ndh",19,0,1
"66","oppD",12,0,1
"67","yjeJ",0,0,1
"68","yjgM",0,0,1
"69","yieP",0,0,1
"70","yciE",4,0,1
"71","yciF",3,0,1
"72","yciG",3,0,1
"73","mlrA",2,0,1
"74","fdhF",6,0,1
"75","nrfD",41,0,1
"76","ytfE",1,0,1
"77","glnL",5,0,1
"78","metJ",0,0,1
"79","yjjI",0,0,1
"80","fepD",0,0,1
"81","ybiV",0,0,1
"82","galP",15,0,1
"83","ispA",0,0,1
"84","ypeC",0,0,1
"85","rplY",0,0,1
"86","soxS",16,0,1
"87","ynfM",0,0,1
"88","ydbK",2,0,1
"89","osmE",16,0,1
"90","rof",0,0,1
"91","holB",0,0,1
"92","ldhA",1,0,1
"93","rbfA",4,0,1
"94","proW",12,0,1
"95","rdgC",0,0,1
"96","nrdA",8,0,1
"97","evgA",5,0,1
"98","dcrB",0,0,1
"99","asnB",7,0,1
"100","ytfH",0,0,1
"101","treF",0,0,1
"102","yeaY",0,0,1
"103","cbl",7,0,1
"104","yceK",0,0,1
"105","uspG",0,0,1
