"","V1","FBL_number","No_FBL","FBL"
"1","metH",0,0,1
"2","mliC",0,0,1
"3","wcaF",0,0,1
"4","waaH",0,0,1
"5","ytfF",0,0,1
"6","hyfD",0,0,1
"7","aas",0,0,1
"8","trmJ",0,0,1
"9","tmk",0,0,1
"10","pspF",0,0,1
"11","psuK",0,0,1
"12","yfaX",0,0,1
"13","oxyR",8,0,1
"14","ridA",0,0,1
"15","glnQ",0,0,1
"16","ddpF",0,0,1
"17","ydeN",0,0,1
"18","yeaV",0,0,1
"19","fruB",0,0,1
"20","focB",0,0,1
"21","lgoT",0,0,1
"22","psuK",0,0,1
"23","gmhB",0,0,1
"24","yaiY",0,0,1
"25","ldtB",0,0,1
"26","ycfJ",0,0,1
"27","ydcF",0,0,1
"28","mgrB",0,0,1
"29","letB",0,0,1
"30","yodD",0,0,1
"31","rcsD",0,0,1
"32","hda",0,0,1
"33","kbp",0,0,1
"34","ygaP",0,0,1
"35","lplT",0,0,1
"36","yhdN",0,0,1
"37","yhiJ",0,0,1
"38","yicN",0,0,1
"39","yjcB",0,0,1
"40","qorB",0,0,1
"41","bglJ",2,0,1
"42","cheR",0,0,1
"43","cheW",0,0,1
"44","dppC",0,0,1
"45","hslJ",0,0,1
"46","proP",0,0,1
"47","rcsA",6,0,1
"48","htpX",0,0,1
"49","miaA",0,0,1
"50","proV",0,0,1
"51","dinJ",1,0,1
"52","ybfA",0,0,1
"53","yccA",0,0,1
"54","ygiW",0,0,1
"55","yjiA",0,0,1
"56","yjiX",0,0,1
"57","btsT",0,0,1
"58","recA",0,0,1
"59","slt",0,0,1
"60","ybjX",0,0,1
"61","ynfB",0,0,1
"62","fadR",0,0,1
"63","mdtJ",0,0,1
"64","ndh",0,0,1
"65","oppD",0,0,1
"66","yjeJ",0,0,1
"67","yjgM",0,0,1
"68","pgpC",0,0,1
"69","yieP",0,0,1
"70","yciE",0,0,1
"71","yciF",0,0,1
"72","yciG",0,0,1
"73","mlrA",2,0,1
"74","fdhF",0,0,1
"75","nrfD",0,0,1
"76","ytfE",0,0,1
"77","glnL",0,0,1
"78","metJ",0,0,1
"79","yjjI",0,0,1
"80","fepD",0,0,1
"81","znuB",0,0,1
"82","ybiV",0,0,1
"83","galP",0,0,1
"84","ispA",0,0,1
"85","ypeC",0,0,1
"86","rplY",0,0,1
"87","soxS",22,0,1
"88","ynfM",0,0,1
"89","ivy",0,0,1
"90","pyrS",0,0,1
"91","ydbK",0,0,1
"92","rutD",0,0,1
"93","osmE",0,0,1
"94","rof",0,0,1
"95","holB",0,0,1
"96","ldhA",0,0,1
"97","rbfA",0,0,1
"98","proW",0,0,1
"99","rdgC",0,0,1
"100","nrdA",0,0,1
"101","evgA",7,0,1
"102","hprS",0,0,1
"103","dcrB",0,0,1
"104","psiE",0,0,1
"105","asnB",0,0,1
"106","ytfH",0,0,1
"107","bssS",0,0,1
"108","treF",0,0,1
"109","yeaY",0,0,1
"110","cbl",0,0,1
"111","pdeC",0,0,1
"112","yceK",0,0,1
"113","uspG",0,0,1
