"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1"
"1","glnL",1,0,0,0.75,0,0,0,0.25,0,0
"2","metH",1,0,0,0,0,0,0,0,1,0
"3","cheR",0,1,0,0,0,0,0,0,0,0
"4","yjiA",0,1,0,0,0,0,0,0,0,0
"5","hslJ",1,0,0,0,0,0,0,0,1,0
"6","rcsA",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0.166666666666667,0.166666666666667
"7","wcaF",0,1,0,0,0,0,0,0,0,0
"8","waaH",1,0,0,1,0,0,0,0,0,0
"9","ytfF",0,1,0,0,0,0,0,0,0,0
"10","cheW",0,1,0,0,0,0,0,0,0,0
"11","btsT",1,0,0,0,0,0,0,0.5,0.5,0
"12","recA",1,0,0,0,0,0.5,0,0,0.5,0
"13","hyfD",1,0,0,0.666666666666667,0,0.166666666666667,0,0,0,0.166666666666667
"14","nrfD",1,0,0,0.75,0,0,0,0,0.25,0
"15","rutD",1,0,0,1,0,0,0,0,0,0
"16","fadR",1,0,0,0,0,0.5,0,0,0.5,0
"17","aas",0,1,0,0,0,0,0,0,0,0
"18","trmJ",0,1,0,0,0,0,0,0,0,0
"19","tmk",0,1,0,0,0,0,0,0,0,0
"20","fadR",1,0,0,0,0,0.5,0,0,0.5,0
"21","pspF",0,1,0,0,0,0,0,0,0,0
"22","mlrA",1,0,0,0.5,0,0,0,0,0.5,0
"23","yfaX",0,1,0,0,0,0,0,0,0,0
"24","oxyR",1,0,0,0.75,0,0,0,0.25,0,0
"25","btsT",1,0,0,0,0,0,0,0.5,0.5,0
"26","glnQ",1,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0
"27","oppD",1,0,0.5,0,0,0,0.5,0,0,0
"28","ddpF",1,0,0,1,0,0,0,0,0,0
"29","ydeN",1,0,0,0.25,0,0,0,0,0.75,0
"30","yeaV",0,1,0,0,0,0,0,0,0,0
"31","fruB",0,1,0,0,0,0,0,0,0,0
"32","focB",1,0,0,0.666666666666667,0,0.166666666666667,0,0,0,0.166666666666667
"33","lgoT",0,1,0,0,0,0,0,0,0,0
"34","ivy",0,1,0,0,0,0,0,0,0,0
"35","yaiY",1,0,0,0,0,0.5,0,0,0.5,0
"36","ldtB",0,1,0,0,0,0,0,0,0,0
"37","ycfJ",0,1,0,0,0,0,0,0,0,0
"38","yciG",0,1,0,0,0,0,0,0,0,0
"39","ydcF",0,1,0,0,0,0,0,0,0,0
"40","mgrB",0,1,0,0,0,0,0,0,0,0
"41","letB",0,1,0,0,0,0,0,0,0,0
"42","yodD",0,1,0,0,0,0,0,0,0,0
"43","rcsD",1,0,0,0,0,0,0,0,1,0
"44","hda",0,1,0,0,0,0,0,0,0,0
"45","pgpC",0,1,0,0,0,0,0,0,0,0
