"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg"
"1","glnL",1,0,0.8,0,0,0.2,0,0,0,0,0,0
"2","metH",1,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0,0,0
"3","cheR",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0
"4","yjiA",0,1,0,0,0,0,0,0,0,0,0,0
"5","hslJ",0,1,0,0,0,0,0,0,0,0,0,0
"6","rcsA",1,0,0.2,0.6,0,0.2,0,0,0,0,0,0
"7","wcaF",0,1,0,0,0,0,0,0,0,0,0,0
"8","waaH",0,1,0,0,0,0,0,0,0,0,0,0
"9","ytfF",0,1,0,0,0,0,0,0,0,0,0,0
"10","cheW",1,0,0,1,0,0,0,0,0,0,0,0
"11","btsT",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"12","recA",0,1,0,0,0,0,0,0,0,0,0,0
"13","hyfD",1,0,0.285714285714286,0.571428571428571,0,0,0,0,0.142857142857143,0,0,0
"14","nrfD",1,0,0.219512195121951,0.121951219512195,0,0.439024390243903,0.024390243902439,0,0.0975609756097561,0,0.0975609756097561,0
"15","rutD",1,0,0.428571428571429,0.571428571428571,0,0,0,0,0,0,0,0
"16","fadR",0,1,0,0,0,0,0,0,0,0,0,0
"17","aas",0,1,0,0,0,0,0,0,0,0,0,0
"18","trmJ",0,1,0,0,0,0,0,0,0,0,0,0
"19","tmk",0,1,0,0,0,0,0,0,0,0,0,0
"20","fadR",0,1,0,0,0,0,0,0,0,0,0,0
"21","pspF",0,1,0,0,0,0,0,0,0,0,0,0
"22","mlrA",1,0,0,0.5,0,0,0,0,0.5,0,0,0
"23","yfaX",0,1,0,0,0,0,0,0,0,0,0,0
"24","oxyR",1,0,0.6,0,0,0,0,0,0.4,0,0,0
"25","btsT",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"26","glnQ",1,0,0.294117647058824,0.176470588235294,0,0.235294117647059,0.176470588235294,0,0,0,0.117647058823529,0
"27","oppD",1,0,0,0.333333333333333,0.5,0,0.0833333333333333,0,0,0.0833333333333333,0,0
"28","ddpF",1,0,1,0,0,0,0,0,0,0,0,0
"29","ydeN",1,0,0,0.4,0.3,0,0.2,0,0,0,0,0.1
"30","yeaV",0,1,0,0,0,0,0,0,0,0,0,0
"31","fruB",1,0,0,1,0,0,0,0,0,0,0,0
"32","focB",1,0,0.285714285714286,0.571428571428571,0,0,0,0,0.142857142857143,0,0,0
"33","lgoT",0,1,0,0,0,0,0,0,0,0,0,0
"34","ivy",0,1,0,0,0,0,0,0,0,0,0,0
"35","yaiY",0,1,0,0,0,0,0,0,0,0,0,0
"36","ldtB",0,1,0,0,0,0,0,0,0,0,0,0
"37","ycfJ",0,1,0,0,0,0,0,0,0,0,0,0
"38","yciG",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0
"39","ydcF",0,1,0,0,0,0,0,0,0,0,0,0
"40","mgrB",0,1,0,0,0,0,0,0,0,0,0,0
"41","letB",0,1,0,0,0,0,0,0,0,0,0,0
"42","yodD",0,1,0,0,0,0,0,0,0,0,0,0
"43","rcsD",0,1,0,0,0,0,0,0,0,0,0,0
"44","hda",0,1,0,0,0,0,0,0,0,0,0,0
"45","pgpC",0,1,0,0,0,0,0,0,0,0,0,0
"46","kbp",1,0,1,0,0,0,0,0,0,0,0,0
"47","ygaP",0,1,0,0,0,0,0,0,0,0,0,0
"48","lplT",0,1,0,0,0,0,0,0,0,0,0,0
"49","yhdN",1,0,1,0,0,0,0,0,0,0,0,0
"50","yhiJ",0,1,0,0,0,0,0,0,0,0,0,0
"51","yicN",0,1,0,0,0,0,0,0,0,0,0,0
"52","psiE",1,0,0,1,0,0,0,0,0,0,0,0
"53","yjcB",1,0,0,0,0,1,0,0,0,0,0,0
"54","pdeC",1,0,0,0.5,0,0.25,0,0,0,0.25,0,0
"55","yjeJ",0,1,0,0,0,0,0,0,0,0,0,0
"56","qorB",0,1,0,0,0,0,0,0,0,0,0,0
"57","bglJ",1,0,0,1,0,0,0,0,0,0,0,0
