"","Coherent","Incoherent","No_loop","Loop"
"1",0,1,0,1
"2",0.4375,0.5625,0,1
"3",0,0,1,0
"4",1,0,0,1
"5",0,0,1,0
"6",0,0,1,0
"7",0,0,1,0
"8",0,0,1,0
"9",0,0,1,0
"10",0,0,1,0
"11",0,0,1,0
"12",0.0666666666666667,0.933333333333334,0,1
"13",0,0,1,0
"14",0,0,1,0
"15",1,0,0,1
"16",0,0,1,0
"17",1,0,0,1
"18",0,0,1,0
"19",0,0,1,0
"20",0,0,1,0
"21",0,1,0,1
"22",0,0,1,0
"23",0,1,0,1
"24",0,0,1,0
"25",0,0,1,0
"26",0,1,0,1
"27",0,1,0,1
"28",1,0,0,1
"29",0.6,0.4,0,1
"30",0,0,1,0
"31",0,0,1,0
"32",0.354838709677419,0.64516129032258,0,1
"33",0.285714285714286,0.714285714285714,0,1
"34",1,0,0,1
"35",0,0,1,0
"36",0,0,1,0
"37",0,0,1,0
"38",0,0,1,0
"39",0,0,1,0
"40",1,0,0,1
"41",1,0,0,1
"42",0,0,1,0
"43",0.791666666666666,0.208333333333333,0,1
"44",0,0,1,0
"45",0,0,1,0
"46",0,1,0,1
"47",0.416666666666667,0.583333333333333,0,1
"48",0,1,0,1
"49",0,0,1,0
"50",0,0,1,0
"51",0,0,1,0
"52",0.511627906976744,0.488372093023256,0,1
"53",0.1,0.9,0,1
"54",0,1,0,1
"55",0,1,0,1
"56",0,1,0,1
"57",0.363636363636363,0.636363636363636,0,1
"58",0,0,1,0
"59",1,0,0,1
"60",1,0,0,1
"61",0,0,1,0
"62",0,0,1,0
"63",0,0,1,0
"64",0.666666666666667,0.333333333333333,0,1
"65",0.775,0.225,0,1
"66",0.175,0.825,0,1
"67",1,0,0,1
"68",0,1,0,1
"69",0.333333333333333,0.666666666666666,0,1
"70",0,0,1,0
"71",0,0,1,0
"72",0,0,1,0
"73",0,0,1,0
"74",0,0,1,0
"75",0,0,1,0
"76",0,0,1,0
"77",0,0,1,0
"78",0,0,1,0
"79",0,1,0,1
"80",0,0,1,0
"81",0,0,1,0
"82",0,1,0,1
"83",0,0,1,0
"84",0,0,1,0
"85",1,0,0,1
"86",0,0,1,0
"87",0,1,0,1
"88",0,0,1,0
"89",0,0,1,0
"90",0,0,1,0
"91",0,0,1,0
"92",0,0,1,0
"93",0,0,1,0
"94",0,0,1,0
"95",0,1,0,1
"96",0,0,1,0
"97",0,0,1,0
"98",0,1,0,1
"99",0,1,0,1
"100",0,0,1,0
"101",0,0,1,0
"102",1,0,0,1
"103",0,0,1,0
"104",1,0,0,1
"105",0,0,1,0
"106",0,0,1,0
"107",0,0,1,0
"108",0,0,1,0
"109",0,0,1,0
"110",0,1,0,1
"111",0,0,1,0
