"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"1","fumB",1,0,0,0,0,0,0,0,0,0,1
"2","hybE",1,0,0,0,0,0,0,0,0,0,1
"3","hybB",1,0,0,0,0,0,0,0,0,0,1
"4","dmsA",1,0,0.25,0,0,0,0.166666666666667,0,0,0.166666666666667,0.416666666666667
"5","hybF",1,0,0,0,0,0,0,0,0,0,1
"6","hybO",1,0,0,0,0,0,0,0,0,0,1
"7","tdcE",1,0,0,0.555555555555556,0,0,0,0.222222222222222,0,0,0.222222222222222
"8","clpA",0,1,0,0,0,0,0,0,0,0,0
"9","entF",1,0,0,0,0,0,0,0,0,0,1
"10","tdcD",1,0,0,0.555555555555556,0,0,0,0.222222222222222,0,0,0.222222222222222
"11","lysU",1,0,0,0,0,0,0,0,0,0,1
"12","ynfG",1,0,0,0,0,0,0,0,0,0,1
"13","pepE",0,1,0,0,0,0,0,0,0,0,0
"14","ansB",1,0,0,0,0,0,0,0,0,0,1
"15","ydcZ",0,1,0,0,0,0,0,0,0,0,0
"16","hypA",1,0,0,0.285714285714286,0,0.285714285714286,0,0.285714285714286,0,0,0.142857142857143
"17","tdcF",1,0,0,0.555555555555556,0,0,0,0.222222222222222,0,0,0.222222222222222
"18","phoH",1,0,0,0,0,0,0,0,0,0,1
"19","hybD",1,0,0,0,0,0,0,0,0,0,1
"20","ynfF",1,0,0,0,0,0,0,0,0,0,1
"21","tonB",0,1,0,0,0,0,0,0,0,0,0
"22","hybC",1,0,0,0,0,0,0,0,0,0,1
"23","hypB",1,0,0,0.4,0,0.2,0,0.2,0,0,0.2
"24","dcuB",1,0,0,0,0,0,0,0,0,0,1
"25","frdB",1,0,0,0,0,0,0,0,0,0,1
"26","hypC",1,0,0,0.4,0,0.2,0,0.2,0,0,0.2
"27","rsxE",0,1,0,0,0,0,0,0,0,0,0
"28","ybdZ",1,0,0,0,0,0,0,0,0,0,1
"29","leuA",1,0,0,0,0,0,0,0,0,0,1
