"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1","fumB",1,0,0.423076923076923,0.461538461538461,0.0384615384615385,0,0.0384615384615385,0,0,0.0384615384615385,0,0,0
"2","hybE",1,0,0,0,1,0,0,0,0,0,0,0,0
"3","hybB",1,0,0,0,1,0,0,0,0,0,0,0,0
"4","dmsA",1,0,0,0.263157894736842,0.210526315789474,0,0.157894736842105,0.157894736842105,0,0.105263157894737,0,0.105263157894737,0
"5","hybF",1,0,0,0,1,0,0,0,0,0,0,0,0
"6","hybO",1,0,0,0,1,0,0,0,0,0,0,0,0
"7","tdcE",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0,0
"8","clpA",0,1,0,0,0,0,0,0,0,0,0,0,0
"9","entF",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"10","tdcD",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0,0
"11","lysU",0,1,0,0,0,0,0,0,0,0,0,0,0
"12","ynfG",1,0,0.111111111111111,0.222222222222222,0,0.444444444444444,0.111111111111111,0,0.111111111111111,0,0,0,0
"13","pepE",0,1,0,0,0,0,0,0,0,0,0,0,0
"14","ansB",1,0,0.142857142857143,0.571428571428571,0,0,0.285714285714286,0,0,0,0,0,0
"15","ydcZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"16","hypA",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0
"17","hiuH",1,0,0.5,0,0,0.5,0,0,0,0,0,0,0
"18","grcA",1,0,0.230769230769231,0.461538461538462,0.153846153846154,0.0769230769230769,0,0,0,0.0769230769230769,0,0,0
"19","tdcF",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0,0
"20","phoH",1,0,0.25,0.5,0,0.25,0,0,0,0,0,0,0
"21","hybD",1,0,0,0,1,0,0,0,0,0,0,0,0
"22","ynfF",1,0,0.111111111111111,0.222222222222222,0,0.222222222222222,0.222222222222222,0.111111111111111,0.111111111111111,0,0,0,0
"23","tonB",0,1,0,0,0,0,0,0,0,0,0,0,0
"24","hybC",1,0,0,0,1,0,0,0,0,0,0,0,0
"25","hypB",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0,0
"26","dcuB",1,0,0.545454545454546,0.363636363636364,0,0,0,0,0,0.0909090909090909,0,0,0
"27","frdB",1,0,0.1875,0.375,0.0625,0.125,0,0,0.125,0.125,0,0,0
"28","hypC",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0,0
"29","rsxE",0,1,0,0,0,0,0,0,0,0,0,0,0
"30","ybdZ",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"31","leuA",0,1,0,0,0,0,0,0,0,0,0,0,0
"32","clpS",1,0,0,0,0,0,1,0,0,0,0,0,0
"33","icd",1,0,0.125,0,0.5,0,0.25,0.125,0,0,0,0,0
"34","sodA",1,0,0.0857142857142857,0.371428571428571,0.228571428571429,0.0714285714285714,0.1,0.0285714285714286,0.0428571428571429,0,0.0428571428571429,0.0285714285714286,0
"35","fis",1,0,0.2,0.2,0,0.6,0,0,0,0,0,0,0
"36","tdcA",1,0,0.5,0,0,0.125,0.125,0,0.25,0,0,0,0
"37","frdD",1,0,0.272727272727273,0.272727272727273,0,0.181818181818182,0,0,0.181818181818182,0.0909090909090909,0,0,0
"38","hypD",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0,0
"39","ydhV",1,0,0.166666666666667,0.333333333333333,0,0.333333333333333,0,0,0,0.166666666666667,0,0,0
"40","dmsB",1,0,0,0.263157894736842,0.210526315789474,0,0.157894736842105,0.157894736842105,0,0.105263157894737,0,0.105263157894737,0
"41","entB",1,0,0,1,0,0,0,0,0,0,0,0,0
"42","fhuF",1,0,0,0,1,0,0,0,0,0,0,0,0
"43","dcuA",1,0,0.545454545454546,0.363636363636364,0,0,0,0,0,0.0909090909090909,0,0,0
"44","pgl",0,1,0,0,0,0,0,0,0,0,0,0,0
"45","dmsD",1,0,0.166666666666667,0.333333333333333,0,0.333333333333333,0,0,0.166666666666667,0,0,0,0
"46","ydjA",0,1,0,0,0,0,0,0,0,0,0,0,0
"47","fepB",1,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"48","yhbW",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0
"49","mdtI",1,0,0,0,1,0,0,0,0,0,0,0,0
"50","fsr",0,1,0,0,0,0,0,0,0,0,0,0,0
"51","kbl",0,1,0,0,0,0,0,0,0,0,0,0,0
"52","kefB",0,1,0,0,0,0,0,0,0,0,0,0,0
"53","msrP",1,0,0.5,0,0,0.5,0,0,0,0,0,0,0
"54","serA",0,1,0,0,0,0,0,0,0,0,0,0,0
"55","glpQ",1,0,0.375,0.166666666666667,0.0416666666666667,0.0416666666666667,0.166666666666667,0.0416666666666667,0,0.166666666666667,0,0,0
"56","ldtD",0,1,0,0,0,0,0,0,0,0,0,0,0
"57","metJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"58","yceI",1,0,1,0,0,0,0,0,0,0,0,0,0
"59","preT",0,1,0,0,0,0,0,0,0,0,0,0,0
"60","smg",0,1,0,0,0,0,0,0,0,0,0,0,0
"61","ulaC",1,0,0,0.2,0.2,0,0.4,0.2,0,0,0,0,0
"62","ynfE",1,0,0.111111111111111,0.222222222222222,0,0.222222222222222,0.222222222222222,0.111111111111111,0.111111111111111,0,0,0,0
"63","ompW",1,0,0,0.333333333333333,0.583333333333333,0,0,0.0833333333333333,0,0,0,0,0
"64","efeO",0,1,0,0,0,0,0,0,0,0,0,0,0
"65","yqiA",0,1,0,0,0,0,0,0,0,0,0,0,0
"66","gltI",1,0,0.36,0,0,0.64,0,0,0,0,0,0,0
"67","ghoS",0,1,0,0,0,0,0,0,0,0,0,0,0
"68","dcuC",1,0,1,0,0,0,0,0,0,0,0,0,0
"69","yfeC",0,1,0,0,0,0,0,0,0,0,0,0,0
"70","leuD",0,1,0,0,0,0,0,0,0,0,0,0,0
"71","ycgM",0,1,0,0,0,0,0,0,0,0,0,0,0
"72","hybG",1,0,0,0,1,0,0,0,0,0,0,0,0
"73","fes",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"74","entA",1,0,0,1,0,0,0,0,0,0,0,0,0
"75","yoaB",0,1,0,0,0,0,0,0,0,0,0,0,0
"76","yjjI",0,1,0,0,0,0,0,0,0,0,0,0,0
"77","ogt",1,0,0,1,0,0,0,0,0,0,0,0,0
"78","mntH",1,0,0,1,0,0,0,0,0,0,0,0,0
"79","leuC",0,1,0,0,0,0,0,0,0,0,0,0,0
"80","shiA",1,0,0,0,0,0,1,0,0,0,0,0,0
"81","leuB",0,1,0,0,0,0,0,0,0,0,0,0,0
"82","gcvR",0,1,0,0,0,0,0,0,0,0,0,0,0
"83","entC",1,0,0,1,0,0,0,0,0,0,0,0,0
"84","ravA",1,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0,0,0,0
"85","selA",0,1,0,0,0,0,0,0,0,0,0,0,0
"86","efeU",0,1,0,0,0,0,0,0,0,0,0,0,0
"87","ispU",0,1,0,0,0,0,0,0,0,0,0,0,0
"88","msrA",0,1,0,0,0,0,0,0,0,0,0,0,0
"89","fadE",1,0,0.0909090909090909,0.636363636363636,0.272727272727273,0,0,0,0,0,0,0,0
"90","msrQ",1,0,0.5,0,0,0.5,0,0,0,0,0,0,0
"91","ugpC",0,1,0,0,0,0,0,0,0,0,0,0,0
"92","manZ",1,0,0,0.454545454545455,0.363636363636364,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0
"93","ccmD",1,0,0.242424242424242,0.0909090909090909,0,0.545454545454545,0,0,0.121212121212121,0,0,0,0
"94","ydhY",1,0,0.166666666666667,0.333333333333333,0,0.333333333333333,0,0,0,0.166666666666667,0,0,0
"95","yhjE",1,0,0,1,0,0,0,0,0,0,0,0,0
"96","fepC",0,1,0,0,0,0,0,0,0,0,0,0,0
"97","mgsA",0,1,0,0,0,0,0,0,0,0,0,0,0
"98","sucC",1,0,0.0810810810810811,0.324324324324324,0.189189189189189,0,0.162162162162162,0.0540540540540541,0.0540540540540541,0.0810810810810811,0,0.0540540540540541,0
"99","hypE",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0,0
"100","csrD",0,1,0,0,0,0,0,0,0,0,0,0,0
"101","pykA",1,0,0.25,0,0,0.5,0,0,0.25,0,0,0,0
"102","yaeP",0,1,0,0,0,0,0,0,0,0,0,0,0
"103","trmA",1,0,1,0,0,0,0,0,0,0,0,0,0
"104","pepD",1,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0,0
"105","yciH",1,0,1,0,0,0,0,0,0,0,0,0,0
"106","galT",1,0,0,0.25,0.25,0,0,0,0.0833333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0
"107","yhdH",0,1,0,0,0,0,0,0,0,0,0,0,0
"108","ynfH",1,0,0.166666666666667,0.333333333333333,0,0.333333333333333,0,0,0.166666666666667,0,0,0,0
"109","sodB",1,0,0,0,0.7,0,0.2,0.1,0,0,0,0,0
