"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg","NP_X"
"1","fumB",1,0,0,0.0769230769230769,0,0,0,0,0,0,0.923076923076923,0,0
"2","hybE",1,0,0,0,0,0,0,0,0,0,1,0,0
"3","hybB",1,0,0,0,0,0,0,0,0,0,1,0,0
"4","dmsA",1,0,0,0.105263157894737,0,0,0,0,0,0.105263157894737,0.684210526315789,0.105263157894737,0
"5","hybF",1,0,0,0,0,0,0,0,0,0,1,0,0
"6","hybO",1,0,0,0,0,0,0,0,0,0,1,0,0
"7","tdcE",1,0,0.166666666666667,0,0,0,0,0,0.333333333333333,0,0.5,0,0
"8","clpA",0,1,0,0,0,0,0,0,0,0,0,0,0
"9","entF",1,0,0,0,0,0,0,0,0,0,1,0,0
"10","tdcD",1,0,0.166666666666667,0,0,0,0,0,0.333333333333333,0,0.5,0,0
"11","lysU",0,1,0,0,0,0,0,0,0,0,0,0,0
"12","ynfG",1,0,0,0,0,0,0,0,0,0,1,0,0
"13","pepE",0,1,0,0,0,0,0,0,0,0,0,0,0
"14","ansB",1,0,0,0.285714285714286,0,0,0,0,0,0,0.714285714285714,0,0
"15","ydcZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"16","hypA",1,0,0,0,0,0.166666666666667,0,0,0.333333333333333,0,0.5,0,0
"17","tdcF",1,0,0.166666666666667,0,0,0,0,0,0.333333333333333,0,0.5,0,0
"18","phoH",1,0,0,0,0,0,0,0,0,0,1,0,0
"19","hybD",1,0,0,0,0,0,0,0,0,0,1,0,0
"20","ynfF",1,0,0,0,0,0,0,0,0,0,1,0,0
"21","tonB",0,1,0,0,0,0,0,0,0,0,0,0,0
"22","hybC",1,0,0,0,0,0,0,0,0,0,1,0,0
"23","hypB",1,0,0.166666666666667,0,0,0.0833333333333333,0,0,0.333333333333333,0,0.416666666666667,0,0
"24","dcuB",1,0,0,0,0,0,0,0,0,0,1,0,0
"25","frdB",1,0,0,0,0,0,0,0,0,0.0625,0.9375,0,0
"26","hypC",1,0,0.166666666666667,0,0,0.0833333333333333,0,0,0.333333333333333,0,0.416666666666667,0,0
"27","rsxE",0,1,0,0,0,0,0,0,0,0,0,0,0
"28","ybdZ",1,0,0,0,0,0,0,0,0,0,1,0,0
"29","leuA",0,1,0,0,0,0,0,0,0,0,0,0,0
"30","clpS",1,0,0,0,0,0,1,0,0,0,0,0,0
"31","icd",1,0,0,0,0,0,0,0,0,0,1,0,0
"32","sodA",1,0,0,0,0,0,0.0142857142857143,0,0.0142857142857143,0,0.942857142857141,0.0285714285714286,0
"33","fis",1,0,0,0,0,0,0,0,0,0,1,0,0
"34","tdcA",1,0,0,0,0,0,0,0,0.25,0,0.75,0,0
"35","frdD",1,0,0,0,0,0,0,0,0,0,1,0,0
"36","hypD",1,0,0.166666666666667,0,0,0.0833333333333333,0,0,0.333333333333333,0,0.416666666666667,0,0
"37","ydhV",1,0,0,0,0,0,0,0,0,0,1,0,0
"38","dmsB",1,0,0,0.105263157894737,0,0,0,0,0,0.105263157894737,0.684210526315789,0.105263157894737,0
"39","entB",1,0,0,0,0,0,0,0,0,0,1,0,0
"40","fhuF",1,0,0,0,0,0,0,0,0,0,1,0,0
"41","dcuA",1,0,0,0,0,0,0,0,0,0,1,0,0
"42","pgl",0,1,0,0,0,0,0,0,0,0,0,0,0
"43","dmsD",1,0,0,0,0,0,0,0,0,0,1,0,0
"44","ydjA",0,1,0,0,0,0,0,0,0,0,0,0,0
"45","fepB",1,0,0,0,0,0,0,0,0,0,1,0,0
"46","yhbW",1,0,0,0,0,0,0,0,0,0,1,0,0
"47","mdtI",1,0,0,0,0,0,0,0,0,0,1,0,0
"48","fsr",0,1,0,0,0,0,0,0,0,0,0,0,0
"49","kbl",0,1,0,0,0,0,0,0,0,0,0,0,0
"50","kefB",0,1,0,0,0,0,0,0,0,0,0,0,0
"51","serA",0,1,0,0,0,0,0,0,0,0,0,0,0
"52","glpQ",1,0,0.0833333333333333,0,0,0,0,0,0,0.166666666666667,0.75,0,0
"53","metJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"54","yceI",1,0,0,0,0,0,0,0,0,0,1,0,0
"55","smg",0,1,0,0,0,0,0,0,0,0,0,0,0
"56","ulaC",1,0,0,0,0,0,0,0,0,0,1,0,0
"57","ynfE",1,0,0,0,0,0,0,0,0,0,1,0,0
"58","ompW",1,0,0,0,0,0,0,0,0,0,1,0,0
"59","efeO",0,1,0,0,0,0,0,0,0,0,0,0,0
"60","yqiA",0,1,0,0,0,0,0,0,0,0,0,0,0
"61","gltI",1,0,0.08,0,0,0.32,0,0,0,0,0.6,0,0
"62","dcuC",1,0,0,0,0,0,0,0,0,0,1,0,0
"63","yfeC",0,1,0,0,0,0,0,0,0,0,0,0,0
"64","leuD",0,1,0,0,0,0,0,0,0,0,0,0,0
"65","ycgM",0,1,0,0,0,0,0,0,0,0,0,0,0
"66","hybG",1,0,0,0,0,0,0,0,0,0,1,0,0
"67","fes",1,0,0,0,0,0,0,0,0,0,1,0,0
"68","entA",1,0,0,0,0,0,0,0,0,0,1,0,0
"69","yoaB",0,1,0,0,0,0,0,0,0,0,0,0,0
"70","yjjI",0,1,0,0,0,0,0,0,0,0,0,0,0
"71","ogt",1,0,0,0,0,0,0,0,0,0,1,0,0
"72","mntH",1,0,0,0,0,0,0,0,0,0,1,0,0
"73","leuC",0,1,0,0,0,0,0,0,0,0,0,0,0
