"","V1","Loop_number","No_loop","Loop"
"1","fumB",15,0,1
"2","hybE",2,0,1
"3","hybB",2,0,1
"4","dmsA",12,0,1
"5","hybF",2,0,1
"6","hybO",2,0,1
"7","tdcE",9,0,1
"8","clpA",0,0,1
"9","entF",4,0,1
"10","tdcD",9,0,1
"11","lysU",3,0,1
"12","ynfG",5,0,1
"13","pepE",0,0,1
"14","ansB",5,0,1
"15","ydcZ",0,0,1
"16","hypA",7,0,1
"17","tdcF",9,0,1
"18","phoH",6,0,1
"19","hybD",2,0,1
"20","ynfF",5,0,1
"21","tonB",0,0,1
"22","hybC",2,0,1
"23","hypB",10,0,1
"24","dcuB",10,0,1
"25","frdB",8,0,1
"26","hypC",10,0,1
"27","rsxE",0,0,1
"28","ybdZ",4,0,1
"29","leuA",1,0,1
"30","clpS",0,0,1
"31","icd",6,0,1
"32","sodA",33,0,1
"33","fis",9,0,1
"34","tdcA",6,0,1
"35","frdD",7,0,1
"36","hypD",10,0,1
"37","ydhV",1,0,1
"38","dmsB",12,0,1
"39","entB",3,0,1
"40","fhuF",4,0,1
"41","dcuA",10,0,1
"42","pgl",0,0,1
"43","dmsD",4,0,1
"44","ydjA",0,0,1
"45","fepB",2,0,1
"46","yhbW",4,0,1
"47","mdtI",2,0,1
"48","fsr",0,0,1
"49","kbl",0,0,1
"50","kefB",0,0,1
"51","serA",1,0,1
"52","glpQ",13,0,1
"53","metJ",1,0,1
"54","yceI",2,0,1
"55","smg",0,0,1
"56","ulaC",4,0,1
"57","ynfE",5,0,1
"58","ompW",3,0,1
"59","efeO",0,0,1
"60","yqiA",0,0,1
"61","gltI",5,0,1
"62","dcuC",1,0,1
"63","yfeC",0,0,1
"64","leuD",1,0,1
"65","ycgM",0,0,1
"66","hybG",2,0,1
"67","fes",4,0,1
"68","entA",3,0,1
"69","yoaB",0,0,1
"70","yjjI",0,0,1
"71","ogt",0,0,1
"72","mntH",4,0,1
"73","leuC",1,0,1
"74","shiA",1,0,1
"75","leuB",1,0,1
"76","gcvR",0,0,1
"77","entC",3,0,1
"78","ravA",0,0,1
"79","selA",0,0,1
"80","efeU",0,0,1
"81","ispU",0,0,1
"82","msrA",0,0,1
"83","fadE",1,0,1
"84","ugpC",1,0,1
"85","manZ",6,0,1
"86","ccmD",6,0,1
"87","ydhY",1,0,1
"88","yhjE",2,0,1
"89","fepC",1,0,1
"90","mgsA",0,0,1
"91","sucC",20,0,1
"92","hypE",10,0,1
"93","csrD",0,0,1
"94","pykA",2,0,1
"95","yaeP",0,0,1
"96","trmA",0,0,1
"97","pepD",2,0,1
"98","yciH",2,0,1
"99","galT",3,0,1
"100","yhdH",0,0,1
"101","ynfH",4,0,1
"102","sodB",7,0,1
"103","sstT",2,0,1
