"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg"
"1","fumB",1,0,0.423076923076923,0.461538461538461,0.0384615384615385,0,0.0384615384615385,0,0,0.0384615384615385,0,0
"2","hybE",1,0,0,0,1,0,0,0,0,0,0,0
"3","hybB",1,0,0,0,1,0,0,0,0,0,0,0
"4","dmsA",1,0,0,0.263157894736842,0.210526315789474,0,0.157894736842105,0.157894736842105,0,0.105263157894737,0,0.105263157894737
"5","hybF",1,0,0,0,1,0,0,0,0,0,0,0
"6","nrdE",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0
"7","hybO",1,0,0,0,1,0,0,0,0,0,0,0
"8","yncE",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"9","tdcE",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0
"10","treC",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"11","clpA",0,1,0,0,0,0,0,0,0,0,0,0
"12","entF",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"13","tdcD",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0
"14","lysU",0,1,0,0,0,0,0,0,0,0,0,0
"15","ynfG",1,0,0.111111111111111,0.222222222222222,0,0.444444444444444,0.111111111111111,0,0.111111111111111,0,0,0
"16","pepE",0,1,0,0,0,0,0,0,0,0,0,0
"17","tdcC",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0
"18","ansB",1,0,0.142857142857143,0.571428571428571,0,0,0.285714285714286,0,0,0,0,0
"19","hybA",1,0,0,0,1,0,0,0,0,0,0,0
"20","ydcZ",0,1,0,0,0,0,0,0,0,0,0,0
"21","hypA",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0
"22","tdcF",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0
"23","phoH",1,0,0.25,0.5,0,0.25,0,0,0,0,0,0
"24","hybD",1,0,0,0,1,0,0,0,0,0,0,0
"25","ynfF",1,0,0.111111111111111,0.222222222222222,0,0.222222222222222,0.222222222222222,0.111111111111111,0.111111111111111,0,0,0
"26","tdcB",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0
"27","frdC",1,0,0.272727272727273,0.272727272727273,0,0.181818181818182,0,0,0.181818181818182,0.0909090909090909,0,0
"28","tonB",0,1,0,0,0,0,0,0,0,0,0,0
"29","frdA",1,0,0.1875,0.375,0.0625,0.125,0,0,0.125,0.125,0,0
"30","treB",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"31","hybC",1,0,0,0,1,0,0,0,0,0,0,0
"32","hypB",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0
"33","nrdI",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0
"34","dcuB",1,0,0.545454545454546,0.363636363636364,0,0,0,0,0,0.0909090909090909,0,0
"35","sufC",1,0,0.461538461538462,0.307692307692308,0,0.230769230769231,0,0,0,0,0,0
"36","frdB",1,0,0.1875,0.375,0.0625,0.125,0,0,0.125,0.125,0,0
"37","hypC",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0
"38","rsxE",0,1,0,0,0,0,0,0,0,0,0,0
"39","sufD",1,0,0.461538461538462,0.307692307692308,0,0.230769230769231,0,0,0,0,0,0
"40","ybdZ",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"41","leuA",0,1,0,0,0,0,0,0,0,0,0,0
"42","clpS",1,0,0,0,0,0,1,0,0,0,0,0
"43","icd",1,0,0.125,0,0.5,0,0.25,0.125,0,0,0,0
