"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1","frmA",0,1,0,0,0,0,0,0,0
"2","marA",1,0,0.333333333333333,0.666666666666667,0.133333333333333,0.133333333333333,0.2,0.533333333333333,0
"3","rprA",1,0,0,1,0,0.111111111111111,0.111111111111111,0.777777777777778,0
"4","phoP",1,0,0,1,0,0,0,1,0
"5","rclA",0,1,0,0,0,0,0,0,0
"6","rclC",0,1,0,0,0,0,0,0,0
"7","rclB",0,1,0,0,0,0,0,0,0
"8","tsuB",0,1,0,0,0,0,0,0,0
"9","yjgH",0,1,0,0,0,0,0,0,0
"10","yfcF",0,1,0,0,0,0,0,0,0
"11","recN",0,1,0,0,0,0,0,0,0
"12","nfo",0,1,0,0,0,0,0,0,0
"13","hscA",0,1,0,0,0,0,0,0,0
"14","iscX",0,1,0,0,0,0,0,0,0
"15","cbl",0,1,0,0,0,0,0,0,0
"16","cysC",0,1,0,0,0,0,0,0,0
"17","cysH",0,1,0,0,0,0,0,0,0
"18","cysA",0,1,0,0,0,0,0,0,0
"19","cysW",0,1,0,0,0,0,0,0,0
"20","comR",0,1,0,0,0,0,0,0,0
"21","kefC",0,1,0,0,0,0,0,0,0
"22","tcyN",0,1,0,0,0,0,0,0,0
"23","cynT",0,1,0,0,0,0,0,0,0
"24","cynS",0,1,0,0,0,0,0,0,0
"25","cynX",0,1,0,0,0,0,0,0,0
"26","yqhG",0,1,0,0,0,0,0,0,0
"27","arnB",0,1,0,0,0,0,0,0,0
"28","osmY",0,1,0,0,0,0,0,0,0
"29","gadB",0,1,0,0,0,0,0,0,0
"30","dps",0,1,0,0,0,0,0,0,0
"31","add",0,1,0,0,0,0,0,0,0
"32","ahpF",0,1,0,0,0,0,0,0,0
"33","clpB",0,1,0,0,0,0,0,0,0
"34","dnaJ",0,1,0,0,0,0,0,0,0
"35","dnaK",0,1,0,0,0,0,0,0,0
"36","grxA",0,1,0,0,0,0,0,0,0
"37","gshA",0,1,0,0,0,0,0,0,0
