"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"1","frmA",0,1,0,0,0,0,0,0,0,0,0
"2","marA",1,0,0,0.210526315789474,0,0.0526315789473684,0.105263157894737,0.105263157894737,0.473684210526316,0.0526315789473684,0
"3","rprA",0,1,0,0,0,0,0,0,0,0,0
"4","phoP",0,1,0,0,0,0,0,0,0,0,0
"5","rclB",0,1,0,0,0,0,0,0,0,0,0
"6","tsuA",0,1,0,0,0,0,0,0,0,0,0
"7","tsuB",0,1,0,0,0,0,0,0,0,0,0
"8","hiuH",1,0,0,1,0,0,0,0,0,0,0
"9","msrP",1,0,0,1,0,0,0,0,0,0,0
"10","msrQ",1,0,0,1,0,0,0,0,0,0,0
"11","yjgH",0,1,0,0,0,0,0,0,0,0,0
"12","bdcA",0,1,0,0,0,0,0,0,0,0,0
"13","yfcF",0,1,0,0,0,0,0,0,0,0,0
"14","recN",1,0,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0
"15","nfo",1,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0
"16","hscA",0,1,0,0,0,0,0,0,0,0,0
"17","iscX",0,1,0,0,0,0,0,0,0,0,0
"18","cbl",1,0,0,0.6,0,0,0,0.2,0.2,0,0
"19","cysC",1,0,0,1,0,0,0,0,0,0,0
"20","cysH",1,0,0,0.5,0,0,0,0.5,0,0,0
"21","cysA",1,0,0,0.5,0,0,0,0,0.5,0,0
"22","cysW",1,0,0,0.5,0,0,0,0,0.5,0,0
"23","bhsA",1,0,0,0.4,0,0,0.2,0,0.2,0.2,0
"24","ldtC",1,0,0,1,0,0,0,0,0,0,0
"25","comR",0,1,0,0,0,0,0,0,0,0,0
"26","kefC",0,1,0,0,0,0,0,0,0,0,0
"27","tcyN",0,1,0,0,0,0,0,0,0,0,0
"28","msrP",1,0,0,1,0,0,0,0,0,0,0
"29","msrQ",1,0,0,1,0,0,0,0,0,0,0
"30","cynT",1,0,0,0.5,0,0.5,0,0,0,0,0
"31","cynS",1,0,0,1,0,0,0,0,0,0,0
"32","cynX",1,0,0,1,0,0,0,0,0,0,0
"33","yqhG",0,1,0,0,0,0,0,0,0,0,0
"34","arnB",0,1,0,0,0,0,0,0,0,0,0
"35","osmY",1,0,0.15,0.05,0,0.1,0.3,0,0.4,0,0
"36","gadB",1,0,0.0606060606060606,0.393939393939394,0,0.272727272727273,0.0606060606060606,0,0.212121212121212,0,0
"37","dps",1,0,0.0714285714285714,0.428571428571428,0,0,0,0.142857142857143,0.357142857142857,0,0
"38","add",1,0,0,1,0,0,0,0,0,0,0
"39","ahpF",1,0,0,0.75,0,0,0,0,0.25,0,0
"40","clpB",1,0,0,1,0,0,0,0,0,0,0
"41","dnaJ",0,1,0,0,0,0,0,0,0,0,0
"42","dnaK",0,1,0,0,0,0,0,0,0,0,0
