"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"1","frmA",0,1,0,0,0,0,0,0,0,0,0
"2","marA",1,0,0,0,0,0,0,0,0,0,1
"3","rprA",0,1,0,0,0,0,0,0,0,0,0
"4","phoP",0,1,0,0,0,0,0,0,0,0,0
"5","rclB",0,1,0,0,0,0,0,0,0,0,0
"6","tsuA",0,1,0,0,0,0,0,0,0,0,0
"7","tsuB",0,1,0,0,0,0,0,0,0,0,0
"8","hiuH",1,0,0,0,0,0,0,0,0,0,1
"9","msrP",1,0,0,0,0,0,0,0,0,0,1
"10","msrQ",1,0,0,0,0,0,0,0,0,0,1
"11","yjgH",0,1,0,0,0,0,0,0,0,0,0
"12","bdcA",0,1,0,0,0,0,0,0,0,0,0
"13","yfcF",0,1,0,0,0,0,0,0,0,0,0
"14","recN",1,0,0,0,0,0,0,0,0,0,1
"15","nfo",1,0,0,0,0,0,0,0.166666666666667,0,0,0.833333333333333
"16","hscA",0,1,0,0,0,0,0,0,0,0,0
"17","iscX",0,1,0,0,0,0,0,0,0,0,0
"18","cbl",1,0,0,0,0,0,0,0,0,0,1
"19","cysC",1,0,0,0,0,0,0,0,0,0,1
"20","cysH",1,0,0,0,0,0,0,0,0,0,1
"21","cysA",1,0,0,0,0,0,0,0,0,0,1
"22","cysW",1,0,0,0,0,0,0,0,0,0,1
"23","bhsA",1,0,0,0,0,0,0,0,0,0,1
"24","ldtC",1,0,0,0,0,0,0,0,0,0,1
"25","comR",0,1,0,0,0,0,0,0,0,0,0
"26","kefC",0,1,0,0,0,0,0,0,0,0,0
"27","tcyN",0,1,0,0,0,0,0,0,0,0,0
"28","msrP",1,0,0,0,0,0,0,0,0,0,1
"29","msrQ",1,0,0,0,0,0,0,0,0,0,1
"30","cynT",1,0,0,0,0,0,0,0,0,0,1
"31","cynS",1,0,0,0,0,0,0,0,0,0,1
"32","cynX",1,0,0,0,0,0,0,0,0,0,1
"33","yqhG",0,1,0,0,0,0,0,0,0,0,0
"34","arnB",0,1,0,0,0,0,0,0,0,0,0
"35","osmY",1,0,0,0,0,0,0,0,0,0,1
"36","gadB",1,0,0,0,0,0.0303030303030303,0,0,0,0,0.969696969696969
"37","dps",1,0,0,0,0,0,0,0,0,0,1
"38","add",1,0,0,0,0,0,0,0,0,0,1
"39","ahpF",1,0,0,0.25,0,0,0,0,0,0,0.75
"40","clpB",1,0,0,0.5,0,0,0,0,0,0,0.5
"41","dnaJ",0,1,0,0,0,0,0,0,0,0,0
"42","dnaK",0,1,0,0,0,0,0,0,0,0,0
"43","grxA",0,1,0,0,0,0,0,0,0,0,0
"44","gshA",0,1,0,0,0,0,0,0,0,0,0
"45","gshB",0,1,0,0,0,0,0,0,0,0,0
"46","marB",1,0,0,0.0357142857142857,0,0.107142857142857,0.0357142857142857,0,0.0357142857142857,0,0.785714285714285
"47","marR",1,0,0,0.0555555555555556,0,0.111111111111111,0,0,0,0,0.833333333333334
"48","proP",1,0,0,0,0,0,0,0,0,0,1
"49","htpX",1,0,0,0,0,0,0,0,0,0,1
"50","katG",1,0,0,0,0.2,0,0,0,0,0,0.8
"51","groL",1,0,0,0.5,0,0,0,0,0,0,0.5
"52","groS",1,0,0,0.2,0,0,0,0,0,0,0.8
"53","hslO",0,1,0,0,0,0,0,0,0,0,0
"54","hslU",0,1,0,0,0,0,0,0,0,0,0
"55","hslV",0,1,0,0,0,0,0,0,0,0,0
"56","htpG",1,0,0,0,0,0,0,0,0,0,1
"57","osmB",1,0,0,0,0,0,0,0,0,0,1
"58","ybjC",1,0,0,0,0,0,0,0,0,0,1
"59","yccA",1,0,0,0,0,0,0,0,0,0,1
"60","spy",1,0,0,0.5,0,0,0,0,0,0,0.5
"61","yebE",1,0,0,0,0,0,0,0,0,0,1
"62","nrdF",1,0,0,0,0,0,0,0,0,0,1
"63","phoB",0,1,0,0,0,0,0,0,0,0,0
"64","phoU",1,0,0,0,0,0,0,0,0,0,1
"65","ahpC",1,0,0,0,0,0,0,0,0,0,1
"66","fdx",0,1,0,0,0,0,0,0,0,0,0
"67","ndh",1,0,0,0,0,0,0,0,0,0,1
"68","pepB",0,1,0,0,0,0,0,0,0,0,0
"69","pstA",1,0,0,0,0,0,0,0,0,0,1
"70","pstB",1,0,0,0,0,0,0,0,0,0,1
"71","pstC",1,0,0,0,0.0833333333333333,0,0,0,0,0,0.916666666666667
"72","pstS",1,0,0,0,0.0833333333333333,0,0,0,0,0,0.916666666666667
"73","tcyJ",1,0,0,0,0,0.0303030303030303,0,0,0,0,0.969696969696969
"74","rpoS",1,0,0,0,0,0,0,0,0,0,1
"75","mcbA",0,1,0,0,0,0,0,0,0,0,0
"76","iscR",1,0,0,0,0,0,0,0,0,0,1
"77","nrdE",1,0,0,0,0,0,0,0,0,0,1
"78","nrdH",1,0,0,0,0,0,0,0,0,0,1
"79","nrdI",1,0,0,0,0,0,0,0,0,0,1
"80","sufA",1,0,0,0,0,0,0,0,0,0,1
"81","sufB",1,0,0,0,0,0,0,0,0,0,1
"82","sufC",1,0,0,0,0,0,0,0,0,0,1
"83","sufD",1,0,0,0,0,0,0,0,0,0,1
"84","sufE",1,0,0,0,0,0,0,0,0,0,1
"85","sufS",1,0,0,0,0,0,0,0,0,0,1
"86","sodA",1,0,0,0,0,0,0,0,0,0,0.999999999999999
"87","msrA",0,1,0,0,0,0,0,0,0,0,0
"88","sodB",1,0,0,0,0,0,0,0,0,0,1
"89","iscA",1,0,0,0,0,0,0,0,0,0,1
"90","chaA",0,1,0,0,0,0,0,0,0,0,0
"91","uspE",0,1,0,0,0,0,0,0,0,0,0
"92","cysK",1,0,0,0,0,0,0,0,0,0,1
"93","osmC",1,0,0,0,0,0,0,0,0,0,1
"94","iscU",1,0,0,0,0,0,0,0,0,0,1
"95","phoA",1,0,0,0,0,0,0,0,0,0,1
"96","yqhD",0,1,0,0,0,0,0,0,0,0,0
"97","pspA",1,0,0,0,0,0,0,0,0,0,1
"98","inaA",1,0,0,0.555555555555556,0,0,0,0.111111111111111,0.111111111111111,0,0.222222222222222
"99","soxS",1,0,0,0.2,0,0.1,0.1,0,0.4,0,0.2
"100","cysM",1,0,0,0.5,0,0,0,0,0.5,0,0
"101","lysA",1,0,0,0.5,0,0,0,0.5,0,0,0
"102","frmR",0,1,0,0,0,0,0,0,0,0,0
"103","cysD",1,0,0,1,0,0,0,0,0,0,0
"104","cysN",1,0,0,1,0,0,0,0,0,0,0
"105","cysJ",1,0,0,0.333333333333333,0,0.166666666666667,0.166666666666667,0,0,0,0.333333333333333
"106","uspA",1,0,0,0.25,0,0,0,0,0.25,0,0.5
"107","osmE",1,0,0,0.111111111111111,0,0,0,0,0.222222222222222,0,0.666666666666667
"108","otsB",0,1,0,0,0,0,0,0,0,0,0
"109","sodC",0,1,0,0,0,0,0,0,0,0,0
"110","yfcG",0,1,0,0,0,0,0,0,0,0,0
"111","otsA",0,1,0,0,0,0,0,0,0,0,0
"112","hscB",0,1,0,0,0,0,0,0,0,0,0
"113","katE",1,0,0,0,0,0,0,1,0,0,0
"114","degP",1,0,0,0,0,0,0,0,0,0,1
"115","cysI",1,0,0,0.5,0,0,0,0,0,0,0.5
"116","cpxP",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333
"117","cysP",1,0,0,0.5,0,0,0,0,0.5,0,0
"118","frmB",0,1,0,0,0,0,0,0,0,0,0
"119","soxR",1,0,0,0,0,0,0.25,0,0.75,0,0
"120","sbp",0,1,0,0,0,0,0,0,0,0,0
"121","iscS",1,0,0,0,0,0,0,0,1,0,0
"122","yciW",1,0,0,1,0,0,0,0,0,0,0
"123","clpP",1,0,0,0.666666666666667,0,0,0,0,0,0,0.333333333333333
"124","phoR",1,0,0,0.5,0,0,0,0,0,0,0.5
"125","yhhW",0,1,0,0,0,0,0,0,0,0,0
