"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1","frmA",0,1,0,0,0,0,0,0,0,0,0,0,0
"2","marA",1,0,0.162162162162162,0.486486486486487,0.162162162162162,0.027027027027027,0.0540540540540541,0,0,0.027027027027027,0.0810810810810811,0,0
"3","rprA",1,0,1,0,0,0,0,0,0,0,0,0,0
"4","phoP",1,0,0,1,0,0,0,0,0,0,0,0,0
"5","rclA",0,1,0,0,0,0,0,0,0,0,0,0,0
"6","rclC",0,1,0,0,0,0,0,0,0,0,0,0,0
"7","rclB",0,1,0,0,0,0,0,0,0,0,0,0,0
"8","tsuB",0,1,0,0,0,0,0,0,0,0,0,0,0
"9","yjgH",0,1,0,0,0,0,0,0,0,0,0,0,0
"10","yfcF",0,1,0,0,0,0,0,0,0,0,0,0,0
"11","recN",1,0,0,0,1,0,0,0,0,0,0,0,0
"12","nfo",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0
"13","hscA",0,1,0,0,0,0,0,0,0,0,0,0,0
"14","iscX",0,1,0,0,0,0,0,0,0,0,0,0,0
"15","cbl",1,0,0.428571428571429,0.428571428571429,0,0,0.142857142857143,0,0,0,0,0,0
"16","cysC",0,1,0,0,0,0,0,0,0,0,0,0,0
"17","cysH",1,0,0.4,0,0,0.6,0,0,0,0,0,0,0
"18","cysA",1,0,0,1,0,0,0,0,0,0,0,0,0
"19","cysW",1,0,0,1,0,0,0,0,0,0,0,0,0
"20","comR",0,1,0,0,0,0,0,0,0,0,0,0,0
"21","kefC",0,1,0,0,0,0,0,0,0,0,0,0,0
"22","tcyN",0,1,0,0,0,0,0,0,0,0,0,0,0
"23","cynT",0,1,0,0,0,0,0,0,0,0,0,0,0
"24","cynS",0,1,0,0,0,0,0,0,0,0,0,0,0
"25","cynX",0,1,0,0,0,0,0,0,0,0,0,0,0
"26","yqhG",1,0,0.5,0,0,0.5,0,0,0,0,0,0,0
"27","arnB",0,1,0,0,0,0,0,0,0,0,0,0,0
"28","osmY",1,0,0,0.136363636363636,0.363636363636364,0,0.0909090909090909,0.181818181818182,0.0227272727272727,0.0909090909090909,0,0.113636363636364,0
"29","gadB",1,0,0.160919540229885,0.32183908045977,0.114942528735632,0.103448275862069,0.0804597701149425,0.0229885057471264,0.0459770114942529,0.0459770114942529,0.0574712643678161,0.0459770114942529,0
"30","dps",1,0,0.176470588235294,0.294117647058824,0.0882352941176471,0.0882352941176471,0.0882352941176471,0,0.117647058823529,0.0588235294117647,0.0882352941176471,0,0
"31","add",0,1,0,0,0,0,0,0,0,0,0,0,0
"32","ahpF",1,0,0.5,0.333333333333333,0,0,0,0,0.166666666666667,0,0,0,0
"33","clpB",1,0,1,0,0,0,0,0,0,0,0,0,0
"34","dnaJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"35","dnaK",0,1,0,0,0,0,0,0,0,0,0,0,0
"36","grxA",0,1,0,0,0,0,0,0,0,0,0,0,0
"37","gshA",0,1,0,0,0,0,0,0,0,0,0,0,0
"38","gshB",0,1,0,0,0,0,0,0,0,0,0,0,0
"39","marB",1,0,0.25,0.425,0.025,0.05,0.075,0,0.075,0.025,0.075,0,0
"40","marR",1,0,0.44,0.28,0,0.16,0,0,0.12,0,0,0,0
"41","proP",1,0,0.428571428571429,0,0,0.142857142857143,0,0,0.428571428571429,0,0,0,0
"42","htpX",1,0,0,0.5,0,0,0,0,0,0.5,0,0,0
"43","katG",1,0,0.235294117647059,0.352941176470588,0,0,0.117647058823529,0.0588235294117647,0,0.117647058823529,0.0588235294117647,0.0588235294117647,0
"44","groL",1,0,1,0,0,0,0,0,0,0,0,0,0
"45","groS",1,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0
"46","hslO",0,1,0,0,0,0,0,0,0,0,0,0,0
"47","hslU",0,1,0,0,0,0,0,0,0,0,0,0,0
"48","hslV",0,1,0,0,0,0,0,0,0,0,0,0,0
"49","htpG",1,0,0.333333333333333,0.5,0,0,0,0,0,0,0.166666666666667,0,0
"50","osmB",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0
"51","ybjC",1,0,0.166666666666667,0.5,0,0.166666666666667,0,0,0.166666666666667,0,0,0,0
"52","bhsA",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0
"53","yccA",0,1,0,0,0,0,0,0,0,0,0,0,0
"54","ldtC",1,0,0,1,0,0,0,0,0,0,0,0,0
"55","spy",1,0,1,0,0,0,0,0,0,0,0,0,0
"56","yebE",0,1,0,0,0,0,0,0,0,0,0,0,0
"57","nrdF",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"58","phoB",0,1,0,0,0,0,0,0,0,0,0,0,0
"59","phoU",1,0,0.411764705882353,0,0,0.294117647058824,0,0,0.294117647058824,0,0,0,0
"60","ahpC",1,0,0,0.5,0,0,0.5,0,0,0,0,0,0
"61","fdx",0,1,0,0,0,0,0,0,0,0,0,0,0
"62","ndh",1,0,0,0,0.736842105263158,0,0.105263157894737,0.0526315789473684,0,0,0,0.105263157894737,0
"63","pepB",0,1,0,0,0,0,0,0,0,0,0,0,0
"64","pstA",1,0,0.411764705882353,0,0,0.294117647058824,0,0,0.294117647058824,0,0,0,0
"65","pstB",1,0,0.318181818181818,0.181818181818182,0,0.227272727272727,0,0,0.227272727272727,0,0.0454545454545455,0,0
"66","pstC",1,0,0.368421052631579,0,0,0.263157894736842,0.105263157894737,0,0.263157894736842,0,0,0,0
"67","pstS",1,0,0.368421052631579,0,0,0.263157894736842,0.105263157894737,0,0.263157894736842,0,0,0,0
"68","tcyJ",1,0,0.121428571428571,0.2,0.128571428571429,0.157142857142857,0.2,0.0357142857142857,0,0.0571428571428571,0.0714285714285714,0.0285714285714286,0
"69","rpoS",1,0,0.105263157894737,0.473684210526316,0.298245614035088,0,0.0175438596491228,0,0.0526315789473684,0.0175438596491228,0.0350877192982456,0,0
"70","mcbA",0,1,0,0,0,0,0,0,0,0,0,0,0
"71","iscR",0,1,0,0,0,0,0,0,0,0,0,0,0
"72","nrdE",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"73","nrdH",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"74","nrdI",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"75","sufA",1,0,0.461538461538462,0.307692307692308,0,0.230769230769231,0,0,0,0,0,0,0
"76","sufB",1,0,0.461538461538462,0.307692307692308,0,0.230769230769231,0,0,0,0,0,0,0
"77","sufC",1,0,0.461538461538462,0.307692307692308,0,0.230769230769231,0,0,0,0,0,0,0
"78","sufD",1,0,0.461538461538462,0.307692307692308,0,0.230769230769231,0,0,0,0,0,0,0
"79","sufE",1,0,0.461538461538462,0.307692307692308,0,0.230769230769231,0,0,0,0,0,0,0
"80","sufS",1,0,0.461538461538462,0.307692307692308,0,0.230769230769231,0,0,0,0,0,0,0
"81","hiuH",1,0,0.5,0,0,0.5,0,0,0,0,0,0,0
"82","sodA",1,0,0.0857142857142857,0.371428571428571,0.228571428571429,0.0714285714285714,0.1,0.0285714285714286,0.0428571428571429,0,0.0428571428571429,0.0285714285714286,0
"83","msrP",1,0,0.5,0,0,0.5,0,0,0,0,0,0,0
"84","msrA",0,1,0,0,0,0,0,0,0,0,0,0,0
"85","msrQ",1,0,0.5,0,0,0.5,0,0,0,0,0,0,0
"86","sodB",1,0,0,0,0.7,0,0.2,0.1,0,0,0,0,0
"87","iscA",1,0,0,0,1,0,0,0,0,0,0,0,0
"88","chaA",0,1,0,0,0,0,0,0,0,0,0,0,0
"89","uspE",1,0,0,0.5,0,0,0.5,0,0,0,0,0,0
"90","cysK",0,1,0,0,0,0,0,0,0,0,0,0,0
"91","osmC",1,0,0.3,0.4,0,0.1,0,0,0.1,0.1,0,0,0
"92","iscU",1,0,0,0,1,0,0,0,0,0,0,0,0
"93","phoA",1,0,0.5,0,0,0.5,0,0,0,0,0,0,0
"94","yqhD",0,1,0,0,0,0,0,0,0,0,0,0,0
"95","pspA",1,0,0.8,0,0,0.2,0,0,0,0,0,0,0
"96","inaA",1,0,0.375,0.375,0,0.125,0,0,0.125,0,0,0,0
"97","soxS",1,0,0.0625,0.5,0.375,0,0.0625,0,0,0,0,0,0
"98","cysM",1,0,0,1,0,0,0,0,0,0,0,0,0
"99","lysA",0,1,0,0,0,0,0,0,0,0,0,0,0
"100","frmR",0,1,0,0,0,0,0,0,0,0,0,0,0
"101","cysD",0,1,0,0,0,0,0,0,0,0,0,0,0
"102","cysN",0,1,0,0,0,0,0,0,0,0,0,0,0
"103","cysJ",1,0,0.285714285714286,0,0,0.428571428571429,0.142857142857143,0,0,0,0.142857142857143,0,0
"104","uspA",1,0,0.125,0.125,0,0.375,0.375,0,0,0,0,0,0
"105","osmE",1,0,0,0.125,0.125,0,0.1875,0.1875,0.0625,0.1875,0,0.125,0
"106","otsB",0,1,0,0,0,0,0,0,0,0,0,0,0
"107","sodC",0,1,0,0,0,0,0,0,0,0,0,0,0
"108","yfcG",0,1,0,0,0,0,0,0,0,0,0,0,0
"109","otsA",0,1,0,0,0,0,0,0,0,0,0,0,0
"110","hscB",0,1,0,0,0,0,0,0,0,0,0,0,0
"111","katE",1,0,0.2,0.4,0,0,0,0,0.2,0.2,0,0,0
"112","hprS",0,1,0,0,0,0,0,0,0,0,0,0,0
"113","degP",1,0,0.5,0.5,0,0,0,0,0,0,0,0,0
"114","cysI",1,0,0.4,0,0,0.6,0,0,0,0,0,0,0
"115","cpxP",1,0,0,1,0,0,0,0,0,0,0,0,0
"116","hprR",0,1,0,0,0,0,0,0,0,0,0,0,0
"117","cysP",1,0,0,1,0,0,0,0,0,0,0,0,0
"118","tsuA",0,1,0,0,0,0,0,0,0,0,0,0,0
"119","frmB",0,1,0,0,0,0,0,0,0,0,0,0,0
"120","bdcA",0,1,0,0,0,0,0,0,0,0,0,0,0
"121","soxR",1,0,0,0,1,0,0,0,0,0,0,0,0
"122","sbp",0,1,0,0,0,0,0,0,0,0,0,0,0
"123","iscS",1,0,0,0,1,0,0,0,0,0,0,0,0
"124","yciW",0,1,0,0,0,0,0,0,0,0,0,0,0
"125","clpP",1,0,1,0,0,0,0,0,0,0,0,0,0
"126","phoR",0,1,0,0,0,0,0,0,0,0,0,0,0
"127","yhhW",0,1,0,0,0,0,0,0,0,0,0,0,0
