"","V1","FBL_number","No_FBL","FBL"
"1","frmA",0,0,1
"2","marA",47,0,1
"3","rprA",38,0,1
"4","phoP",20,0,1
"5","rclB",0,0,1
"6","tsuA",0,0,1
"7","tsuB",0,0,1
"8","hiuH",0,0,1
"9","msrP",0,0,1
"10","msrQ",0,0,1
"11","yjgH",0,0,1
"12","bdcA",0,0,1
"13","yfcF",0,0,1
"14","recN",0,0,1
"15","nfo",0,0,1
"16","hscA",0,0,1
"17","iscX",0,0,1
"18","cbl",0,0,1
"19","cysC",0,0,1
"20","cysH",0,0,1
"21","cysA",0,0,1
"22","cysW",0,0,1
"23","bhsA",0,0,1
"24","ldtC",0,0,1
"25","comR",0,0,1
"26","kefC",0,0,1
"27","tcyN",0,0,1
"28","msrP",0,0,1
"29","msrQ",0,0,1
"30","cynT",0,0,1
"31","cynS",0,0,1
"32","cynX",0,0,1
"33","yqhG",0,0,1
"34","arnB",0,0,1
"35","osmY",0,0,1
"36","gadB",0,0,1
"37","dps",0,0,1
"38","add",0,0,1
"39","ahpF",0,0,1
"40","clpB",0,0,1
"41","dnaJ",0,0,1
"42","dnaK",0,0,1
"43","grxA",0,0,1
"44","gshA",0,0,1
"45","gshB",0,0,1
"46","marB",0,0,1
"47","marR",13,0,1
"48","proP",0,0,1
"49","htpX",0,0,1
"50","katG",0,0,1
"51","groL",0,0,1
"52","groS",0,0,1
"53","hslO",0,0,1
"54","hslU",0,0,1
"55","hslV",0,0,1
"56","htpG",0,0,1
"57","osmB",0,0,1
"58","ybjC",0,0,1
"59","yccA",0,0,1
"60","spy",0,0,1
"61","yebE",0,0,1
"62","nrdF",0,0,1
"63","phoB",39,0,1
"64","phoU",0,0,1
"65","ahpC",0,0,1
"66","fdx",0,0,1
"67","ndh",0,0,1
"68","pepB",0,0,1
"69","pstA",0,0,1
"70","pstB",0,0,1
"71","pstC",0,0,1
"72","pstS",0,0,1
"73","tcyJ",0,0,1
"74","rpoS",875,0,1
"75","mcbA",0,0,1
"76","iscR",0,0,1
"77","nrdE",0,0,1
"78","nrdH",0,0,1
"79","nrdI",0,0,1
"80","sufA",0,0,1
"81","sufB",0,0,1
"82","sufC",0,0,1
"83","sufD",0,0,1
"84","sufE",0,0,1
"85","sufS",0,0,1
"86","sodA",0,0,1
"87","msrA",0,0,1
"88","sodB",0,0,1
"89","iscA",0,0,1
"90","chaA",0,0,1
"91","uspE",0,0,1
"92","cysK",0,0,1
"93","osmC",0,0,1
"94","iscU",0,0,1
"95","phoA",0,0,1
"96","yqhD",0,0,1
"97","pspA",0,0,1
"98","inaA",0,0,1
"99","soxS",94,0,1
"100","cysM",0,0,1
"101","lysA",0,0,1
"102","frmR",0,0,1
"103","cysD",0,0,1
"104","cysN",0,0,1
"105","cysJ",0,0,1
"106","uspA",0,0,1
"107","osmE",0,0,1
"108","otsB",0,0,1
"109","sodC",0,0,1
"110","yfcG",0,0,1
"111","otsA",0,0,1
"112","hscB",0,0,1
"113","katE",0,0,1
"114","degP",0,0,1
"115","cysI",0,0,1
"116","cpxP",0,0,1
"117","cysP",0,0,1
"118","frmB",0,0,1
"119","soxR",9,0,1
"120","sbp",0,0,1
"121","iscS",0,0,1
"122","yciW",0,0,1
"123","clpP",0,0,1
"124","phoR",0,0,1
"125","yhhW",0,0,1
