"","V1","Loop_number","No_loop","Loop"
"1","frmA",0,0,1
"2","marA",19,0,1
"3","rprA",0,0,1
"4","phoP",0,0,1
"5","rclB",0,0,1
"6","tsuA",0,0,1
"7","tsuB",0,0,1
"8","hiuH",4,0,1
"9","msrP",4,0,1
"10","msrQ",4,0,1
"11","yjgH",0,0,1
"12","bdcA",0,0,1
"13","yfcF",0,0,1
"14","recN",3,0,1
"15","nfo",6,0,1
"16","hscA",0,0,1
"17","iscX",0,0,1
"18","cbl",5,0,1
"19","cysC",1,0,1
"20","cysH",4,0,1
"21","cysA",2,0,1
"22","cysW",2,0,1
"23","bhsA",5,0,1
"24","ldtC",1,0,1
"25","comR",0,0,1
"26","kefC",0,0,1
"27","tcyN",0,0,1
"28","msrP",4,0,1
"29","msrQ",4,0,1
"30","cynT",2,0,1
"31","cynS",1,0,1
"32","cynX",1,0,1
"33","yqhG",0,0,1
"34","arnB",0,0,1
"35","osmY",20,0,1
"36","gadB",33,0,1
"37","dps",14,0,1
"38","add",1,0,1
"39","ahpF",4,0,1
"40","clpB",2,0,1
"41","dnaJ",0,0,1
"42","dnaK",0,0,1
"43","grxA",0,0,1
"44","gshA",0,0,1
"45","gshB",0,0,1
"46","marB",28,0,1
"47","marR",18,0,1
"48","proP",3,0,1
"49","htpX",1,0,1
"50","katG",10,0,1
"51","groL",2,0,1
"52","groS",5,0,1
"53","hslO",0,0,1
"54","hslU",0,0,1
"55","hslV",0,0,1
"56","htpG",2,0,1
"57","osmB",2,0,1
"58","ybjC",7,0,1
"59","yccA",1,0,1
"60","spy",2,0,1
"61","yebE",1,0,1
"62","nrdF",3,0,1
"63","phoB",0,0,1
"64","phoU",10,0,1
"65","ahpC",2,0,1
"66","fdx",0,0,1
"67","ndh",12,0,1
"68","pepB",0,0,1
"69","pstA",10,0,1
"70","pstB",10,0,1
"71","pstC",12,0,1
"72","pstS",12,0,1
"73","tcyJ",33,0,1
"74","rpoS",18,0,1
"75","mcbA",0,0,1
"76","iscR",1,0,1
"77","nrdE",3,0,1
"78","nrdH",3,0,1
"79","nrdI",3,0,1
"80","sufA",8,0,1
"81","sufB",8,0,1
"82","sufC",8,0,1
"83","sufD",8,0,1
"84","sufE",8,0,1
"85","sufS",8,0,1
"86","sodA",33,0,1
"87","msrA",0,0,1
"88","sodB",7,0,1
"89","iscA",2,0,1
"90","chaA",0,0,1
"91","uspE",0,0,1
"92","cysK",1,0,1
"93","osmC",7,0,1
"94","iscU",2,0,1
"95","phoA",2,0,1
"96","yqhD",0,0,1
"97","pspA",2,0,1
"98","inaA",9,0,1
"99","soxS",10,0,1
"100","cysM",2,0,1
"101","lysA",2,0,1
"102","frmR",0,0,1
"103","cysD",1,0,1
"104","cysN",1,0,1
"105","cysJ",6,0,1
"106","uspA",4,0,1
"107","osmE",9,0,1
"108","otsB",0,0,1
"109","sodC",0,0,1
"110","yfcG",0,0,1
"111","otsA",0,0,1
"112","hscB",0,0,1
"113","katE",1,0,1
"114","degP",1,0,1
"115","cysI",4,0,1
"116","cpxP",3,0,1
"117","cysP",2,0,1
"118","frmB",0,0,1
"119","soxR",4,0,1
"120","sbp",0,0,1
"121","iscS",2,0,1
"122","yciW",1,0,1
"123","clpP",3,0,1
"124","phoR",2,0,1
"125","yhhW",0,0,1
