"","V1","FBL_number","No_FBL","FBL"
"1","frmA",0,0,1
"2","marA",15,0,1
"3","rprA",9,0,1
"4","phoP",2,0,1
"5","rclA",0,0,1
"6","rclC",0,0,1
"7","rclB",0,0,1
"8","tsuB",0,0,1
"9","yjgH",0,0,1
"10","yfcF",0,0,1
"11","recN",0,0,1
"12","nfo",0,0,1
"13","hscA",0,0,1
"14","iscX",0,0,1
"15","cbl",0,0,1
"16","cysC",0,0,1
"17","cysH",0,0,1
"18","cysA",0,0,1
"19","cysW",0,0,1
"20","comR",0,0,1
"21","kefC",0,0,1
"22","tcyN",0,0,1
"23","cynT",0,0,1
"24","cynS",0,0,1
"25","cynX",0,0,1
"26","yqhG",0,0,1
"27","arnB",0,0,1
"28","osmY",0,0,1
"29","gadB",0,0,1
"30","dps",0,0,1
"31","add",0,0,1
"32","ahpF",0,0,1
"33","clpB",0,0,1
"34","dnaJ",0,0,1
"35","dnaK",0,0,1
"36","grxA",0,0,1
"37","gshA",0,0,1
"38","gshB",0,0,1
"39","marB",0,0,1
"40","marR",6,0,1
"41","proP",0,0,1
"42","htpX",0,0,1
"43","katG",0,0,1
"44","groL",0,0,1
"45","groS",0,0,1
"46","hslO",0,0,1
"47","hslU",0,0,1
"48","hslV",0,0,1
"49","htpG",0,0,1
"50","osmB",0,0,1
"51","ybjC",0,0,1
"52","bhsA",0,0,1
"53","yccA",0,0,1
"54","ldtC",0,0,1
"55","spy",0,0,1
"56","yebE",0,0,1
"57","nrdF",0,0,1
"58","phoB",9,0,1
"59","phoU",0,0,1
"60","ahpC",0,0,1
"61","fdx",0,0,1
"62","ndh",0,0,1
"63","pepB",0,0,1
"64","pstA",0,0,1
"65","pstB",0,0,1
"66","pstC",0,0,1
"67","pstS",0,0,1
"68","tcyJ",0,0,1
"69","rpoS",254,0,1
"70","mcbA",0,0,1
"71","iscR",0,0,1
"72","nrdE",0,0,1
"73","nrdH",0,0,1
"74","nrdI",0,0,1
"75","sufA",0,0,1
"76","sufB",0,0,1
"77","sufC",0,0,1
"78","sufD",0,0,1
"79","sufE",0,0,1
"80","sufS",0,0,1
"81","hiuH",0,0,1
"82","sodA",0,0,1
"83","msrP",0,0,1
"84","msrA",0,0,1
"85","msrQ",0,0,1
"86","sodB",0,0,1
"87","iscA",0,0,1
"88","chaA",0,0,1
"89","uspE",0,0,1
"90","cysK",0,0,1
"91","osmC",0,0,1
"92","iscU",0,0,1
"93","phoA",0,0,1
"94","yqhD",0,0,1
"95","pspA",0,0,1
"96","inaA",0,0,1
"97","soxS",24,0,1
"98","cysM",0,0,1
"99","lysA",0,0,1
"100","frmR",0,0,1
"101","cysD",0,0,1
"102","cysN",0,0,1
"103","cysJ",0,0,1
"104","uspA",0,0,1
"105","osmE",0,0,1
"106","otsB",0,0,1
"107","sodC",0,0,1
"108","yfcG",0,0,1
"109","otsA",0,0,1
"110","hscB",0,0,1
"111","katE",0,0,1
"112","hprS",0,0,1
"113","degP",0,0,1
"114","cysI",0,0,1
"115","cpxP",0,0,1
"116","hprR",0,0,1
"117","cysP",0,0,1
"118","tsuA",0,0,1
"119","frmB",0,0,1
"120","bdcA",0,0,1
"121","soxR",2,0,1
"122","sbp",0,0,1
"123","iscS",0,0,1
"124","yciW",0,0,1
"125","clpP",0,0,1
"126","phoR",0,0,1
"127","yhhW",0,0,1
