"","Coherent","Incoherent","No_loop","Loop"
"1",0,0,1,0
"2",0,0,1,0
"3",0,0,1,0
"4",0.421052631578947,0.578947368421052,0,1
"5",0.658536585365854,0.341463414634146,0,1
"6",0.365079365079365,0.634920634920634,0,1
"7",0.583333333333333,0.416666666666667,0,1
"8",1,0,0,1
"9",1,0,0,1
"10",0,0,1,0
"11",0.618181818181818,0.381818181818182,0,1
"12",0,1,0,1
"13",0.189189189189189,0.81081081081081,0,1
"14",0,0,1,0
"15",0.387096774193548,0.612903225806451,0,1
"16",0.306451612903226,0.693548387096774,0,1
"17",0.387096774193548,0.612903225806451,0,1
"18",0.564516129032258,0.435483870967742,0,1
"19",0.548387096774193,0.451612903225806,0,1
"20",0,0,1,0
"21",1,0,0,1
"22",0.0833333333333333,0.916666666666667,0,1
"23",0,0,1,0
"24",0,0,1,0
"25",0,0,1,0
"26",0,0,1,0
"27",0.4,0.6,0,1
"28",0.4,0.6,0,1
"29",0.8,0.2,0,1
"30",0,0,1,0
"31",0,0,1,0
"32",0,1,0,1
"33",0.3,0.7,0,1
"34",0.303030303030303,0.696969696969697,0,1
"35",1,0,0,1
"36",1,0,0,1
"37",1,0,0,1
"38",1,0,0,1
"39",0,0,1,0
"40",0,0,1,0
"41",0.333333333333333,0.666666666666666,0,1
"42",0.1,0.9,0,1
"43",0,0,1,0
"44",0.341463414634146,0.658536585365854,0,1
"45",0,0,1,0
"46",0,0,1,0
"47",1,0,0,1
"48",0,0,1,0
"49",0,0,1,0
"50",0.6,0.4,0,1
"51",0.230769230769231,0.769230769230769,0,1
"52",1,0,0,1
"53",0,0,1,0
"54",0,0,1,0
"55",0,0,1,0
"56",0,0,1,0
"57",0,0,1,0
"58",0,0,1,0
"59",0,0,1,0
"60",0,0,1,0
"61",0.586206896551724,0.413793103448276,0,1
"62",0.689655172413793,0.310344827586207,0,1
"63",0.448275862068966,0.551724137931035,0,1
"64",0.413793103448276,0.586206896551724,0,1
"65",0.310344827586207,0.689655172413793,0,1
"66",0.275862068965517,0.724137931034483,0,1
"67",0,0,1,0
"68",0,0,1,0
"69",0,0,1,0
"70",0,0,1,0
"71",0.416666666666667,0.583333333333333,0,1
"72",0,1,0,1
"73",0,1,0,1
"74",0,1,0,1
"75",0.25,0.75,0,1
"76",0.25,0.75,0,1
"77",0.55,0.45,0,1
"78",0,1,0,1
"79",0,1,0,1
"80",0,1,0,1
"81",0,1,0,1
"82",1,0,0,1
"83",0.365079365079365,0.634920634920634,0,1
"84",0,0,1,0
"85",0,1,0,1
"86",1,0,0,1
"87",0,0,1,0
"88",0,0,1,0
"89",0,0,1,0
"90",0,0,1,0
"91",0,0,1,0
"92",1,0,0,1
"93",1,0,0,1
"94",0,1,0,1
"95",0.228571428571429,0.771428571428572,0,1
"96",0,0,1,0
"97",0,0,1,0
"98",0.999999999999999,0,0,1
"99",0.648648648648648,0.351351351351351,0,1
"100",0.333333333333333,0.666666666666667,0,1
"101",0,0,1,0
"102",0,1,0,1
"103",0,0,1,0
"104",0,0,1,0
"105",0,0,1,0
"106",0.51219512195122,0.487804878048781,0,1
"107",0,1,0,1
"108",0.608695652173913,0.391304347826087,0,1
"109",0,1,0,1
"110",0,0,1,0
"111",0,0,1,0
"112",0.4,0.6,0,1
"113",0.8,0.2,0,1
"114",0,0,1,0
"115",0.1,0.9,0,1
"116",0.387453874538746,0.612546125461254,0,1
"117",0,1,0,1
"118",0,1,0,1
"119",0,1,0,1
"120",1,0,0,1
"121",1,0,0,1
"122",0,1,0,1
"123",0,1,0,1
"124",0.2,0.8,0,1
"125",0,0,1,0
