"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1","aidB",0,1,0,0,0,0,0,0,0
"2","ssuD",0,1,0,0,0,0,0,0,0
"3","tauA",0,1,0,0,0,0,0,0,0
"4","tauB",0,1,0,0,0,0,0,0,0
"5","tauC",0,1,0,0,0,0,0,0,0
"6","csgA",0,1,0,0,0,0,0,0,0
"7","csgD",1,0,1,0,0.125,0.25,0.25,0.375,0
"8","csgE",0,1,0,0,0,0,0,0,0
"9","csgF",0,1,0,0,0,0,0,0,0
"10","csgG",0,1,0,0,0,0,0,0,0
"11","iraP",0,1,0,0,0,0,0,0,0
"12","tcyJ",0,1,0,0,0,0,0,0,0
"13","yccT",0,1,0,0,0,0,0,0,0
"14","gadC",0,1,0,0,0,0,0,0,0
"15","gadF",0,1,0,0,0,0,0,0,0
"16","mdtE",0,1,0,0,0,0,0,0,0
"17","mdtF",0,1,0,0,0,0,0,0,0
"18","yhiD",0,1,0,0,0,0,0,0,0
"19","dctR",0,1,0,0,0,0,0,0,0
"20","rpoS",1,0,0,0.999999999999998,0.0078740157480315,0.0354330708661417,0.18503937007874,0.771653543307085,0
"21","mcbA",0,1,0,0,0,0,0,0,0
"22","yciE",0,1,0,0,0,0,0,0,0
"23","yciF",0,1,0,0,0,0,0,0,0
"24","yciG",0,1,0,0,0,0,0,0,0
"25","metE",0,1,0,0,0,0,0,0,0
"26","metR",0,1,0,0,0,0,0,0,0
"27","prpB",0,1,0,0,0,0,0,0,0
"28","prpC",0,1,0,0,0,0,0,0,0
"29","prpD",0,1,0,0,0,0,0,0,0
"30","prpR",0,1,0,0,0,0,0,0,0
"31","adiA",0,1,0,0,0,0,0,0,0
"32","appC",0,1,0,0,0,0,0,0,0
"33","appX",0,1,0,0,0,0,0,0,0
"34","hyaA",0,1,0,0,0,0,0,0,0
"35","hyaB",0,1,0,0,0,0,0,0,0
"36","hyaC",0,1,0,0,0,0,0,0,0
"37","hyaD",0,1,0,0,0,0,0,0,0
"38","hyaE",0,1,0,0,0,0,0,0,0
"39","hyaF",0,1,0,0,0,0,0,0,0
"40","araA",0,1,0,0,0,0,0,0,0
"41","araB",0,1,0,0,0,0,0,0,0
"42","araC",0,1,0,0,0,0,0,0,0
"43","araF",0,1,0,0,0,0,0,0,0
"44","caiA",0,1,0,0,0,0,0,0,0
"45","ttdR",0,1,0,0,0,0,0,0,0
"46","mlrA",1,0,0,1,0,0.5,0.5,0,0
"47","galS",1,0,1,0,1,0,0,0,0
"48","mglA",0,1,0,0,0,0,0,0,0
"49","mglB",0,1,0,0,0,0,0,0,0
"50","mglC",0,1,0,0,0,0,0,0,0
"51","glcA",0,1,0,0,0,0,0,0,0
"52","glcB",0,1,0,0,0,0,0,0,0
"53","glcD",0,1,0,0,0,0,0,0,0
"54","glcE",0,1,0,0,0,0,0,0,0
"55","glcF",0,1,0,0,0,0,0,0,0
"56","glcG",0,1,0,0,0,0,0,0,0
"57","hcaR",0,1,0,0,0,0,0,0,0
"58","iscR",0,1,0,0,0,0,0,0,0
"59","nrdE",0,1,0,0,0,0,0,0,0
"60","nrdH",0,1,0,0,0,0,0,0,0
"61","nrdI",0,1,0,0,0,0,0,0,0
"62","sufA",0,1,0,0,0,0,0,0,0
"63","sufB",0,1,0,0,0,0,0,0,0
"64","sufC",0,1,0,0,0,0,0,0,0
"65","sufD",0,1,0,0,0,0,0,0,0
"66","sufE",0,1,0,0,0,0,0,0,0
"67","sufS",0,1,0,0,0,0,0,0,0
"68","selO",0,1,0,0,0,0,0,0,0
"69","mhpA",0,1,0,0,0,0,0,0,0
"70","fdhF",0,1,0,0,0,0,0,0,0
"71","fdnG",0,1,0,0,0,0,0,0,0
"72","fdnH",0,1,0,0,0,0,0,0,0
"73","fdnI",0,1,0,0,0,0,0,0,0
"74","hcp",0,1,0,0,0,0,0,0,0
"75","hcr",0,1,0,0,0,0,0,0,0
"76","nirB",0,1,0,0,0,0,0,0,0
"77","nirD",0,1,0,0,0,0,0,0,0
"78","nrfA",0,1,0,0,0,0,0,0,0
"79","nrfB",0,1,0,0,0,0,0,0,0
"80","nrfC",0,1,0,0,0,0,0,0,0
"81","nrfD",0,1,0,0,0,0,0,0,0
"82","ytfE",0,1,0,0,0,0,0,0,0
"83","amtB",0,1,0,0,0,0,0,0,0
"84","argT",0,1,0,0,0,0,0,0,0
"85","ddpA",0,1,0,0,0,0,0,0,0
"86","ddpB",0,1,0,0,0,0,0,0,0
"87","ddpD",0,1,0,0,0,0,0,0,0
"88","ddpX",0,1,0,0,0,0,0,0,0
"89","glnA",0,1,0,0,0,0,0,0,0
"90","glnG",1,0,0,1,0,0.0909090909090909,0.227272727272727,0.681818181818182,0
"91","glnK",0,1,0,0,0,0,0,0,0
"92","glnL",0,1,0,0,0,0,0,0,0
"93","hisM",0,1,0,0,0,0,0,0,0
"94","hisP",0,1,0,0,0,0,0,0,0
"95","patA",0,1,0,0,0,0,0,0,0
"96","potF",0,1,0,0,0,0,0,0,0
"97","potG",0,1,0,0,0,0,0,0,0
"98","potH",0,1,0,0,0,0,0,0,0
"99","potI",0,1,0,0,0,0,0,0,0
"100","yhdW",0,1,0,0,0,0,0,0,0
