"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"1","aidB",1,0,0,0.75,0,0,0,0,0,0.25,0
"2","ssuD",1,0,0,0.5,0,0,0,0,0.25,0.25,0
"3","tauA",1,0,0,0.5,0,0,0.5,0,0,0,0
"4","tauB",1,0,0,1,0,0,0,0,0,0,0
"5","tauC",1,0,0,1,0,0,0,0,0,0,0
"6","csgA",1,0,0,0.461538461538462,0.230769230769231,0.0769230769230769,0,0,0,0.230769230769231,0
"7","csgD",1,0,0.0930232558139535,0.255813953488372,0.116279069767442,0.0465116279069767,0.0465116279069767,0.13953488372093,0.0232558139534884,0.27906976744186,0
"8","csgE",1,0,0.0571428571428571,0.314285714285714,0.285714285714286,0.0428571428571429,0.0285714285714286,0.0857142857142857,0.0142857142857143,0.171428571428571,0
"9","csgF",1,0,0.0571428571428571,0.314285714285714,0.285714285714286,0.0428571428571429,0.0285714285714286,0.0857142857142857,0.0142857142857143,0.171428571428571,0
"10","csgG",1,0,0.0571428571428571,0.314285714285714,0.285714285714286,0.0428571428571429,0.0285714285714286,0.0857142857142857,0.0142857142857143,0.171428571428571,0
"11","iraP",1,0,0,0.3,0.3,0,0,0.1,0.1,0.2,0
"12","tcyJ",1,0,0.0540540540540541,0.27027027027027,0.324324324324324,0.0540540540540541,0.162162162162162,0,0,0.135135135135135,0
"13","yccT",0,1,0,0,0,0,0,0,0,0,0
"14","gadC",1,0,0.0666666666666667,0.433333333333333,0.3,0,0.0333333333333333,0,0,0.166666666666667,0
"15","gadF",1,0,0.0238095238095238,0.619047619047619,0.214285714285714,0,0,0.0476190476190476,0,0.0952380952380952,0
"16","mdtE",1,0,0.0263157894736842,0.578947368421052,0.236842105263158,0,0,0.0526315789473684,0,0.105263157894737,0
"17","mdtF",1,0,0.0285714285714286,0.6,0.257142857142857,0,0,0,0,0.114285714285714,0
"18","yhiD",1,0,0.0555555555555556,0.444444444444445,0.166666666666667,0,0.0555555555555556,0,0,0.277777777777778,0
"19","dctR",1,0,0,0.454545454545455,0.181818181818182,0.0454545454545455,0.0454545454545455,0,0.0454545454545455,0.227272727272727,0
"20","rpoS",1,0,0.111111111111111,0.277777777777778,0.111111111111111,0,0,0.0555555555555556,0.111111111111111,0.333333333333333,0
"21","mcbA",0,1,0,0,0,0,0,0,0,0,0
"22","yciE",1,0,0,0.5,0,0,0,0,0,0.5,0
"23","yciF",0,1,0,0,0,0,0,0,0,0,0
"24","yciG",0,1,0,0,0,0,0,0,0,0,0
"25","metE",1,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0,0
"26","metR",0,1,0,0,0,0,0,0,0,0,0
"27","prpB",1,0,0,0.5,0,0,0,0,0.5,0,0
"28","prpC",1,0,0,0.5,0,0,0,0,0.5,0,0
"29","prpD",1,0,0,0.5,0,0,0,0,0.5,0,0
"30","prpR",1,0,0,0.5,0,0,0,0,0,0.5,0
"31","adiA",1,0,0,0.333333333333333,0.166666666666667,0,0,0.333333333333333,0,0.166666666666667,0
"32","appC",1,0,0,0.666666666666667,0,0,0,0.111111111111111,0,0.222222222222222,0
"33","appX",1,0,0,0.857142857142857,0,0,0,0.142857142857143,0,0,0
"34","hyaA",1,0,0,0.6,0,0,0,0.1,0,0.3,0
"35","hyaB",1,0,0,0.6,0,0,0,0.1,0,0.3,0
"36","hyaC",1,0,0,0.6,0,0,0,0.1,0,0.3,0
"37","hyaD",1,0,0,0.6,0,0,0,0.1,0,0.3,0
"38","hyaE",1,0,0,0.6,0,0,0,0.1,0,0.3,0
"39","hyaF",1,0,0,0.6,0,0,0,0.1,0,0.3,0
"40","araA",1,0,0,1,0,0,0,0,0,0,0
"41","araB",1,0,0,1,0,0,0,0,0,0,0
"42","araC",1,0,0,0.5,0,0,0,0,0,0.5,0
"43","araF",1,0,0,0.5,0,0.125,0.125,0.125,0,0.125,0
"44","caiA",1,0,0,0.545454545454546,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0.181818181818182,0
"45","ttdR",0,1,0,0,0,0,0,0,0,0,0
"46","mlrA",1,0,0,0.5,0,0,0,0,0,0.5,0
"47","galS",1,0,0,0.5,0,0,0,0,0,0.5,0
"48","mglA",1,0,0,0.142857142857143,0.0714285714285714,0,0.142857142857143,0.0714285714285714,0,0.571428571428571,0
"49","mglB",1,0,0,0.166666666666667,0,0,0.166666666666667,0.0833333333333333,0,0.583333333333333,0
"50","mglC",1,0,0,0.142857142857143,0.0714285714285714,0,0.142857142857143,0.0714285714285714,0,0.571428571428571,0
"51","glcA",1,0,0,0.285714285714286,0.142857142857143,0,0,0.285714285714286,0,0.285714285714286,0
"52","glcB",1,0,0,0.285714285714286,0.142857142857143,0,0,0.285714285714286,0,0.285714285714286,0
"53","glcD",1,0,0,0.333333333333333,0.222222222222222,0,0,0.222222222222222,0,0.222222222222222,0
"54","glcE",1,0,0,0.285714285714286,0.142857142857143,0,0,0.285714285714286,0,0.285714285714286,0
"55","glcF",1,0,0,0.285714285714286,0.142857142857143,0,0,0.285714285714286,0,0.285714285714286,0
